item,Momentum_0.0,Momentum_0.2
气息,0.42857100000000004,0.42857100000000004
出,0.131579,0.131579
镜头,0.5,0.5
中医,0.5,0.5
日子,0.290323,0.290323
队伍,0.590909,0.636364
平息,0.571429,0.571429
发,0.2,0.171429
单位,0.5882350000000001,0.5882350000000001
看,0.352941,0.32352899999999996
使,0.5,0.4375
动摇,0.5,0.625
本,0.4,0.4
机组,0.714286,0.714286
儿女,0.35,0.35
长城,0.47619,0.47619
挑,0.285714,0.285714
推翻,0.6,0.6
动,0.5,0.5
望,0.769231,0.769231
说明,0.611111,0.611111
牌子,0.647059,0.647059
开通,0.578947,0.421053
震惊,0.692308,0.692308
天地,0.4,0.4
成立,0.28,0.28
菜,0.421053,0.421053
吃,0.434783,0.434783
进,0.227273,0.227273
表面,0.333333,0.333333
气象,0.625,0.625
面,0.608696,0.608696
赶,0.611111,0.611111
眼光,0.714286,0.714286
叫,0.333333,0.333333
旗帜,0.5555559999999999,0.5555559999999999
补,0.45,0.45
想,0.27027,0.27027
带,0.19696999999999998,0.16666699999999998
道,0.5555559999999999,0.333333
Micro_ave,0.4022545190010856,0.3922782128121607
Macro_ave,0.4699013249999999,0.4608901249999999
