item,Momentum_0.0,Momentum_0.2
气息,0.714286,0.714286
出,0.18421099999999999,0.21052600000000002
镜头,0.42857100000000004,0.357143
中医,0.6875,0.6875
日子,0.35483899999999996,0.35483899999999996
队伍,0.36363599999999996,0.36363599999999996
平息,0.714286,0.714286
发,0.257143,0.257143
单位,0.352941,0.294118
看,0.147059,0.147059
使,0.625,0.625
动摇,0.5625,0.5625
本,0.2,0.2
机组,0.714286,0.785714
儿女,0.6,0.6
长城,0.38095199999999996,0.38095199999999996
挑,0.285714,0.285714
推翻,0.4,0.4
动,0.05,0.05
望,0.769231,0.692308
说明,0.5555559999999999,0.5555559999999999
牌子,0.647059,0.5882350000000001
开通,0.578947,0.578947
震惊,0.538462,0.538462
天地,0.48,0.44
成立,0.24,0.28
菜,0.421053,0.421053
吃,0.347826,0.39130400000000004
进,0.204545,0.204545
表面,0.5,0.5
气象,0.625,0.625
面,0.347826,0.347826
赶,0.388889,0.388889
眼光,0.714286,0.714286
叫,0.384615,0.333333
旗帜,0.5555559999999999,0.5555559999999999
补,0.6,0.6
想,0.21621600000000002,0.27027
带,0.136364,0.106061
道,0.5,0.5
Micro_ave,0.375696431053203,0.37352165363735057
Macro_ave,0.444358875,0.44055117499999985
