item,Momentum_0.0,Momentum_0.2
气息,1.0,1.0
出,0.513158,0.486842
镜头,0.466667,0.466667
中医,1.0,1.0
日子,0.625,0.53125
队伍,0.45454500000000003,0.45454500000000003
平息,0.875,0.875
发,0.857143,0.857143
单位,0.5625,0.5625
看,0.941176,0.941176
使,0.625,0.625
动摇,1.0,1.0
本,0.96,0.92
机组,1.0,1.0
儿女,0.8947369999999999,0.8947369999999999
长城,0.947368,0.947368
挑,1.0,1.0
推翻,1.0,0.888889
动,0.947368,0.8947369999999999
望,1.0,1.0
说明,1.0,1.0
牌子,1.0,1.0
开通,0.5,0.5
震惊,0.714286,0.714286
天地,0.625,0.5
成立,0.8,0.76
菜,1.0,1.0
吃,0.9130429999999999,0.956522
进,0.23255800000000001,0.23255800000000001
表面,0.611111,0.611111
气象,0.625,0.625
面,0.9130429999999999,0.9130429999999999
赶,0.888889,0.833333
眼光,1.0,1.0
叫,0.948718,0.948718
旗帜,0.5555559999999999,0.5555559999999999
补,1.0,1.0
想,0.48648600000000003,0.513514
带,0.373134,0.402985
道,0.444444,0.333333
Micro_ave,0.7220411693811077,0.7100976948968512
Macro_ave,0.78252325,0.7686453249999999
