item,Momentum_0.0,Momentum_0.2
气息,0.571429,0.571429
出,0.157895,0.144737
镜头,0.642857,0.642857
中医,0.3125,0.3125
日子,0.38709699999999997,0.322581
队伍,0.45454500000000003,0.45454500000000003
平息,0.42857100000000004,0.42857100000000004
发,0.37142899999999995,0.37142899999999995
单位,0.5882350000000001,0.5882350000000001
看,0.32352899999999996,0.32352899999999996
使,0.5625,0.5625
动摇,0.625,0.625
本,0.4,0.4
机组,0.785714,0.785714
儿女,0.75,0.75
长城,0.42857100000000004,0.42857100000000004
挑,0.42857100000000004,0.42857100000000004
推翻,0.6,0.5
动,0.2,0.25
望,0.769231,0.769231
说明,0.333333,0.333333
牌子,0.5882350000000001,0.5882350000000001
开通,0.578947,0.578947
震惊,0.692308,0.692308
天地,0.4,0.4
成立,0.32,0.32
菜,0.473684,0.473684
吃,0.434783,0.434783
进,0.227273,0.227273
表面,0.611111,0.611111
气象,0.625,0.625
面,0.434783,0.5217390000000001
赶,0.333333,0.333333
眼光,0.714286,0.714286
叫,0.25640999999999997,0.25640999999999997
旗帜,0.5555559999999999,0.5555559999999999
补,0.55,0.55
想,0.162162,0.135135
带,0.151515,0.16666699999999998
道,0.444444,0.333333
Micro_ave,0.3976982128121608,0.39444159500542897
Macro_ave,0.4668709249999998,0.46277832500000005
