item,Momentum_0.0,Momentum_0.2
气息,0.571429,0.571429
出,0.157895,0.18421099999999999
镜头,0.714286,0.714286
中医,0.5,0.5
日子,0.322581,0.322581
队伍,0.36363599999999996,0.36363599999999996
平息,0.42857100000000004,0.42857100000000004
发,0.34285699999999997,0.285714
单位,0.5882350000000001,0.5882350000000001
看,0.264706,0.264706
使,0.6875,0.6875
动摇,0.6875,0.6875
本,0.4,0.4
机组,0.642857,0.642857
儿女,0.6,0.6
长城,0.52381,0.52381
挑,0.42857100000000004,0.42857100000000004
推翻,0.6,0.4
动,0.25,0.25
望,0.692308,0.692308
说明,0.388889,0.388889
牌子,0.529412,0.529412
开通,0.578947,0.578947
震惊,0.615385,0.615385
天地,0.32,0.32
成立,0.4,0.4
菜,0.526316,0.526316
吃,0.347826,0.347826
进,0.113636,0.136364
表面,0.5,0.5
气象,0.5625,0.5625
面,0.434783,0.434783
赶,0.388889,0.388889
眼光,0.642857,0.642857
叫,0.25640999999999997,0.23076899999999997
旗帜,0.388889,0.388889
补,0.3,0.3
想,0.405405,0.378378
带,0.136364,0.106061
道,0.444444,0.444444
Micro_ave,0.3838741520086862,0.37860489685124865
Macro_ave,0.4511923500000001,0.4439156000000001
