item,Momentum_0.0,Momentum_0.2
气息,1.0,1.0
出,0.381579,0.434211
镜头,0.466667,0.466667
中医,1.0,1.0
日子,0.875,0.90625
队伍,0.727273,0.727273
平息,1.0,1.0
发,0.314286,0.285714
单位,1.0,1.0
看,0.294118,0.294118
使,0.9375,0.9375
动摇,0.625,0.625
本,0.4,0.44
机组,0.714286,0.714286
儿女,0.947368,0.947368
长城,1.0,1.0
挑,1.0,1.0
推翻,1.0,1.0
动,0.736842,0.736842
望,1.0,1.0
说明,0.5555559999999999,0.5555559999999999
牌子,0.8823529999999999,0.8823529999999999
开通,0.5,0.5
震惊,0.714286,0.714286
天地,0.958333,0.958333
成立,0.8,0.84
菜,0.526316,0.526316
吃,0.434783,0.434783
进,0.23255800000000001,0.23255800000000001
表面,1.0,1.0
气象,0.625,0.625
面,0.956522,0.956522
赶,0.666667,0.666667
眼光,0.714286,0.714286
叫,0.25640999999999997,0.25640999999999997
旗帜,0.9444440000000001,0.9444440000000001
补,1.0,1.0
想,0.27027,0.27027
带,0.149254,0.22388100000000002
道,0.333333,0.9444440000000001
Micro_ave,0.5950054755700326,0.618892575461455
Macro_ave,0.69850725,0.71903345
