item,Momentum_0.0,Momentum_0.2
气息,1.0,1.0
出,0.9342109999999999,0.947368
镜头,1.0,1.0
中医,1.0,1.0
日子,1.0,1.0
队伍,1.0,1.0
平息,1.0,1.0
发,0.885714,0.885714
单位,1.0,1.0
看,1.0,1.0
使,1.0,1.0
动摇,1.0,1.0
本,1.0,1.0
机组,1.0,1.0
儿女,1.0,1.0
长城,1.0,1.0
挑,1.0,1.0
推翻,1.0,1.0
动,1.0,1.0
望,1.0,1.0
说明,1.0,1.0
牌子,1.0,1.0
开通,1.0,1.0
震惊,1.0,1.0
天地,1.0,1.0
成立,1.0,1.0
菜,1.0,1.0
吃,1.0,1.0
进,1.0,1.0
表面,1.0,1.0
气象,1.0,1.0
面,1.0,1.0
赶,1.0,1.0
眼光,1.0,1.0
叫,1.0,1.0
旗帜,0.9444440000000001,0.9444440000000001
补,1.0,1.0
想,1.0,1.0
带,0.925373,0.940299
道,1.0,1.0
Micro_ave,0.9837133648208469,0.9858848892508144
Macro_ave,0.9922435499999999,0.9929456250000002
