@relation 641710_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {28,42}

@data
n,n,v,p,28
f,v,u,n,28
n,f,a,u,28
v,n,w,v,28
v,p,u,n,28
u,r,v,c,28
v,c,n,n,28
p,n,n,f,28
w,v,n,u,28
v,a,n,w,28
c,v,n,w,28
w,v,v,n,28
r,w,c,v,28
n,w,p,n,28
u,n,v,a,28
n,u,f,v,28
v,u,w,v,28
v,w,n,w,28
Ng,n,n,n,28
d,v,a,n,28
w,v,n,v,28
n,v,n,v,28
n,w,Ng,n,28
v,n,v,v,28
a,n,v,Ng,28
n,n,v,n,28
v,Ng,v,n,28
w,a,w,v,28
n,v,n,n,28
v,v,v,v,28
a,u,v,n,28
v,v,u,n,28
v,a,n,v,28
n,n,r,n,28
n,n,w,r,28
n,w,n,v,28
w,r,v,w,28
w,v,a,u,28
u,n,n,n,28
v,w,v,a,28
v,n,n,w,28
v,n,v,a,28
n,n,v,c,28
c,v,n,v,28
v,u,n,w,28
nt,n,nr,nr,28
n,n,c,v,28
d,v,a,n,28
n,v,m,q,28
v,n,n,v,28
u,a,w,v,28
n,n,a,n,28
n,u,nr,n,28
n,w,nt,n,28
n,v,n,d,28
n,d,u,a,28
n,n,c,n,28
c,n,v,u,28
n,v,v,n,28
m,q,vn,w,28
v,c,n,n,28
m,m,a,vn,28
