@relation 20351_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {407,88}

@data
u,v,m,w,407
n,v,p,n,407
p,n,v,p,407
v,v,n,w,407
Ng,v,w,w,407
nr,nr,v,n,407
v,n,v,u,407
v,w,w,v,407
v,u,w,m,407
w,p,v,v,407
w,m,v,Ng,407
w,v,v,Ng,407
nr,v,n,n,407
v,v,n,v,407
v,Ng,w,p,407
n,v,v,w,407
m,w,Ng,v,407
v,Ng,Ng,w,407
Ng,w,p,n,407
n,n,u,v,407
w,w,n,v,407
s,u,w,v,407
v,v,d,v,407
w,d,m,q,407
v,v,v,n,407
n,w,d,v,407
n,d,u,a,407
u,a,v,r,407
n,d,n,d,407
v,n,v,u,407
v,n,d,v,407
v,n,v,n,407
a,r,r,w,407
v,m,v,v,407
m,q,v,s,407
v,s,n,w,407
v,n,n,w,407
u,n,v,d,407
n,w,v,m,407
v,u,r,v,407
d,v,a,r,407
n,v,w,d,407
v,d,v,n,407
w,v,v,v,407
d,v,q,v,407
d,v,n,d,407
v,v,u,n,407
d,v,d,v,407
q,v,s,u,407
f,w,a,u,407
a,u,c,a,407
v,w,p,v,407
t,v,n,n,407
p,f,f,w,407
u,n,a,u,407
m,q,w,n,407
w,ad,v,v,407
q,v,ad,p,407
v,p,p,f,407
n,w,v,v,407
d,v,p,f,407
f,p,w,p,407
n,n,d,v,407
m,q,w,ad,407
r,u,n,n,407
c,a,n,w,407
n,vn,a,m,407
n,p,q,v,407
a,u,n,vn,407
u,n,vn,c,407
n,c,u,n,407
c,a,q,n,407
f,w,v,u,407
w,r,p,m,407
ad,p,v,r,407
v,n,a,n,407
u,vn,vn,f,407
p,a,n,n,407
w,p,u,n,407
a,u,w,r,407
p,f,p,a,407
n,p,q,v,407
q,n,vn,w,407
v,v,u,n,407
n,u,w,vn,407
n,n,c,a,407
n,v,u,a,407
r,a,n,c,407
v,n,n,w,407
p,m,v,w,407
v,v,r,a,407
n,n,n,u,407
v,w,p,m,407
v,v,f,p,407
n,n,v,n,407
q,v,n,p,407
vn,f,v,v,407
vn,c,m,q,407
p,m,v,w,407
m,q,u,vn,407
n,n,w,d,407
p,v,r,u,407
u,r,u,n,407
w,vn,w,v,407
w,n,m,q,407
w,v,u,r,407
u,n,n,v,407
r,n,m,q,407
u,n,r,n,407
n,w,n,p,407
w,d,v,p,407
v,u,a,u,407
a,m,n,u,407
v,r,n,n,407
vn,w,f,w,407
n,u,n,w,407
v,w,w,v,407
n,w,n,u,407
f,v,n,v,407
v,n,n,v,407
u,n,u,nt,407
w,n,v,n,407
u,n,w,n,407
n,u,v,u,407
w,v,u,n,407
v,u,v,w,407
n,v,n,w,407
u,nt,vn,w,407
v,u,u,vn,407
n,v,nt,u,407
r,d,v,d,407
w,v,v,n,407
p,r,v,n,407
n,n,r,d,407
n,p,d,v,407
v,n,i,w,407
v,n,n,w,407
v,n,w,v,407
v,v,v,u,407
v,d,u,n,407
r,d,n,v,407
n,w,w,r,407
d,v,n,w,407
n,v,w,i,407
