@relation 20986

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {178,208,238,268,277,370,561,353}

@data
u,d,b,u,178
an,c,w,w,178
z,w,u,n,178
w,d,d,v,178
w,v,n,n,178
w,d,r,y,178
w,w,z,w,178
an,c,w,d,178
u,an,an,w,178
u,an,vn,w,178
a,u,c,an,178
n,u,v,b,178
v,u,n,w,178
d,v,u,an,178
a,w,d,v,178
r,d,v,a,178
d,v,v,n,178
an,w,d,z,178
v,r,n,u,178
d,z,v,u,178
vn,w,r,d,178
w,d,w,v,178
d,v,a,u,178
n,w,a,w,178
u,n,w,d,178
d,r,v,v,178
v,v,u,an,178
d,v,y,w,178
d,a,w,d,178
r,v,u,d,178
v,a,an,c,178
v,n,d,v,178
w,d,w,w,178
b,u,c,vn,178
n,n,d,a,178
v,b,an,c,178
w,w,v,r,178
c,vn,d,r,178
c,an,w,d,178
n,u,n,w,178
d,p,s,v,178
v,w,r,d,178
v,ns,n,n,178
r,v,u,n,178
n,w,n,v,178
p,r,v,v,178
p,r,ns,u,178
nr,n,p,r,178
v,r,n,f,178
n,w,r,v,178
ns,u,n,c,178
u,w,vn,w,178
v,v,w,ns,178
n,n,a,n,178
u,nr,w,p,178
n,w,p,r,178
a,n,d,p,178
v,v,q,w,178
n,c,n,w,178
u,n,r,v,178
w,d,v,u,178
v,v,q,n,178
a,v,w,d,178
v,m,w,ns,178
n,v,u,n,178
f,w,v,v,178
u,n,w,ad,178
w,ns,w,m,178
n,v,v,w,178
d,a,n,w,178
ad,v,m,q,178
q,n,nr,n,178
w,ns,w,u,178
w,d,r,s,178
q,w,n,w,178
v,m,n,u,178
nr,n,r,u,178
m,q,u,nr,178
nz,n,n,v,178
v,u,ns,vn,178
r,d,v,n,178
w,p,v,ns,178
u,n,c,a,178
v,n,d,v,178
w,u,v,r,178
m,q,ns,n,178
n,nr,v,r,178
ns,vn,m,Ng,178
n,w,v,v,178
s,v,m,q,178
r,v,v,r,178
w,v,d,a,178
v,r,a,v,178
r,u,f,w,178
v,r,w,v,178
vn,w,Ng,w,178
d,v,u,w,178
r,s,v,m,178
ns,n,u,n,178
c,a,w,d,178
w,ad,v,m,178
n,f,ad,v,178
m,n,d,v,178
w,Vg,n,c,178
w,n,v,p,178
n,u,w,n,178
v,w,p,v,178
d,v,v,w,178
m,z,v,v,178
n,p,p,v,178
v,v,Vg,v,178
n,w,v,p,178
v,n,v,n,178
d,p,p,v,178
v,u,n,n,178
u,m,w,d,178
p,v,w,v,178
w,v,u,m,178
p,v,d,p,178
w,v,d,v,178
r,d,u,q,178
u,q,n,w,178
u,w,n,u,178
v,w,u,l,178
d,v,q,n,178
w,n,l,w,178
d,v,n,u,178
v,n,m,n,178
u,l,n,p,178
c,v,w,v,178
v,w,v,n,178
v,r,v,u,178
v,u,v,n,178
v,p,u,w,178
v,p,w,d,178
n,w,r,d,178
v,p,z,n,178
Vg,v,c,v,178
v,n,v,r,178
z,n,v,w,178
p,v,v,u,178
v,d,w,n,178
w,d,p,m,178
n,v,w,Vg,178
l,w,p,v,178
n,c,n,w,178
p,m,n,v,178
n,u,n,w,178
d,v,m,z,178
p,v,v,w,178
u,d,d,v,178
w,d,v,p,178
v,v,r,n,178
w,d,v,w,178
d,v,w,m,178
v,v,m,w,178
n,u,q,w,178
w,m,n,u,178
u,m,w,d,178
w,v,v,v,178
w,n,a,m,178
m,q,d,v,178
u,r,u,m,178
v,u,n,u,178
v,w,w,n,178
q,w,v,v,178
