@relation 21160

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {400,407,414,428}

@data
n,n,n,w,400
Ag,v,n,d,400
d,v,nr,w,400
v,v,w,n,400
v,r,n,u,400
d,d,r,n,400
w,n,d,v,400
nr,w,Ag,v,400
n,Ag,w,n,400
d,v,n,n,400
w,n,v,w,400
v,nr,n,Ag,400
r,n,u,n,400
n,d,v,r,400
v,w,d,d,400
n,d,v,nr,400
v,n,a,m,400
w,v,u,n,400
p,t,vn,f,400
r,u,w,c,400
w,v,a,vn,400
c,v,v,n,400
a,u,w,v,400
w,d,v,w,400
v,w,n,w,400
d,a,vn,w,400
vn,f,n,u,400
u,a,n,w,400
v,r,t,u,400
n,w,Ng,c,400
u,n,c,Ng,400
w,d,v,n,400
n,u,m,n,400
w,c,c,v,400
a,vn,d,d,400
u,vn,v,n,400
vn,w,d,v,400
v,n,r,v,400
t,u,f,v,400
r,p,u,vn,400
v,n,v,r,400
v,d,u,vn,400
v,w,c,v,400
w,v,w,r,400
v,r,n,w,400
w,r,r,p,400
c,Ng,v,w,400
n,w,r,u,400
Ng,c,w,d,400
v,d,vn,w,400
c,v,d,c,400
vn,w,d,a,400
d,a,w,d,400
d,d,n,w,400
u,vn,v,d,400
r,v,p,t,400
d,c,w,v,400
f,v,u,a,400
d,v,w,v,400
