@relation 681631

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {458,475}

@data
u,n,v,w,458
a,y,n,v,458
Ng,v,y,w,458
y,w,ns,n,458
ns,n,n,d,458
v,y,Ng,v,458
v,a,w,n,458
y,w,v,v,458
w,Ng,v,y,458
n,v,y,w,458
n,u,d,v,458
v,v,w,c,458
y,w,v,v,458
v,y,c,ns,458
w,n,v,y,458
w,c,n,u,458
c,ns,u,n,458
v,v,w,Ng,458
q,w,v,w,458
m,q,v,v,458
n,v,m,q,458
v,m,w,v,458
v,v,q,w,458
n,w,u,v,458
v,ns,u,a,458
ns,vn,a,vn,458
v,u,nr,n,458
vn,u,vn,w,458
v,a,d,v,458
v,v,ns,vn,458
d,v,v,ns,458
a,n,v,v,458
nr,n,n,vn,458
v,u,a,n,458
n,p,vn,u,458
nr,nr,p,n,458
vn,u,w,v,458
u,v,n,d,458
u,n,v,u,458
w,v,v,a,458
u,nr,n,p,458
n,d,v,v,458
p,n,u,n,458
v,v,vn,u,458
n,vn,n,w,458
w,d,v,w,458
n,v,vn,n,458
u,r,v,j,458
n,w,v,a,458
u,w,v,v,458
a,u,d,v,458
n,u,n,v,458
w,r,a,u,458
r,v,u,w,458
j,vn,w,r,458
vn,n,r,v,458
v,j,n,w,458
v,a,w,d,458
r,n,j,vn,458
n,w,n,n,458
n,vn,m,q,458
v,w,v,v,458
u,m,w,v,458
p,n,a,n,458
d,ad,p,t,458
n,d,v,n,458
n,u,vd,v,458
n,d,w,ad,458
w,d,v,p,458
n,w,n,f,458
ad,v,n,n,458
n,d,w,vn,458
vn,u,q,w,458
n,f,w,v,458
n,n,vn,w,458
v,w,n,u,458
c,n,i,u,458
d,v,v,n,458
u,p,v,p,458
v,q,w,v,458
v,w,d,v,458
w,v,u,n,458
v,n,c,n,458
n,f,v,n,458
n,vn,d,ad,458
v,v,n,f,458
w,vn,v,w,458
v,v,n,n,458
vn,w,ad,v,458
vn,w,n,n,458
v,n,v,w,458
vn,d,w,v,458
v,p,m,q,458
d,v,n,vn,458
d,v,vn,d,458
m,q,v,n,458
n,n,w,d,458
a,n,v,w,458
n,n,w,v,458
p,n,p,n,458
w,ad,v,n,458
vn,n,u,n,458
n,w,u,p,458
u,a,d,v,458
d,v,ad,v,458
u,ad,v,w,458
v,w,d,v,458
w,d,n,n,458
v,w,q,v,458
v,w,n,p,458
v,n,n,vn,458
v,w,n,w,458
v,w,w,v,458
v,d,w,v,458
v,n,vn,w,458
f,w,n,u,458
p,n,u,m,458
w,i,p,n,458
v,n,n,u,458
n,u,n,d,458
v,p,vn,u,458
ad,v,t,m,458
m,q,v,w,458
w,v,u,ad,458
n,n,v,w,458
n,p,u,a,458
n,u,c,n,458
i,u,n,v,458
q,w,n,d,458
n,c,w,i,458
w,v,d,v,458
u,n,n,w,458
q,n,w,vn,458
p,n,v,v,458
n,n,n,w,458
v,n,n,c,458
c,n,d,v,458
w,u,f,w,458
w,v,v,n,458
v,n,ad,vd,458
v,n,n,w,458
w,v,v,w,458
w,v,v,w,458
f,v,v,q,458
q,v,v,w,458
d,v,v,d,458
w,v,p,n,458
n,n,w,v,458
w,v,n,c,458
t,m,n,v,458
n,c,w,d,458
u,n,w,v,458
w,v,n,n,458
p,t,q,n,458
v,n,f,v,458
n,v,vn,n,458
n,w,v,n,458
n,n,v,n,458
w,vn,w,u,458
d,v,n,n,458
n,vn,v,n,458
n,v,n,vn,458
v,v,v,n,458
p,n,p,n,458
v,p,vn,m,458
w,v,c,v,458
n,vn,q,w,458
m,q,v,v,458
d,v,n,w,458
v,c,n,n,458
p,n,m,q,458
n,d,u,n,458
c,v,n,d,458
v,n,d,v,458
vn,m,w,v,458
n,v,n,vn,458
d,v,p,n,458
nt,p,v,p,458
n,n,v,u,458
q,w,v,c,458
v,nt,n,v,458
v,v,p,n,458
p,n,p,n,458
r,j,n,v,458
v,n,v,w,458
n,n,n,c,458
v,w,r,j,458
v,r,n,n,458
c,v,d,v,458
d,v,v,r,458
p,n,m,q,458
v,v,n,v,458
n,vn,v,w,458
n,c,vn,d,458
v,p,vn,m,458
c,n,d,v,458
v,n,n,vn,458
