@relation 681624

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {505,525}

@data
v,n,u,t,505
ns,m,a,n,505
r,q,nt,w,505
f,w,m,q,505
n,v,d,v,505
m,q,n,w,505
n,f,ns,m,505
w,ns,q,a,505
w,d,n,w,505
n,w,t,n,505
u,t,f,w,505
w,n,u,n,505
w,n,w,d,505
q,p,w,n,505
u,n,u,n,505
nt,w,n,u,505
n,v,n,v,505
d,v,w,u,505
t,n,w,ns,505
v,w,v,w,505
n,n,n,v,505
p,nt,n,n,505
v,w,v,n,505
n,v,n,v,505
n,u,v,u,505
w,u,n,f,505
v,u,v,w,505
u,n,w,n,505
vn,n,n,w,505
z,n,ad,v,505
l,u,n,w,505
u,n,n,c,505
u,z,w,ad,505
w,ad,ad,v,505
n,c,w,v,505
ad,v,v,w,505
w,v,l,u,505
v,v,u,z,505
n,u,w,n,505
v,l,z,n,505
n,w,c,n,505
n,w,v,l,505
n,w,v,ad,505
w,n,n,w,505
c,n,v,v,505
p,n,n,n,505
d,v,v,a,505
n,p,r,n,505
w,v,n,w,505
ad,v,n,w,505
n,w,d,v,505
i,w,w,v,505
v,a,w,v,505
n,ad,v,w,505
n,n,d,v,505
n,w,v,v,505
n,w,n,d,505
v,a,w,v,505
vn,w,i,w,505
a,n,v,a,505
v,n,w,d,505
d,l,d,v,505
w,n,v,n,505
n,u,vn,w,505
r,n,n,ad,505
v,n,l,w,505
v,c,a,a,505
w,r,d,v,505
a,n,v,p,505
v,a,u,vn,505
w,i,z,u,505
d,i,i,w,505
n,w,p,n,505
a,a,vn,c,505
w,v,n,u,505
w,d,ad,v,505
v,n,c,p,505
f,n,v,vn,505
v,vn,d,i,505
n,n,p,r,505
n,n,r,r,505
n,w,a,n,505
v,p,u,n,505
u,n,n,p,505
w,c,v,f,505
w,v,n,w,505
v,n,w,i,505
n,d,n,w,505
n,u,n,n,505
v,w,n,n,505
v,v,n,w,505
u,n,v,v,505
l,w,v,ad,505
n,d,n,n,505
p,r,n,u,505
n,w,a,n,505
c,v,a,u,505
w,z,v,w,505
v,n,n,d,505
vn,n,r,n,505
p,v,n,u,505
w,d,w,i,505
n,d,w,d,505
w,v,n,w,505
r,n,v,n,505
c,p,f,n,505
v,v,v,n,505
n,w,w,z,505
w,d,v,v,505
r,r,u,n,505
a,u,c,vn,505
d,v,w,c,505
d,v,v,n,505
i,w,u,v,505
n,n,i,w,505
w,v,d,l,505
a,n,v,a,505
u,vn,vn,n,505
v,f,u,v,505
ad,v,w,v,505
v,v,w,n,505
n,u,ad,v,505
vn,c,n,w,505
c,vn,w,r,505
w,i,v,n,505
i,w,n,d,505
u,v,w,d,505
v,a,w,v,505
d,v,n,w,505
n,w,p,v,505
v,ad,a,n,505
b,u,w,m,505
f,n,w,n,505
n,n,s,d,505
u,n,m,q,505
v,w,a,w,505
u,s,v,v,505
d,v,b,u,505
m,q,n,f,505
s,d,v,b,505
r,n,u,s,505
q,b,f,n,505
n,w,q,b,505
n,f,v,w,505
s,w,n,n,505
v,v,u,n,505
n,v,n,a,505
n,u,d,v,505
w,r,n,u,505
v,b,n,w,505
w,m,b,n,505
b,n,n,v,505
c,d,ns,v,505
d,p,v,w,505
n,v,Tg,p,505
p,nt,n,v,505
v,w,d,p,505
u,n,w,Tg,505
Ng,p,u,n,505
v,w,p,ns,505
Tg,p,v,w,505
w,Tg,ns,v,505
w,c,p,ns,505
p,ns,w,c,505
nt,u,v,w,505
ns,v,c,d,505
v,vn,n,w,505
w,n,vn,n,505
n,w,w,n,505
n,w,c,vn,505
p,vn,v,w,505
v,w,vn,n,505
n,p,n,v,505
n,w,w,n,505
n,c,n,ad,505
n,v,v,vn,505
n,n,n,w,505
w,v,n,n,505
c,vn,ad,v,505
vn,n,w,n,505
vn,n,v,v,505
w,n,n,c,505
vn,n,w,v,505
n,ad,v,w,505
w,n,n,w,505
n,v,n,m,505
q,w,m,q,505
m,q,n,n,505
p,v,vn,a,505
n,w,v,m,505
r,w,v,n,505
