@relation 21457

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {534,561,571,600,630}

@data
n,v,d,a,534
c,n,v,d,534
r,p,q,a,534
a,u,c,n,534
n,w,n,d,534
p,m,a,n,534
c,n,n,v,534
n,d,d,a,534
f,u,w,c,534
v,v,r,v,534
v,w,v,r,534
v,r,v,f,534
u,n,a,d,534
r,d,v,v,534
w,v,r,n,534
Ng,w,d,v,534
q,a,f,i,534
w,c,d,v,534
d,v,v,v,534
w,c,u,n,534
n,f,Ng,w,534
w,r,v,v,534
a,n,i,Ng,534
r,v,v,v,534
n,u,v,a,534
v,d,u,w,534
v,v,v,r,534
f,i,w,r,534
a,d,y,w,534
r,n,f,u,534
u,n,c,n,534
d,v,a,u,534
v,r,w,v,534
v,v,v,w,534
i,Ng,r,d,534
m,q,n,f,534
d,a,w,c,534
n,v,u,n,534
v,v,n,v,534
v,f,n,w,534
v,a,a,y,534
u,w,n,u,534
r,q,w,n,534
m,q,w,c,534
u,n,a,n,534
a,n,u,v,534
w,n,a,u,534
w,a,a,u,534
q,n,c,nr,534
a,w,q,n,534
n,d,m,q,534
i,u,q,n,534
nr,i,r,q,534
u,r,n,w,534
c,nr,z,u,534
d,v,q,n,534
w,nr,u,r,534
n,v,u,n,534
n,w,nr,d,534
w,m,n,d,534
a,u,w,a,534
nr,d,u,w,534
q,n,v,m,534
q,n,n,v,534
a,u,a,w,534
v,m,n,w,534
u,v,w,m,534
v,a,n,w,534
n,a,v,a,534
w,c,d,z,534
m,q,d,v,534
n,w,n,a,534
v,a,m,q,534
n,w,v,a,534
n,d,v,v,534
n,v,d,m,534
m,m,w,d,534
q,n,u,d,534
d,d,v,u,534
a,t,n,w,534
v,v,m,q,534
m,q,v,u,534
m,n,d,d,534
u,a,u,n,534
d,v,v,w,534
v,v,w,m,534
v,w,q,n,534
w,n,v,v,534
w,d,u,v,534
d,u,u,a,534
d,m,n,w,534
n,w,d,u,534
w,m,n,v,534
v,u,m,m,534
v,u,t,u,534
u,v,a,t,534
u,d,m,n,534
q,n,n,v,534
p,n,u,m,534
w,vn,v,w,534
u,m,n,w,534
f,n,a,w,534
w,v,n,v,534
v,u,q,n,534
v,a,vn,n,534
a,w,n,v,534
n,v,w,vn,534
v,f,v,a,534
n,p,v,u,534
q,n,v,f,534
m,q,w,v,534
n,v,m,q,534
n,w,f,n,534
u,n,v,a,534
ns,f,w,nz,534
v,Ng,w,v,534
n,v,v,d,534
v,a,d,a,534
m,n,v,u,534
Ng,n,v,u,534
v,u,n,v,534
nz,v,Ng,n,534
j,n,u,m,534
v,v,n,w,534
s,v,n,n,534
w,nz,v,Ng,534
w,j,n,u,534
n,u,n,s,534
v,d,w,ns,534
n,n,a,v,534
u,m,s,v,534
f,u,nz,v,534
w,v,n,d,534
a,w,f,u,534
u,w,v,v,534
n,s,u,n,534
n,w,u,n,534
a,v,a,w,534
d,a,ns,f,534
v,u,d,v,534
u,n,v,w,534
w,ns,u,w,534
n,n,m,n,534
w,v,n,u,534
q,a,v,v,534
v,p,t,w,534
r,n,n,d,534
u,a,n,w,534
v,a,m,q,534
ns,n,m,q,534
v,a,n,w,534
n,s,q,v,534
t,w,n,u,534
n,w,d,v,534
v,v,u,a,534
w,p,n,u,534
j,v,u,m,534
p,t,w,p,534
a,n,p,t,534
v,ns,s,m,534
v,a,n,w,534
d,a,n,w,534
v,n,a,a,534
n,u,a,n,534
n,d,u,n,534
p,v,u,n,534
t,v,t,t,534
w,p,v,p,534
q,b,w,r,534
a,u,q,a,534
b,n,r,n,534
a,a,w,p,534
m,q,w,v,534
u,n,p,v,534
a,u,w,p,534
n,v,a,n,534
r,d,ns,n,534
n,u,d,a,534
n,w,v,n,534
d,v,n,s,534
m,q,n,w,534
n,u,m,q,534
s,m,v,a,534
a,n,r,d,534
n,w,n,u,534
a,w,v,n,534
v,n,n,v,534
p,n,m,m,534
u,n,a,u,534
q,v,u,n,534
w,r,v,ns,534
t,t,p,n,534
w,r,u,n,534
n,u,v,a,534
a,a,w,r,534
u,m,a,w,534
u,m,q,b,534
w,p,u,m,534
n,w,t,v,534
u,n,a,a,534
m,q,a,u,534
m,m,b,n,534
p,t,p,t,534
r,v,v,a,534
v,u,d,v,534
v,r,u,v,534
v,p,u,vn,534
d,v,n,u,534
v,r,Ng,a,534
n,w,r,v,534
r,n,a,u,534
r,r,n,w,534
a,u,v,u,534
s,v,u,d,534
v,u,a,u,534
n,u,u,w,534
v,u,r,v,534
n,w,u,r,534
d,d,r,n,534
r,v,w,v,534
u,n,v,u,534
w,n,d,d,534
u,s,u,u,534
d,v,n,Ng,534
u,v,u,s,534
v,u,r,d,534
a,u,w,v,534
Ng,a,n,w,534
u,u,v,p,534
d,d,n,u,534
v,n,v,u,534
d,d,v,n,534
w,r,d,v,534
n,u,c,vn,534
p,n,vn,c,534
d,v,u,v,534
v,n,v,r,534
u,vn,vn,w,534
w,v,v,u,534
u,r,v,n,534
n,d,d,v,534
r,d,v,r,534
u,v,w,r,534
v,a,s,v,534
u,w,d,d,534
u,d,p,n,534
w,v,r,r,534
n,Ng,u,n,534
w,v,w,w,534
ns,w,u,n,534
c,m,t,v,534
v,u,Ag,n,534
a,w,v,Ag,534
ns,u,d,w,534
u,n,w,v,534
v,a,w,v,534
t,vn,w,ns,534
w,d,i,w,534
u,w,n,w,534
Ag,n,w,d,534
n,w,w,ns,534
v,Ag,d,v,534
w,Ag,w,w,534
vn,n,ns,w,534
u,t,n,w,534
w,ns,n,d,534
w,c,v,t,534
n,d,v,a,534
v,w,m,v,534
v,t,u,w,534
w,w,Ag,n,534
w,ns,ns,u,534
w,w,v,i,534
d,w,a,w,534
Ag,n,v,w,534
t,v,w,Ag,534
m,v,v,u,534
n,w,d,v,534
n,d,w,c,534
d,v,c,m,534
w,v,n,d,534
n,f,p,n,534
nr,nr,v,m,534
f,u,n,v,534
v,v,n,f,534
p,n,u,ns,534
p,v,q,v,534
ns,v,ns,n,534
n,nr,p,v,534
v,p,f,u,534
u,ns,n,f,534
f,w,n,v,534
n,v,n,nr,534
u,ns,v,v,534
v,ns,nr,nr,534
a,ns,u,ns,534
n,f,ns,n,534
v,a,v,u,534
p,n,v,p,534
v,u,n,n,534
ns,n,v,u,534
q,v,ns,v,534
ns,n,f,w,534
n,v,p,n,534
m,q,a,ns,534
nr,p,m,q,534
n,n,w,p,534
n,v,u,w,534
ns,n,nr,p,534
w,p,v,v,534
v,m,v,a,534
nt,v,n,w,561
d,v,v,w,561
n,d,nt,v,561
nt,v,n,w,561
d,d,u,w,561
d,v,w,v,561
n,w,w,u,561
n,w,w,v,561
w,u,v,vn,561
v,w,n,v,561
w,v,u,n,561
v,u,v,v,561
u,w,v,n,561
u,n,vn,w,561
n,w,Ng,w,561
v,v,w,n,561
w,v,w,d,561
v,Ng,d,d,561
w,v,n,w,561
w,n,v,w,561
v,n,n,w,561
w,d,v,u,561
Ng,w,d,v,561
nt,v,n,w,561
n,v,v,w,561
n,d,n,v,561
u,n,d,p,561
a,u,v,ad,561
q,w,u,b,561
n,n,u,n,561
d,p,v,v,561
v,u,n,w,561
u,b,ad,v,561
n,d,u,n,561
w,n,w,u,561
ad,v,u,v,561
n,u,w,d,561
d,a,n,v,561
d,d,v,u,561
u,n,d,v,561
p,n,a,u,561
ad,v,v,w,561
d,v,u,n,561
v,n,n,w,561
u,v,u,n,561
v,w,n,w,561
n,v,p,n,561
w,v,n,n,561
n,d,v,v,561
w,n,b,n,561
u,u,n,u,561
w,u,d,d,561
v,v,n,d,561
b,n,v,u,561
v,ad,w,v,561
v,v,n,n,561
m,q,n,u,561
u,n,d,a,561
n,w,a,u,561
v,u,v,n,561
w,d,u,n,561
v,p,d,a,561
n,u,n,ad,561
v,w,w,n,561
d,a,n,n,561
u,n,ad,v,561
n,w,n,d,561
a,u,n,d,561
n,n,p,n,561
n,ad,u,u,561
p,n,v,p,561
nt,v,n,w,561
u,n,d,v,561
nt,v,n,w,561
v,p,f,w,561
u,n,d,v,561
c,d,u,n,561
v,n,v,nt,561
n,c,v,u,561
w,d,p,b,561
v,p,n,v,561
n,v,n,f,561
d,v,b,n,561
n,f,v,n,561
n,w,v,p,561
w,v,nt,v,561
d,v,n,w,561
p,b,v,p,561
f,w,n,nt,561
v,u,w,d,561
v,nt,w,w,561
b,n,p,n,561
p,n,w,v,561
n,nt,nt,n,561
w,a,v,u,561
v,w,a,n,561
nz,n,n,f,561
w,q,u,a,561
m,n,n,w,561
v,ns,q,n,561
w,Vg,r,q,561
v,v,n,w,561
Vg,n,q,v,561
n,w,v,v,561
r,v,w,w,561
u,n,q,v,561
d,a,Vg,n,561
w,v,m,q,561
n,v,a,n,561
n,w,f,d,561
u,v,n,u,561
v,m,u,n,561
v,u,w,v,561
