@relation 21483

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {660,690,708,736}

@data
v,n,d,v,660
q,u,n,d,660
v,r,r,v,660
n,n,d,a,660
n,v,v,d,660
a,w,v,n,660
m,m,u,n,660
u,n,d,d,660
d,a,n,v,660
m,q,n,n,660
n,d,a,w,660
v,w,r,v,660
r,v,v,w,660
d,d,w,n,660
w,n,n,v,660
d,v,v,r,660
n,v,v,w,660
w,v,v,r,660
v,d,w,v,660
v,r,r,v,660
n,d,v,w,660
r,v,v,w,660
v,d,w,v,660
n,d,d,v,660
w,r,r,d,660
d,v,r,w,660
d,d,v,u,660
r,d,v,r,660
v,n,d,v,660
d,v,r,v,660
d,d,w,r,660
nr,n,r,n,660
r,w,v,d,660
u,r,r,v,660
r,n,d,d,660
r,v,y,w,660
w,v,d,d,660
d,v,v,n,660
r,v,d,r,660
d,r,r,y,660
w,r,d,v,660
n,w,n,d,660
v,w,v,r,660
d,d,u,r,660
v,u,w,r,660
v,w,n,d,660
w,r,d,d,660
v,p,d,a,660
v,n,w,v,660
n,w,v,n,660
v,w,d,v,660
w,w,d,v,660
w,n,w,w,660
v,v,v,v,660
v,w,w,nr,660
v,w,v,w,660
d,a,n,v,660
p,s,a,u,660
r,n,p,v,660
s,d,u,n,660
