@relation 21507

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {766,774,799,805}

@data
w,v,n,d,766
r,n,ns,u,766
a,n,v,r,766
ns,ns,m,a,766
n,ns,u,m,766
u,m,n,w,766
n,d,u,w,766
r,n,v,u,766
q,f,n,ns,766
m,a,w,v,766
d,v,q,f,766
v,m,f,r,766
ns,u,a,n,766
f,r,ns,ns,766
n,w,r,n,766
v,r,d,v,766
m,q,r,n,766
p,s,v,v,766
n,u,n,w,766
s,w,v,v,766
w,v,v,v,766
v,r,u,m,766
v,v,n,v,766
r,n,m,n,766
v,v,v,u,766
w,v,n,u,766
n,v,w,v,766
v,v,v,n,766
v,n,u,w,766
d,v,s,w,766
u,w,r,n,766
v,p,w,v,766
v,u,v,r,766
v,n,q,a,766
w,v,n,v,766
r,ad,y,w,766
y,w,r,v,766
n,v,a,w,766
y,w,v,n,766
ad,v,w,r,766
r,r,u,w,766
v,y,r,r,766
d2,v,w,v,766
v,y,v,v,766
t,d2,y,w,766
r,v,w,t,766
w,t,v,y,766
v,v,v,q,766
v,u,t,d2,766
w,r,v,u,766
u,w,d2,v,766
nr,a,w,d,766
v,ns,nr,nr,766
d,v,nr,n,766
v,nr,v,u,766
nr,nr,nr,a,766
n,w,d,v,766
nr,n,u,n,766
d,v,u,nr,766
w,d,v,v,766
u,nr,c,nr,766
d,d,v,nr,766
ns,u,nr,c,766
a,n,d,d,766
nr,c,a,n,766
n,v,n,w,766
v,v,n,v,766
c,nr,n,w,766
d,a,w,c,766
w,c,v,n,766
p,v,Ng,w,766
w,d,d,u,766
v,d,v,v,766
v,n,w,d,766
c,n,n,d,766
u,w,p,v,766
u,v,m,f,766
m,f,v,n,766
Ng,w,v,d,766
u,n,v,d,766
v,v,f,v,766
v,m,v,v,766
n,u,d,v,766
n,Ng,d,v,766
d,v,u,v,766
c,p,n,Ng,766
n,d,d,a,766
d,v,a,u,766
a,u,c,p,766
f,v,n,w,766
d,u,v,m,766
v,d,u,w,766
v,v,y,w,766
u,d,n,Ng,766
v,v,n,y,766
p,r,v,r,766
r,v,r,u,766
v,n,w,d,766
u,v,v,n,766
w,d,u,v,766
Ng,w,v,u,766
d,v,v,v,766
r,u,v,n,766
d,v,Ng,w,766
n,Ng,d,v,766
v,v,u,d,766
v,r,d,v,766
v,u,v,v,766
v,n,q,a,766
f,v,m,n,766
n,u,w,i,766
n,u,n,u,766
u,m,u,w,766
v,m,n,w,766
n,d,u,v,766
u,w,u,n,766
m,u,w,z,766
w,z,n,d,766
u,n,z,a,766
n,w,a,u,766
n,w,a,w,766
a,w,m,a,766
a,u,w,n,766
d,i,v,n,766
i,u,n,w,766
n,w,f,v,766
w,n,n,w,766
q,m,n,w,766
n,f,u,m,766
w,v,a,n,766
u,n,i,u,766
w,z,u,n,766
m,n,w,n,766
w,i,z,u,766
u,n,n,f,766
w,n,v,u,766
u,n,i,w,766
w,q,w,v,766
z,u,d,i,766
