@relation 729895

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {835,855,870}

@data
a,u,w,v,835
m,q,n,w,835
w,v,vn,r,835
a,n,d,v,835
w,d,v,ns,835
v,v,n,v,835
v,ns,v,d,835
v,w,n,vn,835
n,v,m,q,835
u,v,v,n,835
n,w,v,v,835
vn,r,a,n,835
v,n,r,q,835
d,m,a,n,835
q,a,w,d,835
v,d,q,a,835
n,vn,q,a,835
r,q,n,w,835
d,v,ns,n,835
ns,n,d,m,835
c,a,n,d,835
w,n,a,w,835
a,w,d,a,835
n,v,u,n,835
d,v,u,w,835
v,v,w,v,835
v,n,n,u,835
u,w,n,v,835
v,u,v,n,835
w,v,v,n,835
v,n,n,w,835
w,c,v,p,835
v,v,u,n,835
d,v,d,a,835
u,n,d,d,835
c,d,p,d,835
n,v,u,n,835
v,t,n,v,835
d,d,v,v,835
d,d,v,t,835
t,u,n,w,835
t,u,v,v,835
d,a,n,v,835
u,n,v,w,835
n,w,d,v,835
p,d,u,n,835
n,d,d,v,835
a,u,v,t,835
n,n,c,d,835
v,t,n,n,835
u,n,w,c,835
v,p,a,u,835
u,n,t,u,835
d,v,t,u,835
v,n,n,w,835
u,n,c,vn,835
v,v,m,n,835
w,c,vn,p,835
m,v,u,n,835
r,p,vn,v,835
n,w,vn,vn,835
m,n,m,v,835
n,u,w,c,835
vn,v,m,d,835
v,v,v,m,835
p,v,v,v,835
vn,p,v,v,835
w,r,n,vn,835
vn,vn,v,v,835
u,m,r,p,835
f,u,w,r,835
c,vn,p,v,835
v,u,d,a,835
m,w,p,n,835
