@relation 24102

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {900,930,958,987,1017,1047,1059,1067}

@data
nr,v,a,n,900
n,w,v,n,900
nr,nr,u,a,900
w,n,t,v,900
v,v,i,u,900
n,c,w,v,900
a,n,nz,w,900
u,n,nr,nr,900
n,v,w,p,900
Tg,u,w,w,900
w,Tg,n,w,900
v,v,u,a,900
w,p,v,v,900
a,n,nr,v,900
n,u,n,nr,900
v,u,Tg,u,900
v,u,u,n,900
u,w,u,n,900
u,n,n,w,900
u,a,n,nr,900
n,n,n,n,900
a,u,n,w,900
p,n,v,u,900
n,w,p,n,900
w,w,n,v,900
w,p,v,a,900
nz,w,w,t,900
n,w,n,n,900
n,n,nr,v,900
u,a,w,nz,900
v,u,n,w,900
n,v,u,i,900
w,t,n,v,900
v,n,w,w,900
w,w,n,v,900
p,n,a,u,900
v,n,a,n,900
n,w,w,n,900
n,nr,v,u,900
u,n,w,p,900
n,v,u,n,900
v,w,p,n,900
n,u,n,n,900
w,nz,n,w,900
n,n,v,u,900
n,nr,u,w,900
nr,v,w,Tg,900
v,n,u,n,900
v,a,n,n,900
i,u,c,n,900
u,i,n,c,900
c,n,v,n,900
w,v,n,u,900
t,v,v,w,900
w,v,v,vn,900
v,w,w,v,900
n,n,v,w,900
d,d,d,v,900
n,w,v,Ng,900
d,v,d,d,900
v,n,n,d,900
Ng,p,w,v,900
n,d,w,d,900
u,v,n,w,900
v,r,w,n,900
a,w,n,w,900
p,v,v,w,900
v,vn,w,n,900
v,v,w,n,900
w,n,v,n,900
n,w,u,v,900
a,w,v,r,900
w,v,w,n,900
n,w,u,v,900
