@relation 774236_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1078,1087}

@data
ns,u,w,n,1078
w,ns,ns,w,1078
w,ns,ns,w,1078
v,u,u,n,1078
ns,w,w,ns,1078
v,v,p,v,1078
w,v,vn,w,1078
w,vn,n,m,1078
u,n,n,s,1078
v,s,w,v,1078
c,v,f,v,1078
w,ns,n,w,1078
r,n,v,s,1078
w,n,w,m,1078
ns,w,w,ns,1078
v,f,u,a,1078
n,m,n,ad,1078
n,w,s,vn,1078
s,w,w,vn,1078
w,p,s,r,1078
ad,v,v,v,1078
c,v,w,p,1078
u,a,n,w,1078
m,q,ad,v,1078
m,w,vn,n,1078
q,n,v,c,1078
p,v,r,n,1078
vn,w,v,s,1078
v,v,vn,c,1078
vn,vn,m,q,1078
w,ns,ns,w,1078
w,ns,ns,u,1078
w,v,s,vn,1078
s,vn,v,v,1078
ns,w,w,ns,1078
v,s,n,w,1078
n,w,s,w,1078
v,w,v,s,1078
s,r,w,v,1078
ns,w,u,n,1078
n,s,m,w,1078
v,c,v,w,1078
ns,w,w,ns,1078
w,ns,ns,w,1078
v,s,c,v,1078
v,v,v,u,1078
vn,n,q,n,1078
f,v,a,u,1078
n,ad,c,v,1078
s,vn,v,v,1078
vn,c,v,f,1078
w,m,vn,vn,1078
n,v,q,w,1078
v,j,w,n,1078
ns,n,v,a,1078
d,p,p,ns,1078
