@relation 790810

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1116,1143}

@data
u,v,n,u,1116
v,s,b,n,1116
s,b,n,w,1116
v,u,n,n,1116
n,n,q,w,1116
m,q,v,v,1116
u,n,m,q,1116
q,w,v,s,1116
v,n,u,n,1116
b,b,w,v,1116
w,v,s,b,1116
n,w,u,v,1116
w,v,v,n,1116
n,m,w,v,1116
v,v,b,b,1116
f,u,n,m,1116
b,n,v,u,1116
n,n,n,w,1116
m,q,n,n,1116
v,m,vn,n,1116
v,n,Vg,n,1116
l,w,n,d,1116
n,d,n,vn,1116
w,v,d,Vg,1116
v,w,n,w,1116
w,w,vn,n,1116
v,b,n,vn,1116
v,vn,w,v,1116
vn,vn,v,w,1116
w,v,n,n,1116
vn,w,w,n,1116
f,w,f,v,1116
n,vn,w,w,1116
w,nt,w,v,1116
w,v,w,v,1116
n,w,vn,vn,1116
vn,w,v,w,1116
v,w,n,vn,1116
v,n,n,f,1116
v,n,v,vn,1116
n,vn,nt,v,1116
n,v,u,n,1116
u,n,w,nt,1116
n,p,f,w,1116
w,v,v,n,1116
w,v,p,n,1116
w,n,vn,n,1116
p,n,w,vn,1116
v,n,b,u,1116
w,v,n,w,1116
w,vn,v,a,1116
v,w,w,v,1116
nt,v,v,w,1116
f,v,a,w,1116
vn,n,v,n,1116
n,f,vn,f,1116
w,v,vn,w,1116
v,vn,w,v,1116
vn,f,a,a,1116
n,w,n,p,1116
vn,n,w,v,1116
n,n,n,w,1116
n,w,v,vn,1116
b,u,vn,w,1116
b,n,n,c,1116
q,n,n,w,1116
m,q,w,r,1116
n,d,u,m,1116
n,n,m,q,1116
v,u,q,f,1116
d,v,m,q,1116
m,q,vn,n,1116
c,m,v,n,1116
v,w,m,q,1116
w,v,q,n,1116
u,m,f,w,1116
n,n,c,m,1116
