@relation 24819

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1173,1881,1232,1253}

@data
v,r,d,d,1173
d,a,r,w,1173
t,v,w,n,1173
p,t,a,y,1173
v,vn,n,p,1173
y,w,d,d,1173
v,u,n,v,1173
r,w,d,v,1173
d,d,v,r,1173
d,d,u,p,1173
t,a,y,w,1173
u,p,v,a,1173
w,r,d,a,1173
w,d,v,u,1173
a,a,w,r,1173
w,n,t,a,1173
d,v,p,n,1173
n,p,a,a,1173
p,n,a,w,1173
vn,w,p,t,1173
a,v,w,d,1173
a,y,r,d,1173
r,d,a,v,1173
n,d,p,nt,1173
n,v,n,w,1173
p,n,v,n,1173
r,n,n,d,1173
u,n,n,v,1173
p,nt,n,p,1173
nt,u,p,n,1173
u,n,v,p,1173
n,u,d,v,1173
v,r,u,n,1173
n,p,v,v,1173
v,p,u,n,1173
d,v,nt,u,1173
v,d,v,ns,1173
nr,v,v,v,1173
d,v,ns,v,1173
v,v,v,v,1173
ns,v,w,r,1173
v,w,v,w,1173
v,a,v,d,1173
a,nr,d,v,1173
v,ns,v,w,1173
v,v,r,v,1173
v,m,r,v,1173
n,w,v,v,1173
m,w,v,v,1173
w,r,v,r,1173
r,v,m,w,1173
