@relation 809659_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1283,1258,1313,1326}

@data
nt,c,d,v,1283
v,f,nt,c,1283
c,n,u,vn,1283
n,v,vn,u,1283
u,v,n,v,1283
n,v,a,c,1283
v,n,c,n,1283
u,vn,v,c,1283
vn,u,vn,w,1283
c,n,v,c,1283
v,c,nt,v,1283
u,ns,v,n,1283
nt,v,ns,n,1283
v,u,n,v,1283
v,nt,u,ns,1283
f,w,c,n,1283
ns,n,n,vn,1283
ns,v,w,nt,1283
c,a,v,ns,1283
n,d,c,a,1283
v,ns,v,n,1283
c,v,v,u,1283
ns,n,n,a,1283
a,u,ns,n,1283
w,v,v,nt,1283
n,vn,vn,w,1283
v,c,u,v,1283
a,c,vn,u,1283
n,vn,n,vn,1283
d,v,a,u,1283
vn,w,c,v,1283
v,n,u,n,1283
vn,u,w,v,1283
n,a,n,vn,1283
w,nt,n,d,1283
u,v,n,u,1283
w,vn,vn,vn,1283
u,vn,vn,c,1283
a,u,nz,n,1283
v,nz,u,vn,1283
f,w,a,u,1283
m,q,w,d,1283
q,f,d,a,1283
vn,c,vn,w,1283
nz,n,vn,w,1283
vn,w,c,vn,1283
n,u,w,vn,1283
w,d,u,v,1283
d,a,v,nz,1283
v,m,f,w,1283
d,p,v,w,1283
w,t,v,w,1283
w,w,nt,w,1283
w,w,w,c,1283
nt,w,w,nz,1283
w,nt,c,w,1283
nz,w,w,nt,1283
w,c,nz,w,1283
nz,w,ad,v,1283
w,nz,t,ad,1283
c,w,w,t,1283
n,f,nr,v,1258
w,p,n,f,1258
vn,n,v,nr,1258
n,w,v,n,1258
f,v,v,n,1258
v,nr,n,w,1258
p,vn,f,v,1258
w,nr,n,w,1258
nz,w,vn,n,1258
nr,v,w,nr,1258
v,n,nr,v,1258
q,a,v,p,1283
n,v,v,u,1283
m,q,n,v,1283
a,n,p,n,1283
n,v,n,v,1283
v,p,v,f,1283
v,f,u,w,1283
p,n,f,v,1283
a,n,f,v,1283
f,v,Ng,v,1283
c,j,p,n,1283
Ng,v,r,n,1283
vn,n,v,w,1283
n,v,ad,v,1283
v,n,v,w,1283
w,ad,v,ns,1283
p,n,n,v,1283
w,r,v,v,1283
u,n,w,ad,1283
n,vn,v,v,1283
w,v,vn,w,1283
t,p,n,v,1283
v,u,v,w,1283
n,v,u,n,1283
v,v,v,n,1283
v,w,n,vn,1283
ad,v,ns,c,1283
v,v,c,j,1283
n,v,w,v,1283
v,w,n,v,1283
p,a,v,f,1283
j,w,n,vn,1283
w,p,vn,n,1283
n,v,v,n,1283
v,v,n,v,1283
v,ns,j,w,1283
v,f,n,Ng,1283
ns,c,w,p,1283
n,Ng,w,r,1283
r,n,v,u,1283
v,w,v,v,1283
a,u,c,ns,1283
w,p,vn,d,1283
t,w,n,vn,1283
v,p,w,p,1283
p,n,d,a,1283
vn,d,u,ns,1283
n,vn,a,u,1283
u,ns,ns,v,1283
p,t,p,n,1283
ns,c,v,w,1283
d,a,ns,c,1283
c,n,a,w,1283
v,n,m,q,1283
n,c,v,a,1283
t,v,n,n,1283
p,v,n,n,1283
d,p,w,n,1283
w,d,v,w,1283
w,p,n,w,1283
n,n,vn,n,1283
vn,n,n,v,1283
n,w,n,c,1283
n,n,q,b,1283
n,w,n,n,1283
q,b,w,p,1283
v,t,v,n,1283
w,n,w,w,1283
v,w,n,w,1283
v,a,d,p,1283
v,v,n,m,1283
n,v,w,d,1283
a,w,p,v,1283
w,vn,c,n,1283
p,n,w,vn,1283
n,m,b,n,1283
b,n,p,n,1283
m,q,n,w,1283
n,w,vn,w,1283
n,u,u,a,1283
v,n,m,q,1283
n,v,v,u,1283
u,f,p,n,1283
p,n,a,n,1283
c,n,k,v,1283
nr,n,n,n,1283
w,v,w,vn,1283
u,v,a,c,1283
w,vn,u,a,1283
f,r,n,v,1283
u,nr,n,c,1283
n,k,n,u,1283
l,u,v,w,1283
v,a,w,v,1283
nr,nr,c,n,1283
m,q,n,w,1283
n,w,a,ns,1283
a,n,v,u,1283
q,n,u,n,1283
i,u,n,v,1283
n,c,n,k,1283
vn,vn,a,n,1283
p,a,v,u,1283
a,n,v,vn,1283
n,l,n,v,1283
u,a,u,v,1283
w,c,u,n,1283
k,v,u,m,1283
v,u,nr,n,1283
a,c,u,vn,1283
ns,v,f,r,1283
r,p,v,a,1283
v,u,c,a,1283
q,vn,w,p,1283
u,a,a,u,1283
vn,w,vn,u,1283
n,v,c,i,1283
u,n,w,c,1283
n,v,n,w,1283
v,w,i,u,1283
c,a,vn,w,1283
v,u,r,p,1283
v,vn,vn,vn,1283
p,m,n,l,1283
w,v,nr,nr,1283
u,m,vn,n,1283
n,u,q,vn,1283
v,w,u,nr,1283
vn,n,p,a,1283
c,i,n,n,1283
w,p,ns,v,1283
n,n,v,n,1283
a,ns,u,f,1283
vn,u,n,u,1283
n,n,w,v,1283
u,n,v,w,1283
m,q,l,u,1283
q,v,v,w,1283
v,f,r,d,1283
d,m,v,n,1283
ns,v,w,r,1283
w,r,m,q,1283
m,q,n,v,1283
r,d,q,v,1283
f,w,d,m,1283
u,v,n,d,1283
v,w,n,w,1283
m,w,v,l,1283
w,v,a,n,1283
nt,v,m,w,1283
u,m,nt,v,1283
u,n,nt,d,1283
d,r,y,w,1283
u,m,w,c,1283
w,n,r,v,1283
u,v,v,w,1283
q,w,nt,v,1283
v,u,w,v,1283
v,u,w,nt,1283
a,n,v,u,1283
nt,v,m,w,1283
v,l,l,u,1283
l,u,w,n,1283
w,c,v,u,1283
n,w,d,v,1283
c,nt,u,m,1283
v,u,w,v,1283
n,w,u,n,1283
n,d,v,y,1283
v,w,w,a,1283
w,a,w,v,1283
u,m,v,v,1283
v,v,n,l,1283
w,v,n,w,1283
v,u,w,nt,1283
n,l,v,w,1283
m,w,v,u,1283
m,q,c,nt,1283
l,n,u,v,1283
w,nt,u,m,1283
w,nt,v,u,1283
w,v,l,n,1283
v,u,q,w,1283
v,w,d,r,1283
r,v,v,w,1283
nt,d,u,m,1283
d,v,m,q,1283
nt,v,w,d,1283
v,u,n,w,1283
t,w,v,v,1283
w,v,v,f,1283
v,v,a,n,1283
v,v,f,v,1283
v,w,v,u,1283
v,f,v,u,1283
v,v,d,v,1283
u,n,v,v,1283
f,v,u,a,1283
n,w,v,v,1283
w,d,u,n,1283
v,v,v,v,1283
v,u,w,v,1283
w,nt,v,w,1283
d,v,n,w,1283
n,d,m,q,1283
q,n,d,v,1283
w,v,f,q,1283
w,c,t,w,1283
u,f,n,n,1283
u,n,s,w,1283
f,q,n,d,1283
p,t,q,n,1283
q,w,p,t,1283
n,d,m,q,1283
s,w,u,f,1283
n,n,v,m,1283
d,v,q,w,1283
t,w,n,n,1283
n,v,w,v,1283
m,q,c,p,1283
w,q,n,d,1283
q,n,d,v,1283
v,s,v,u,1283
n,n,v,m,1283
d,v,q,w,1283
c,p,w,q,1283
v,u,q,n,1283
m,u,v,s,1283
v,m,w,c,1283
nt,p,v,u,1283
n,w,v,r,1283
n,n,v,v,1283
v,r,f,u,1283
ns,v,n,n,1283
u,m,vn,vn,1283
v,u,n,w,1283
m,q,vn,w,1283
f,u,q,vn,1283
w,nt,ns,v,1283
u,n,w,v,1283
v,v,v,f,1283
w,v,r,v,1283
p,ns,u,n,1283
v,f,m,q,1283
r,v,u,m,1283
t,w,p,ns,1283
w,r,d,p,1283
v,w,q,f,1283
v,w,v,r,1283
n,w,d,v,1283
v,v,ns,v,1283
n,d,v,w,1283
w,nt,v,v,1283
w,ns,r,m,1283
r,m,n,d,1283
ns,v,m,n,1283
p,ns,vn,n,1283
q,f,r,n,1283
v,vn,w,nt,1283
v,r,n,n,1283
f,w,n,d,1283
n,d,ns,v,1283
nt,d,v,w,1283
d,v,w,ns,1283
vn,n,nt,d,1283
m,n,d,ad,1283
m,q,w,r,1283
n,n,ad,v,1283
d,p,v,vn,1283
r,n,p,ns,1283
w,m,f,w,1283
ns,v,n,w,1283
i,u,w,p,1283
u,m,u,vn,1283
c,j,vn,n,1283
n,w,u,m,1283
c,nt,j,u,1283
p,a,v,f,1283
f,u,vn,v,1283
p,nz,nt,c,1283
m,i,vn,w,1283
nz,c,c,j,1283
u,vn,w,v,1283
a,vn,u,a,1283
u,vn,p,a,1283
w,p,n,v,1283
v,u,u,n,1283
vn,n,v,u,1283
n,v,u,a,1283
a,n,f,u,1283
v,f,a,vn,1283
j,u,n,w,1283
w,v,m,i,1283
u,a,v,u,1283
u,a,n,w,1283
nt,c,u,vn,1283
v,u,i,u,1283
vn,v,a,u,1283
vn,w,a,n,1283
t,p,v,w,1283
f,vn,t,p,1283
vn,n,p,nt,1283
q,f,n,t,1283
m,q,vn,n,1283
n,t,nt,v,1283
q,w,m,q,1283
w,v,d,v,1283
d,p,ns,v,1283
q,a,v,n,1283
d,v,f,d,1283
n,w,Ng,d,1283
t,d,ns,f,1283
w,t,v,ns,1283
vn,w,d,p,1283
v,Ng,v,ns,1283
n,n,t,d,1283
t,d,ns,ns,1283
u,vn,t,d,1283
n,m,w,n,1283
d,v,u,vn,1283
w,t,p,ns,1283
d,v,n,w,1283
n,w,n,n,1283
b,n,v,Ng,1283
v,n,w,t,1283
m,q,n,m,1283
m,q,w,m,1283
u,b,w,v,1283
m,m,n,w,1283
p,ns,v,m,1283
u,v,n,w,1283
v,n,m,q,1283
ns,v,q,a,1283
w,m,n,u,1283
q,n,m,m,1283
ns,ns,m,q,1283
ns,u,w,t,1283
m,q,u,v,1283
Ng,d,ns,u,1283
u,n,v,n,1283
n,w,d,v,1283
m,n,b,n,1283
n,n,q,w,1283
v,u,w,v,1283
v,m,q,n,1283
v,ns,vn,w,1283
v,ns,d,v,1283
n,w,m,n,1283
ns,f,v,u,1283
w,v,n,m,1283
v,m,a,u,1283
f,d,u,n,1283
w,n,q,w,1283
n,u,n,w,1283
a,u,n,n,1283
m,m,u,b,1283
n,u,w,m,1283
w,v,t,w,1283
m,q,u,nt,1283
q,n,nt,w,1283
w,m,n,v,1283
v,p,w,v,1283
u,nt,m,u,1283
v,m,n,u,1283
m,u,v,v,1283
u,n,v,w,1283
nt,w,u,n,1283
p,t,v,m,1283
w,v,q,n,1283
t,w,m,q,1283
t,t,v,w,1283
n,w,w,nt,1283
v,n,u,n,1283
w,nt,nt,v,1283
w,c,t,t,1283
w,v,w,c,1283
n,n,n,n,1283
w,nt,vn,w,1283
v,nt,c,p,1283
nt,w,w,nt,1283
w,nt,nt,w,1283
n,n,nt,w,1283
p,t,t,ad,1283
nt,w,v,vn,1283
nt,p,v,c,1283
t,t,ad,v,1283
n,u,n,w,1283
v,vn,v,nt,1283
d,v,v,n,1283
nt,v,w,v,1283
u,n,w,nt,1283
c,p,t,t,1283
v,c,n,n,1283
vn,w,nt,w,1283
c,v,n,u,1283
p,d,c,v,1283
nt,w,p,t,1283
v,p,w,d,1283
t,v,t,w,1283
w,d,v,w,1283
p,t,v,p,1283
t,t,p,t,1283
t,w,v,v,1283
p,t,d,v,1283
n,nr,v,vn,1283
nr,nr,vn,n,1283
p,t,w,n,1283
v,p,t,w,1283
v,vn,n,w,1283
t,w,n,nr,1283
nr,v,n,n,1283
n,n,nr,v,1283
t,t,n,n,1283
w,n,nr,nr,1283
w,s,ns,a,1283
n,d,w,j,1283
w,w,w,vn,1283
n,t,ns,n,1283
ns,n,v,v,1283
w,j,w,b,1283
w,n,v,n,1283
v,n,b,w,1283
c,n,vn,vn,1283
vn,vn,t,p,1283
d,v,j,w,1283
ns,t,n,w,1283
vn,vn,c,n,1283
vn,n,n,n,1283
nr,nr,nr,nr,1283
n,vn,n,t,1283
b,w,w,n,1283
t,n,nr,nr,1283
d,v,w,b,1283
t,p,n,n,1283
n,c,n,vn,1283
a,vn,n,c,1283
nr,w,nr,w,1283
w,nr,w,n,1283
p,ns,n,v,1283
nr,nr,n,d,1283
v,w,w,w,1283
b,w,w,ns,1283
n,n,vn,n,1283
w,b,vn,w,1283
