@relation 25361

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1346,1360,1366}

@data
v,v,v,q,1346
r,r,u,w,1346
t,d2,y,w,1346
w,v,n,v,1346
w,r,v,u,1346
w,t,v,y,1346
n,v,a,w,1346
v,u,t,d2,1346
r,ad,y,w,1346
v,y,r,r,1346
v,y,v,v,1346
ad,v,w,r,1346
u,w,d2,v,1346
y,w,v,n,1346
d2,v,w,v,1346
v,n,q,a,1346
y,w,r,v,1346
r,v,w,t,1346
nr,u,w,v,1346
v,nr,u,n,1346
v,u,q,v,1346
r,v,w,v,1346
w,f,u,m,1346
w,v,v,f,1346
nr,v,v,u,1346
d,p,nr,v,1346
f,v,v,w,1346
w,v,nr,nr,1346
f,v,m,q,1346
n,w,f,v,1346
q,v,nr,u,1346
w,r,p,nr,1346
n,w,u,nr,1346
v,v,nr,w,1346
u,v,nr,nr,1346
u,v,n,p,1346
n,v,v,v,1346
v,f,w,f,1346
p,nr,v,u,1346
r,d,nr,nr,1346
v,u,v,nr,1346
v,f,f,v,1346
u,n,v,u,1346
v,u,u,n,1346
v,n,v,f,1346
f,v,f,v,1346
u,m,v,nr,1346
nr,p,n,v,1346
nr,nr,u,v,1346
u,n,r,v,1346
nr,nr,n,w,1346
u,nr,p,n,1346
nr,nr,n,n,1346
v,u,nr,p,1346
m,q,nr,nr,1346
p,r,n,w,1346
p,n,v,u,1346
n,p,v,n,1346
v,u,p,r,1346
n,n,u,v,1346
v,w,v,u,1346
v,n,v,u,1346
v,u,n,n,1346
n,n,u,n,1346
n,w,u,v,1346
v,n,a,u,1346
u,v,n,a,1346
w,v,v,n,1346
n,a,n,w,1346
w,n,n,f,1346
w,n,v,m,1346
v,w,v,v,1346
r,c,u,v,1346
v,q,a,w,1346
w,n,u,m,1346
c,v,v,q,1346
v,u,q,m,1346
n,a,m,q,1346
u,v,m,a,1346
a,u,q,w,1346
n,v,r,c,1346
t,w,v,n,1346
q,a,n,c,1346
n,c,v,w,1346
f,v,n,v,1346
n,f,w,n,1346
v,w,c,v,1346
v,v,q,a,1346
c,n,w,r,1346
m,q,u,n,1346
a,w,a,u,1346
v,n,v,w,1346
a,u,c,n,1346
q,m,w,n,1346
w,r,v,u,1346
v,m,a,u,1346
n,v,m,q,1346
n,v,f,v,1346
u,n,n,v,1346
m,a,n,a,1346
n,n,i,u,1346
v,u,d,v,1346
d,i,v,u,1346
d,v,v,v,1346
w,f,n,n,1346
v,t,f,u,1346
n,d,w,v,1346
u,n,v,w,1346
t,w,u,n,1346
u,v,n,d,1346
w,v,v,v,1346
u,n,d,i,1346
i,u,u,n,1346
n,d,u,v,1346
v,v,v,w,1346
v,w,v,v,1346
f,u,n,d,1346
n,c,v,Ng,1346
u,v,v,w,1346
n,a,v,d,1346
w,r,r,q,1346
v,d,w,r,1346
w,d,p,r,1346
n,v,w,d,1346
r,v,q,t,1346
v,r,t,a,1346
c,n,Ng,w,1346
d,v,r,v,1346
a,u,d,v,1346
n,u,a,u,1346
q,t,u,n,1346
a,u,c,n,1346
u,n,n,v,1346
t,a,n,c,1346
v,w,v,r,1346
r,q,a,u,1346
v,Ng,d,v,1346
Ng,w,v,p,1346
d,v,r,v,1346
v,p,v,w,1346
u,n,u,v,1346
w,v,nr,nr,1346
v,n,d,d,1346
v,r,w,v,1346
n,nr,v,v,1346
n,n,v,n,1346
n,u,v,v,1346
v,n,nr,v,1346
d,v,w,r,1346
w,d,v,v,1346
v,v,r,p,1346
n,v,w,d,1346
r,v,v,n,1346
nr,nr,v,w,1346
v,v,v,w,1346
v,w,n,nr,1346
n,w,d,v,1346
v,n,n,v,1346
w,r,v,n,1346
u,n,v,r,1346
n,v,r,v,1346
r,p,n,u,1346
d,d,v,w,1346
p,v,u,n,1346
v,w,p,v,1346
n,n,n,w,1346
c,nt,v,vn,1346
p,v,vn,Ng,1346
v,vn,Ng,d,1346
n,u,w,c,1346
d,v,w,v,1346
vn,Ng,v,n,1346
n,w,f,v,1346
v,u,n,u,1346
vn,vn,d,v,1346
v,w,nt,p,1346
v,v,vn,n,1346
f,v,u,d,1346
d,v,c,nt,1346
d,v,vn,w,1346
nt,p,vn,vn,1346
r,d,w,c,1346
v,n,v,v,1346
n,w,v,u,1346
u,n,c,f,1346
v,v,d,v,1346
c,f,v,u,1346
w,v,u,vn,1346
u,d,u,vn,1346
Ng,d,n,w,1346
w,c,p,v,1346
v,u,v,u,1346
w,c,v,v,1346
u,vn,u,n,1346
vn,n,n,w,1346
v,v,n,d,1346
n,ad,m,w,1346
ad,v,w,a,1346
r,n,v,v,1346
n,v,q,w,1346
v,n,d,v,1346
