@relation 823635_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1382,1395}

@data
w,n,n,w,1382
v,r,v,f,1382
d,v,w,v,1382
n,w,w,d,1382
w,d,n,w,1382
f,u,u,n,1382
u,w,n,w,1382
w,v,r,d,1382
r,ad,m,q,1382
u,n,n,w,1382
r,d,f,u,1382
q,u,nz,n,1382
n,w,v,n,1382
n,w,w,n,1382
u,v,n,w,1382
m,q,w,nz,1382
m,v,ad,v,1382
nz,n,n,w,1382
nr,nr,m,v,1382
v,u,w,n,1382
v,f,v,u,1382
ad,v,q,u,1382
nr,d,v,r,1382
d,m,r,ad,1382
w,nr,d,m,1382
v,v,d,v,1382
w,nz,w,n,1382
d,v,u,v,1382
v,r,v,m,1382
n,w,w,n,1382
v,m,u,w,1382
w,n,d,v,1382
v,n,v,v,1382
w,n,n,w,1382
n,w,v,r,1382
d,v,n,Ng,1382
n,Ng,v,v,1382
v,n,d,v,1382
v,v,Ng,d,1382
v,c,n,v,1382
c,c,v,v,1382
v,v,w,nr,1382
v,v,nr,w,1382
n,n,c,c,1382
c,r,v,v,1382
v,vn,vn,d,1382
n,n,n,w,1382
v,n,w,c,1382
v,r,n,vn,1382
r,v,v,nr,1382
w,nr,c,v,1382
c,p,v,w,1382
vn,n,r,n,1382
n,w,n,d,1382
nr,w,v,r,1382
nr,w,w,c,1382
w,c,r,n,1382
vn,d,c,p,1382
n,w,c,r,1382
r,n,v,vn,1382
c,v,n,n,1382
r,n,vn,n,1382
v,nr,nr,w,1382
w,r,d,v,1382
vn,c,d,v,1382
d,v,c,vn,1382
w,c,r,v,1382
d,v,p,n,1382
v,v,n,w,1382
n,vn,w,r,1382
c,vn,v,c,1382
n,d,vn,c,1382
r,v,n,u,1382
v,r,n,n,1382
u,w,w,c,1382
v,m,n,w,1382
l,w,v,d,1382
ns,n,d,v,1382
d,v,ns,n,1382
d,v,v,n,1382
w,l,c,v,1382
n,n,w,an,1382
c,v,v,m,1382
v,n,u,w,1382
n,w,v,r,1382
w,c,d,v,1382
u,w,n,w,1382
v,d,m,ns,1382
v,v,w,l,1382
n,u,an,n,1382
m,ns,w,d,1382
w,an,w,w,1382
v,u,l,w,1382
nr,v,u,w,1382
w,d,r,v,1382
v,u,j,n,1382
j,j,v,u,1382
v,u,m,ns,1382
v,w,u,w,1382
m,n,v,w,1382
n,p,v,m,1382
a,n,v,u,1382
w,v,j,j,1382
n,v,w,v,1382
u,j,n,v,1382
p,ns,m,n,1382
w,m,w,u,1382
r,n,ns,v,1382
v,m,v,v,1382
m,ns,u,a,1382
u,a,w,v,1382
w,v,w,m,1382
w,u,n,w,1382
ns,v,n,v,1382
v,v,v,u,1382
w,r,p,ns,1382
n,v,a,n,1382
u,w,ns,w,1382
j,n,u,a,1382
n,w,u,j,1382
ns,w,a,n,1382
v,u,n,w,1382
v,w,n,w,1382
w,v,p,n,1382
w,a,w,w,1382
w,n,n,w,1382
n,u,u,v,1382
n,u,n,n,1382
d,v,n,v,1382
v,n,w,v,1382
v,u,v,m,1382
v,v,nt,n,1382
c,v,w,nt,1382
n,w,d,v,1382
v,m,n,u,1382
s,n,v,w,1382
nt,n,w,d,1382
w,v,n,n,1382
w,v,a,n,1382
v,v,n,n,1382
u,v,v,v,1382
w,nt,w,w,1382
n,w,v,d,1382
w,w,d,p,1382
w,w,v,nt,1382
u,s,d,v,1382
w,c,v,w,1382
p,n,v,u,1382
v,w,v,n,1382
n,n,c,v,1382
n,n,v,m,1382
n,n,w,c,1382
v,m,n,w,1382
n,n,n,n,1382
d,p,u,v,1382
v,w,n,w,1382
n,w,v,w,1382
w,d,nt,w,1382
u,n,n,w,1382
a,n,w,v,1382
u,v,m,n,1382
m,n,u,n,1382
n,w,m,n,1382
n,w,v,v,1382
m,n,w,v,1382
v,d,n,u,1382
n,v,w,w,1382
n,d,w,n,1382
w,w,w,a,1382
v,n,k,u,1382
d,d,n,v,1382
n,v,u,n,1382
d,v,v,k,1382
v,k,n,w,1382
v,v,v,n,1382
v,ns,v,v,1382
w,v,u,v,1382
Vg,w,u,n,1382
n,n,v,n,1382
u,n,w,r,1382
v,r,n,w,1382
n,n,v,w,1382
w,v,n,w,1382
d,v,r,u,1382
n,w,ns,u,1382
r,u,w,w,1382
f,d,w,r,1382
w,n,d,Vg,1382
v,v,v,ns,1382
v,w,f,d,1382
v,n,n,n,1382
ns,u,v,n,1382
n,w,r,n,1382
n,v,w,v,1382
n,d,v,r,1382
ns,u,v,n,1382
v,v,u,n,1382
d,v,w,v,1382
w,r,n,d,1382
u,n,v,v,1382
n,d,v,n,1382
n,n,v,n,1382
v,n,v,v,1382
n,w,n,n,1382
w,v,n,v,1382
d,Vg,r,u,1382
v,n,w,v,1382
d,v,n,f,1382
v,ns,v,v,1382
u,v,n,v,1382
r,u,d,v,1382
w,v,u,v,1382
d,d,n,w,1382
v,w,ns,u,1382
r,n,d,d,1382
n,f,Vg,w,1382
w,r,n,d,1382
w,w,n,n,1382
v,n,w,v,1382
n,w,n,n,1382
v,n,v,ns,1382
n,v,n,w,1382
u,v,n,w,1382
n,n,d,v,1382
n,d,w,n,1382
n,d,u,ns,1382
w,d,m,q,1382
v,u,n,d,1382
d,v,ns,v,1382
nr,n,v,u,1382
p,m,f,w,1382
v,n,n,w,1382
n,u,w,d,1382
p,n,u,nr,1382
w,n,n,v,1382
c,v,u,n,1382
n,n,r,w,1382
ns,u,n,v,1382
r,w,v,w,1382
u,n,v,r,1382
u,nr,d,v,1382
f,w,p,n,1382
u,n,d,p,1382
u,ns,n,w,1382
n,v,n,v,1382
d,p,q,f,1382
n,v,nr,n,1382
n,v,w,n,1382
n,w,p,m,1382
m,q,w,n,1382
v,c,n,u,1382
v,u,v,n,1382
w,n,w,n,1382
w,n,v,c,1382
v,v,v,n,1382
n,p,v,u,1382
v,r,n,v,1382
v,w,v,v,1382
q,f,n,p,1382
n,v,c,v,1382
v,r,n,n,1382
n,v,n,v,1382
v,v,v,u,1382
v,u,t,n,1382
v,w,vn,w,1382
w,n,w,u,1382
u,vn,v,r,1382
q,n,r,w,1382
w,v,v,r,1382
w,u,w,v,1382
v,u,v,u,1382
t,n,w,n,1382
v,r,r,q,1382
r,q,n,r,1382
t,t,v,w,1382
u,t,u,t,1382
w,v,t,v,1382
v,w,u,t,1382
r,v,q,n,1382
n,v,u,vn,1382
p,v,w,v,1382
n,p,v,w,1382
t,v,t,t,1382
v,w,v,w,1382
u,t,n,v,1382
vn,w,r,v,1382
v,u,v,w,1382
v,m,n,w,1382
a,u,v,w,1382
ns,n,ad,p,1382
ns,n,Ng,w,1382
v,Ng,r,v,1382
n,w,p,n,1382
