@relation 832293

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1425,1434,1445}

@data
n,w,n,a,1425
n,w,u,ns,1425
w,v,a,n,1425
n,w,m,n,1425
w,v,n,w,1425
a,u,u,m,1425
u,m,n,n,1425
u,ns,n,v,1425
u,v,m,q,1425
w,v,ns,v,1425
w,v,u,n,1425
v,n,n,w,1425
a,n,v,m,1425
n,n,v,n,1425
q,n,w,v,1425
ns,v,v,u,1425
v,u,n,w,1425
v,u,q,n,1425
a,u,w,v,1425
n,a,w,v,1425
v,m,w,v,1425
u,n,v,u,1425
v,n,u,vn,1425
m,q,n,w,1425
v,a,n,w,1425
v,u,v,n,1425
n,v,vn,n,1425
n,w,a,u,1425
m,n,v,a,1425
u,nt,v,nr,1425
n,u,w,v,1425
n,u,n,w,1425
u,n,v,n,1425
u,v,c,n,1425
n,vn,u,a,1425
v,v,n,vn,1425
vn,u,n,w,1425
p,nr,n,v,1425
nr,n,n,u,1425
n,w,n,c,1425
w,v,u,a,1425
i,u,v,v,1425
m,q,p,nr,1425
v,n,nt,w,1425
w,p,nr,n,1425
v,w,v,u,1425
c,n,vn,u,1425
nr,n,n,w,1425
p,v,ns,n,1425
w,v,u,v,1425
c,n,n,i,1425
u,p,v,ns,1425
u,a,w,v,1425
r,n,u,p,1425
v,n,a,n,1425
d,v,v,v,1425
nr,nr,u,n,1425
v,v,n,n,1425
n,r,i,u,1425
w,v,nr,n,1425
nt,w,nr,nr,1425
n,n,d,v,1425
n,v,u,nt,1425
vn,vn,a,n,1425
v,nr,n,u,1425
v,v,v,v,1425
v,c,vn,vn,1425
n,d,w,v,1425
n,w,n,u,1425
r,m,w,p,1425
a,n,v,n,1425
n,n,v,w,1425
ns,n,n,d,1425
nr,nr,v,n,1425
w,v,c,n,1425
n,c,r,n,1425
n,u,w,v,1425
v,ns,n,n,1425
v,n,n,r,1425
n,i,p,v,1425
q,w,nr,nr,1425
v,u,v,c,1425
v,f,v,n,1425
n,ad,m,n,1425
w,v,a,n,1425
ad,v,n,w,1425
f,w,n,a,1425
