@relation 832011

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1475,1504,1533}

@data
n,w,v,m,1475
r,d,u,r,1475
r,d,r,d,1475
w,s,m,q,1475
l,u,w,r,1475
v,m,l,u,1475
d,v,d,v,1475
d,l,u,d,1475
v,u,w,c,1475
u,d,q,r,1475
t,d,v,u,1475
s,v,q,l,1475
r,w,t,d,1475
r,n,s,v,1475
v,u,v,q,1475
c,t,l,v,1475
w,r,v,r,1475
d,v,r,w,1475
u,r,c,t,1475
q,l,an,w,1475
m,q,u,an,1475
w,c,d,l,1475
d,v,r,w,1475
v,r,v,u,1475
u,an,r,d,1475
l,v,d,v,1475
an,w,d,v,1475
ns,m,n,m,1475
v,ns,ns,m,1475
n,m,v,u,1475
ns,w,m,n,1475
m,n,m,v,1475
d,v,w,ns,1475
n,n,v,v,1475
m,v,u,n,1475
v,v,n,w,1475
w,ns,n,n,1475
r,v,u,w,1475
nr,r,v,u,1475
n,v,nr,r,1475
v,nr,r,v,1475
nr,nr,v,v,1475
w,nr,n,w,1475
n,f,p,nt,1475
p,r,u,n,1475
nr,m,f,w,1475
v,u,nr,nr,1475
n,v,u,m,1475
nr,nr,w,p,1475
f,w,nt,v,1475
u,w,nr,n,1475
nr,n,p,r,1475
u,m,n,w,1475
nt,v,w,nr,1475
p,nt,u,w,1475
Ng,p,nr,m,1475
a,u,v,v,1475
m,n,w,p,1475
v,v,m,q,1475
n,w,r,a,1475
p,nr,m,n,1475
w,p,a,u,1475
nr,nr,n,f,1475
u,n,v,u,1475
w,p,v,u,1475
v,u,q,n,1475
r,a,n,v,1475
v,nt,n,t,1475
t,v,m,q,1475
a,n,n,w,1475
v,a,u,n,1475
