@relation 26395_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1562,1570}

@data
u,r,n,w,1562
n,w,v,u,1562
w,n,u,w,1562
q,n,n,v,1562
w,m,n,w,1562
r,q,f,u,1562
u,n,r,q,1562
v,u,m,u,1562
n,v,w,m,1562
r,q,w,n,1562
q,n,u,n,1562
n,f,n,w,1562
n,w,q,n,1562
w,r,n,f,1562
u,w,u,n,1562
m,u,w,r,1562
w,n,w,n,1562
u,w,u,w,1562
w,v,f,w,1562
v,n,w,n,1562
n,u,n,u,1562
u,w,w,l,1562
n,u,i,w,1562
v,v,v,n,1562
a,w,u,w,1562
w,n,w,i,1562
w,d,w,n,1562
n,u,n,u,1562
u,w,u,w,1562
d,a,n,u,1562
n,w,a,w,1562
v,w,n,f,1562
w,i,l,w,1562
n,f,n,w,1562
w,n,d,a,1562
f,w,w,d,1562
w,n,w,n,1562
f,w,v,w,1562
p,ns,f,w,1562
n,f,v,v,1562
u,nt,n,w,1562
w,v,w,f,1562
v,ad,ad,w,1562
d,v,nt,w,1562
nt,w,v,i,1562
w,d,u,nt,1562
ad,w,w,d,1562
w,f,ad,w,1562
v,w,v,ad,1562
u,nt,f,v,1562
f,v,u,nt,1562
v,i,nt,vn,1562
i,u,vn,n,1562
f,v,w,ad,1562
w,f,i,u,1562
v,v,f,v,1562
ad,w,v,u,1562
w,ad,d,v,1562
ns,n,w,v,1562
v,u,w,f,1562
n,r,u,n,1562
d,v,n,r,1562
v,nr,r,v,1562
d,v,v,nr,1562
nr,n,v,u,1562
c,r,v,d,1562
r,v,n,w,1562
nr,d,w,c,1562
v,w,r,d,1562
v,d,nr,n,1562
w,c,d,v,1562
d,v,c,r,1562
r,d,d,v,1562
v,u,u,v,1562
w,n,v,u,1562
n,n,u,v,1562
v,u,m,q,1562
n,w,n,v,1562
q,a,n,w,1562
n,v,v,u,1562
u,r,q,a,1562
u,v,v,n,1562
a,u,w,n,1562
r,m,a,u,1562
v,u,n,w,1562
u,n,n,n,1562
m,q,u,n,1562
n,a,ns,w,1562
ns,z,v,w,1562
f,v,a,u,1562
u,ns,p,ns,1562
v,n,u,ns,1562
a,u,w,p,1562
p,ns,d,v,1562
w,p,z,d,1562
ns,w,ns,z,1562
a,u,n,w,1562
n,w,w,n,1562
v,w,n,v,1562
v,w,w,u,1562
n,a,vn,n,1562
w,v,n,f,1562
v,v,m,n,1562
w,v,w,n,1562
w,n,n,n,1562
u,vn,w,n,1562
b,n,w,v,1562
w,m,v,v,1562
n,n,n,w,1562
n,w,n,vn,1562
p,n,n,w,1562
n,f,a,u,1562
u,b,Ng,w,1562
n,w,n,w,1562
n,vn,w,p,1562
n,v,u,b,1562
n,n,v,n,1562
Ng,w,p,n,1562
w,n,vn,n,1562
f,n,u,vn,1562
vn,n,n,n,1562
n,w,n,w,1562
m,n,v,u,1562
w,v,n,w,1562
n,w,w,n,1562
n,w,w,v,1562
w,n,n,w,1562
vn,n,p,n,1562
v,n,n,w,1562
w,n,n,w,1562
w,n,v,w,1562
v,p,f,n,1562
n,Ng,v,p,1562
p,n,n,a,1562
n,w,n,n,1562
v,v,b,n,1562
w,n,u,n,1562
n,n,w,v,1562
v,u,n,Ng,1562
n,w,w,n,1562
w,p,w,n,1562
n,w,n,w,1562
n,n,n,v,1562
m,n,v,n,1562
v,n,m,n,1562
w,m,n,v,1562
v,n,n,w,1562
n,v,v,w,1562
n,w,n,n,1562
n,v,w,m,1562
v,w,n,v,1562
n,w,d,p,1562
n,n,v,v,1562
v,w,n,n,1562
Ng,w,v,n,1562
p,n,u,w,1562
n,w,v,n,1562
u,n,w,v,1562
p,n,Ng,w,1562
v,n,w,v,1562
n,s,n,n,1562
v,n,Tg,v,1562
n,v,n,s,1562
m,n,f,v,1562
s,n,Ng,v,1562
w,u,n,w,1562
w,Tg,s,n,1562
Ng,v,v,w,1562
v,n,v,n,1562
w,w,p,n,1562
Tg,v,n,w,1562
w,d,n,v,1562
s,u,n,w,1562
n,n,w,d,1562
v,v,m,n,1562
n,v,v,n,1562
w,v,w,m,1562
n,w,v,s,1562
w,Ng,n,v,1562
v,w,q,n,1562
n,f,w,n,1562
w,n,w,w,1562
v,Ng,n,v,1562
f,v,w,u,1562
w,n,n,w,1562
w,m,n,f,1562
d,p,v,Ng,1562
v,n,u,n,1562
v,p,f,u,1562
v,v,s,u,1562
v,v,u,q,1562
v,s,w,Ng,1562
n,f,v,w,1562
w,v,v,v,1562
n,w,v,w,1562
f,u,n,n,1562
n,v,w,n,1562
n,v,w,Tg,1562
n,n,v,v,1562
u,w,n,w,1562
n,p,w,f,1562
t,w,Ag,Vg,1562
w,f,ns,w,1562
w,d,Tg,n,1562
v,w,v,n,1562
v,ns,d,v,1562
ns,w,v,Tg,1562
p,ns,f,v,1562
w,n,Vg,w,1562
v,n,ns,w,1562
f,v,w,d,1562
n,Ag,w,n,1562
w,n,w,nr,1562
n,v,nr,v,1562
d,v,n,w,1562
Vg,w,v,w,1562
Ag,Vg,n,v,1562
w,nr,n,p,1562
nr,v,p,ns,1562
ns,w,v,ns,1562
a,w,d,v,1562
u,a,d,a,1562
d,v,a,w,1562
w,v,v,v,1562
a,u,a,w,1562
v,d,v,a,1562
u,d,w,v,1562
d,a,v,d,1562
c,v,b,n,1562
a,v,n,d,1562
