@relation 26412_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1600,1629,1638}

@data
v,nr,u,v,1600
w,n,ns,n,1600
v,w,ap,v,1600
c,d,n,n,1600
n,w,n,v,1600
w,w,v,w,1600
d,ap,w,c,1600
ap,v,c,d,1600
v,u,n,n,1600
d,v,n,w,1600
w,c,v,n,1600
u,w,n,ns,1600
n,ns,w,w,1600
u,v,w,n,1600
w,n,w,d,1600
w,d,v,w,1600
nr,n,v,u,1600
ns,n,w,n,1600
v,w,d,v,1600
n,n,n,w,1600
n,v,d,ap,1600
n,u,u,w,1600
v,d,n,u,1600
w,w,v,u,1600
u,w,n,ns,1600
v,u,vn,w,1600
d,a,u,w,1600
a,n,w,n,1600
c,v,m,vn,1600
n,ns,w,w,1600
v,v,d,a,1600
v,v,a,n,1600
n,n,n,w,1600
w,n,ns,n,1600
n,v,v,d,1600
ns,n,w,c,1600
w,m,v,v,1600
m,n,v,v,1600
n,u,n,n,1600
n,w,c,v,1600
w,c,u,m,1600
u,n,Ng,w,1600
u,m,a,n,1600
a,n,n,vn,1600
q,a,u,n,1600
m,q,n,u,1600
r,n,m,q,1600
m,q,n,n,1600
n,n,w,v,1600
n,w,r,n,1600
n,n,n,w,1600
v,m,n,n,1600
w,v,n,u,1600
q,n,n,n,1600
n,u,q,a,1600
n,n,v,r,1600
t,v,q,n,1600
n,u,vn,Ng,1600
v,r,u,m,1600
r,u,m,a,1600
w,m,n,c,1600
nr,v,r,u,1600
n,c,u,vn,1600
v,p,u,n,1600
u,w,a,n,1600
u,vn,b,n,1600
p,r,n,w,1600
vn,w,n,n,1600
nr,n,p,r,1600
a,n,n,u,1600
n,u,w,b,1600
c,nr,p,r,1600
m,a,c,n,1600
w,b,n,c,1600
r,v,nr,n,1600
c,n,vn,w,1600
v,nr,n,v,1600
p,r,w,m,1600
n,c,v,p,1600
v,p,u,w,1600
n,v,r,u,1600
n,n,nr,v,1600
b,n,c,nr,1600
nr,nr,v,p,1600
w,nr,n,u,1600
w,p,f,w,1600
t,f,d,v,1600
w,m,r,n,1600
q,r,u,n,1600
u,w,n,w,1600
ns,n,n,w,1600
d,v,r,m,1600
v,r,q,n,1600
r,n,n,p,1600
u,vn,vn,c,1600
p,t,w,d,1600
v,f,m,q,1600
c,vn,p,t,1600
vn,w,t,f,1600
vn,c,w,p,1600
u,n,m,n,1600
p,m,v,u,1600
nr,n,v,f,1600
m,n,u,d,1600
n,u,ns,n,1600
v,u,u,vn,1600
n,u,p,m,1600
n,p,n,v,1600
nr,nr,nr,nr,1600
n,u,f,w,1600
r,m,n,u,1600
w,ns,w,n,1600
u,v,w,m,1600
m,q,u,w,1600
u,d,vn,w,1600
nr,nr,u,v,1600
w,d,v,r,1600
f,w,v,v,1600
n,w,w,w,1600
m,q,n,u,1600
vn,w,c,vn,1600
nr,w,nr,n,1600
d,u,w,vn,1600
f,w,q,r,1600
v,v,m,q,1600
n,v,d,u,1600
w,vn,vn,w,1600
q,n,w,ns,1600
w,n,w,w,1600
w,d,m,q,1600
n,c,u,v,1600
n,u,n,w,1600
n,w,p,m,1600
w,u,k,d,1600
m,q,q,n,1600
p,m,m,q,1600
w,nz,u,n,1600
q,m,n,u,1600
k,d,r,n,1600
m,q,u,n,1600
n,n,d,p,1600
r,n,n,n,1600
d,v,n,u,1600
u,n,w,d,1600
u,n,n,u,1600
u,n,d,v,1600
nz,w,n,k,1600
q,n,n,c,1600
r,w,nz,w,1600
d,p,q,m,1600
w,w,w,u,1600
n,u,c,n,1600
v,r,u,n,1600
c,n,v,w,1600
n,k,v,r,1600
w,m,n,w,1600
w,v,m,q,1600
n,w,n,m,1600
v,n,q,w,1600
q,n,v,n,1600
v,w,n,w,1600
c,t,w,v,1600
t,v,v,w,1600
n,w,q,n,1600
v,w,w,n,1600
w,n,w,m,1600
n,c,v,w,1600
w,v,n,n,1600
m,q,w,v,1600
n,n,m,q,1600
v,m,n,a,1600
n,w,d,v,1600
w,m,n,w,1600
t,d,vn,m,1600
n,w,q,n,1600
t,v,w,t,1600
v,vn,n,w,1600
a,w,d,v,1600
nr,v,w,n,1600
w,t,v,vn,1600
q,n,nt,t,1600
a,u,n,n,1600
v,u,n,n,1600
nr,nr,u,w,1600
n,a,w,n,1600
w,w,v,m,1600
q,n,u,w,1600
nr,nr,nr,nr,1600
w,nr,w,nr,1600
nr,w,nr,w,1600
w,d,m,q,1600
m,q,w,nt,1600
vn,m,w,w,1600
n,n,m,q,1600
n,w,t,v,1600
m,n,w,d,1600
w,nr,v,u,1600
nt,t,a,w,1600
v,a,t,d,1600
m,q,a,u,1600
nr,w,nr,v,1600
w,n,w,w,1600
u,w,n,w,1600
w,n,w,m,1600
d,v,q,n,1600
u,w,n,w,1600
w,nt,v,a,1600
d,v,m,n,1600
r,n,n,c,1600
c,n,v,u,1600
q,n,p,r,1600
v,u,n,w,1600
n,w,u,m,1600
n,u,c,n,1600
n,c,w,v,1600
n,d,r,n,1600
w,v,m,n,1600
d,p,n,u,1600
p,r,u,n,1600
u,n,n,w,1600
a,vn,m,q,1600
v,p,n,d,1600
n,n,a,n,1600
n,d,v,p,1600
t,u,vn,w,1600
q,n,v,v,1600
a,n,t,u,1600
n,c,n,w,1600
n,d,u,a,1600
c,a,w,nr,1600
c,t,a,vn,1600
p,n,d,a,1600
v,v,n,n,1600
u,n,c,a,1600
nr,u,n,c,1600
n,u,n,c,1600
w,m,n,d,1600
n,w,nr,u,1600
vn,w,q,n,1600
a,n,nr,nr,1600
n,n,n,n,1600
m,q,d,v,1600
d,v,p,n,1600
d,a,a,vn,1600
u,a,w,m,1600
w,nr,u,a,1600
a,u,vn,w,1600
n,n,a,u,1600
nr,nr,a,n,1600
n,c,u,a,1600
u,a,c,t,1600
w,w,m,a,1600
v,w,n,m,1600
