@relation 851658_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1646,1676}

@data
r,u,c,n,1646
w,r,a,w,1646
d,a,p,r,1646
n,u,n,c,1646
p,r,n,c,1646
c,n,a,n,1646
m,n,n,n,1646
u,a,c,a,1646
n,n,w,r,1646
n,c,u,a,1646
n,Ng,r,d,1646
r,d,w,p,1646
a,w,r,u,1646
v,n,Ng,w,1646
a,n,a,w,1646
Ng,w,d,a,1646
w,p,u,n,1646
n,v,n,Ng,1646
u,n,n,u,1646
q,n,m,q,1646
v,m,n,c,1646
n,w,v,m,1646
s,d,m,q,1646
d,v,q,n,1646
c,m,n,n,1646
n,n,r,v,1646
w,s,v,m,1646
m,q,c,m,1646
n,c,q,n,1646
r,v,q,n,1646
q,n,w,r,1646
v,w,d,v,1646
m,q,n,w,1646
v,m,n,w,1646
w,r,m,q,1646
p,ns,Ng,w,1646
n,n,nt,v,1646
v,n,n,n,1646
s,Ng,n,n,1646
v,p,s,Ng,1646
w,n,p,nt,1646
v,v,v,n,1646
c,v,v,w,1646
n,p,v,v,1646
nt,v,n,v,1646
w,c,d,v,1646
n,w,v,d,1646
n,n,c,v,1646
Ng,w,n,p,1646
v,n,w,c,1646
ns,s,w,n,1646
n,v,n,w,1646
p,nt,v,n,1646
u,n,n,n,1646
w,m,u,n,1646
v,u,n,u,1646
u,ns,u,n,1646
ns,n,n,c,1646
t,t,w,p,1646
n,v,ns,n,1646
t,t,p,ns,1646
w,p,n,v,1646
n,v,w,m,1646
t,w,ns,ns,1646
w,r,n,d,1646
w,p,ns,f,1646
f,w,m,n,1646
n,f,p,m,1646
s,n,t,t,1646
d,v,r,m,1646
ns,ns,n,v,1646
n,t,t,w,1646
c,n,f,w,1646
m,n,f,w,1646
n,c,n,f,1646
r,m,d,i,1646
n,u,c,n,1646
ns,f,v,u,1646
p,m,v,f,1646
p,ns,f,n,1646
m,n,i,w,1646
n,d,w,r,1646
n,u,d,v,1646
v,w,m,n,1646
f,w,n,u,1646
n,n,w,p,1646
u,n,v,w,1646
m,n,n,d,1646
v,f,m,n,1646
f,n,u,ns,1646
j,v,n,n,1646
v,p,v,ns,1646
p,j,ns,n,1646
m,q,n,n,1646
q,ns,n,u,1646
nt,ns,t,n,1646
n,v,m,q,1646
nt,v,v,u,1646
v,p,v,n,1646
nr,t,w,nt,1646
ns,n,u,n,1646
n,nr,v,w,1646
nt,n,t,v,1646
v,n,u,m,1646
w,nt,v,p,1646
u,m,ns,n,1646
v,w,v,v,1646
nt,v,p,nt,1646
t,v,nt,v,1646
t,n,n,nr,1646
p,nt,n,v,1646
t,t,nt,n,1646
v,v,nt,v,1646
ns,t,n,nt,1646
n,nt,nr,t,1646
v,u,q,ns,1646
n,n,n,w,1646
n,n,v,w,1646
v,m,ns,n,1646
m,q,n,n,1646
v,w,t,v,1646
w,nt,v,f,1646
w,v,q,ns,1646
f,vn,v,m,1646
q,ns,n,n,1646
t,v,vn,w,1646
ns,n,n,v,1646
v,f,w,v,1646
vn,w,m,q,1646
nt,t,f,vn,1646
n,v,p,ns,1646
ns,n,v,t,1646
v,u,n,n,1646
p,ns,v,u,1646
t,p,n,v,1646
u,ns,n,v,1646
n,n,t,p,1646
v,t,ns,n,1646
ns,n,u,w,1646
v,v,v,w,1676
q,w,c,nt,1676
w,nt,nt,d,1676
m,q,d,d,1676
f,v,m,a,1676
a,n,w,v,1676
n,d,v,v,1676
w,v,n,w,1676
w,v,m,q,1676
v,w,w,v,1676
v,u,a,n,1676
ns,m,w,m,1676
c,nt,m,q,1676
w,v,v,u,1676
n,w,ns,m,1676
v,ns,q,w,1676
nt,c,d,m,1676
m,q,m,q,1676
w,f,u,m,1676
w,m,w,nt,1676
q,n,d,v,1676
m,w,v,u,1676
d,m,n,d,1676
m,q,nt,c,1676
d,d,v,w,1676
m,a,n,w,1676
v,w,u,n,1676
u,m,n,n,1676
d,v,w,v,1676
n,n,v,ns,1676
nt,d,q,n,1676
q,w,q,w,1676
n,nt,q,n,1676
m,q,m,q,1676
r,n,d,a,1676
n,b,a,w,1676
t,w,n,n,1676
n,n,m,q,1676
t,t,w,r,1676
Ng,t,t,w,1676
n,d,u,n,1676
n,n,a,u,1676
q,n,v,a,1676
d,a,n,n,1676
w,r,n,d,1676
a,u,n,nt,1676
v,a,l,w,1676
n,m,n,b,1676
t,t,r,n,1676
q,n,q,n,1676
nt,m,n,m,1676
m,q,b,v,1676
b,v,w,l,1676
u,n,nt,m,1676
m,q,v,n,1676
nt,m,n,v,1676
v,l,m,q,1676
w,v,q,u,1676
Ng,n,u,vn,1676
v,w,l,u,1676
f,w,m,q,1676
n,v,vn,n,1676
l,u,q,n,1676
q,n,f,w,1676
u,v,n,v,1676
v,m,u,v,1676
m,q,v,Ng,1676
q,u,Ng,n,1676
n,v,v,l,1676
q,n,n,v,1676
v,Ng,v,u,1676
w,nt,q,n,1676
v,n,w,v,1676
u,m,n,n,1676
v,u,n,w,1676
n,f,v,m,1676
m,q,n,f,1676
n,v,v,w,1676
n,n,w,v,1676
w,v,u,m,1676
u,n,v,n,1676
s,u,v,w,1676
u,s,d,v,1676
n,w,u,s,1676
n,v,w,v,1676
q,n,n,n,1676
w,v,s,u,1676
v,n,v,u,1676
n,n,n,w,1676
m,q,u,n,1676
n,u,n,v,1676
v,u,u,d,1676
Ng,w,v,t,1676
n,p,v,u,1676
v,nt,ad,v,1676
w,v,d,ad,1676
nt,d,v,nx,1676
v,nx,a,n,1676
a,n,w,ad,1676
d,ad,nx,d,1676
v,n,w,m,1676
m,q,d,v,1676
n,Ng,ad,v,1676
n,v,m,q,1676
ns,t,n,p,1676
w,ad,t,w,1676
m,q,ad,ad,1676
v,u,m,q,1676
v,w,nt,d,1676
d,v,v,w,1676
nt,v,nt,m,1676
q,n,v,n,1676
w,m,n,ad,1676
t,t,p,nt,1676
u,nt,q,n,1676
n,d,n,v,1676
ad,ad,w,v,1676
nx,d,n,Ng,1676
ad,v,d,a,1676
nt,m,n,d,1676
q,n,ad,v,1676
v,w,q,n,1676
n,ad,v,w,1676
t,n,nt,v,1676
d,a,Ng,w,1676
p,nt,u,nt,1676
ad,v,v,nt,1676
d,v,b,n,1676
v,m,c,m,1676
n,d,u,b,1676
n,n,v,u,1676
b,n,d,v,1676
ad,ad,m,q,1676
q,u,n,w,1676
q,c,q,u,1676
n,w,w,m,1676
m,q,m,q,1676
Ng,ad,v,m,1676
v,u,n,v,1676
w,nt,v,d,1676
d,v,w,m,1676
c,m,u,a,1676
w,m,m,n,1676
v,n,m,w,1676
d,v,d,v,1676
v,Ng,ad,v,1676
