@relation 882395

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1706,1715}

@data
w,c,m,q,1706
ns,d,u,t,1706
m,q,d,v,1706
c,r,q,ns,1706
ns,u,Ag,Ng,1706
w,d,v,ns,1706
v,u,u,n,1706
d,v,t,u,1706
v,v,u,t,1706
r,m,ns,d,1706
v,ns,t,Ag,1706
u,t,Ng,w,1706
t,Ag,w,c,1706
d,v,ns,u,1706
Ng,w,r,m,1706
u,t,n,w,1706
t,w,v,v,1706
Ag,Ng,c,r,1706
q,ns,v,u,1706
d,v,w,d,1706
d,v,a,u,1706
v,u,u,n,1706
u,a,n,n,1706
n,d,n,w,1706
q,n,v,n,1706
a,u,n,w,1706
w,d,u,a,1706
n,w,v,u,1706
r,q,d,v,1706
v,n,d,v,1706
v,r,n,u,1706
n,u,d,v,1706
q,v,v,u,1706
r,q,n,n,1706
s,w,v,v,1706
u,n,p,r,1706
r,v,s,w,1706
n,v,n,u,1706
n,u,r,v,1706
a,n,n,d,1706
n,r,r,a,1706
c,a,vn,f,1706
u,n,c,n,1706
r,v,r,d,1706
v,u,u,w,1706
i,u,v,n,1706
u,c,u,n,1706
w,r,p,r,1706
w,v,c,p,1706
n,n,v,u,1706
p,v,l,w,1706
s,n,n,w,1706
p,r,n,n,1706
u,n,r,v,1706
v,m,v,u,1706
n,c,u,vn,1706
r,d,p,ns,1706
n,w,v,p,1706
w,u,w,p,1706
m,q,n,v,1706
r,a,u,n,1706
ns,n,n,u,1706
p,ns,z,u,1706
u,i,w,v,1706
w,d,v,m,1706
q,v,i,u,1706
n,w,r,q,1706
u,w,n,c,1706
n,u,w,r,1706
v,w,w,u,1706
v,n,u,n,1706
n,s,u,n,1706
v,n,p,v,1706
u,n,v,r,1706
ns,s,d,v,1706
r,v,a,n,1706
q,n,n,v,1706
n,u,n,u,1706
v,v,q,v,1706
a,u,f,w,1706
v,u,q,v,1706
c,n,n,r,1706
u,n,v,ns,1706
n,v,m,q,1706
v,ns,s,n,1706
c,p,w,l,1706
m,q,u,i,1706
v,u,u,c,1706
u,n,a,u,1706
n,n,u,m,1706
w,p,q,n,1706
p,r,v,p,1706
z,u,c,a,1706
d,v,n,s,1706
d,v,ns,u,1706
v,p,u,z,1706
v,ns,w,d,1706
w,l,u,n,1706
n,c,v,w,1706
ns,u,u,n,1706
n,d,ns,n,1706
d,v,m,q,1706
v,p,d,v,1706
u,m,v,n,1706
l,w,n,w,1706
u,z,n,c,1706
t,t,f,w,1706
b,n,w,r,1706
n,v,b,z,1706
f,w,u,r,1706
w,ns,r,b,1706
w,b,w,z,1706
z,w,n,vn,1706
r,b,f,w,1706
u,r,n,f,1706
n,u,n,n,1706
n,vn,l,w,1706
w,r,n,f,1706
r,n,w,n,1706
z,n,n,l,1706
r,b,f,w,1706
w,z,vn,n,1706
f,w,b,n,1706
w,n,v,w,1706
w,r,u,w,1706
n,f,r,b,1706
ns,u,b,n,1706
t,f,ns,u,1706
b,z,z,n,1706
n,f,r,n,1706
f,w,n,u,1706
v,w,z,w,1706
u,w,n,v,1706
t,t,w,ns,1706
n,n,w,b,1706
b,n,w,r,1706
q,n,v,w,1706
d,v,a,w,1706
v,u,vn,n,1706
m,n,v,u,1706
p,m,n,d,1706
q,m,n,w,1706
n,f,u,m,1706
r,n,m,q,1706
r,m,f,v,1706
v,u,q,m,1706
v,w,w,f,1706
f,w,u,m,1706
a,w,w,v,1706
m,q,d,v,1706
m,q,q,n,1706
n,p,q,n,1706
w,v,m,vn,1706
u,m,n,d,1706
m,vn,d,d,1706
n,d,w,a,1706
vn,n,d,v,1706
w,a,f,w,1706
d,d,r,m,1706
n,d,v,r,1706
d,v,m,n,1706
v,r,n,f,1706
f,v,m,q,1706
u,m,m,q,1706
w,f,v,u,1706
v,v,n,u,1706
n,u,n,w,1706
v,ns,u,a,1706
n,w,u,n,1706
n,n,v,v,1706
a,u,n,c,1706
w,v,ns,n,1706
n,w,v,ns,1706
c,n,w,v,1706
u,n,c,n,1706
u,n,a,u,1706
p,a,n,w,1706
a,u,w,a,1706
n,n,n,n,1706
n,c,n,w,1706
ns,n,a,n,1706
w,a,n,n,1706
n,u,v,v,1706
n,Ag,m,n,1706
v,n,w,v,1706
v,i,w,v,1706
u,w,z,u,1706
u,w,n,Ag,1706
n,u,v,n,1706
a,r,n,u,1706
a,m,u,w,1706
Ag,a,n,u,1706
u,w,v,i,1706
w,v,i,u,1706
w,v,Ag,a,1706
z,u,n,w,1706
w,v,u,n,1706
v,v,u,w,1706
m,n,w,v,1706
r,v,u,w,1706
i,u,v,z,1706
v,z,n,n,1706
v,n,a,m,1706
vn,n,v,u,1706
w,a,a,w,1706
a,w,w,v,1706
n,u,n,w,1706
a,w,w,a,1706
w,a,a,w,1706
w,a,v,n,1706
n,n,n,n,1706
w,v,n,u,1706
a,w,w,a,1706
w,v,m,a,1706
u,vn,w,v,1706
p,v,vn,n,1706
u,m,w,a,1706
a,w,n,n,1706
v,n,u,n,1706
v,u,a,w,1706
n,w,u,m,1706
v,u,n,w,1706
m,a,a,w,1706
v,n,u,vn,1706
w,v,t,n,1706
v,p,n,n,1706
f,a,a,w,1706
m,q,n,w,1706
p,t,n,f,1706
v,w,v,b,1706
u,m,a,n,1706
w,d,u,m,1706
n,v,n,v,1706
u,vn,a,a,1706
v,u,q,a,1706
a,a,n,w,1706
n,w,n,n,1706
a,w,n,w,1706
w,n,b,n,1706
d,v,m,q,1706
w,a,w,d,1706
a,u,w,a,1706
n,f,u,a,1706
vn,w,a,u,1706
n,w,v,u,1706
a,n,d,v,1706
n,u,w,a,1706
n,u,w,v,1706
b,n,n,w,1706
u,n,v,n,1706
n,w,p,t,1706
n,v,n,u,1706
n,n,vn,w,1706
v,b,u,n,1706
u,a,a,n,1706
n,n,a,u,1706
w,v,n,u,1706
w,a,u,n,1706
a,u,w,v,1706
u,n,v,p,1706
t,n,f,a,1706
v,u,n,w,1706
q,w,v,d,1706
n,c,u,n,1706
v,u,w,a,1706
v,d,r,v,1706
w,c,v,m,1706
w,a,n,c,1706
f,w,n,u,1706
u,n,n,u,1706
q,z,w,d,1706
v,m,w,d,1706
d,p,v,u,1706
v,v,q,w,1706
n,w,u,n,1706
v,w,v,w,1706
c,r,v,w,1706
n,w,r,d,1706
u,m,z,n,1706
v,f,v,n,1706
w,d,d,p,1706
w,c,d,v,1706
n,u,n,v,1706
r,n,c,r,1706
v,w,r,w,1706
n,n,r,w,1706
m,q,n,w,1706
u,n,a,u,1706
n,w,r,v,1706
r,d,w,r,1706
w,d,v,u,1706
v,n,m,q,1706
d,v,p,r,1706
w,r,w,c,1706
d,v,r,v,1706
w,c,w,c,1706
r,w,v,v,1706
z,n,d,r,1706
w,v,u,m,1706
r,v,c,r,1706
p,r,u,n,1706
c,n,n,n,1706
r,v,w,v,1706
m,q,d,v,1706
c,r,c,v,1706
c,v,m,q,1706
a,u,c,n,1706
d,r,u,r,1706
r,v,r,n,1706
u,r,w,c,1706
n,u,q,z,1706
u,n,v,r,1706
r,v,n,w,1706
c,v,n,w,1706
u,d,a,w,1706
d,v,n,n,1706
n,w,n,a,1706
m,q,v,u,1706
v,c,u,n,1706
p,m,n,v,1706
r,n,d,v,1706
r,p,q,n,1706
n,d,c,v,1706
v,r,n,d,1706
v,u,v,a,1706
w,r,m,q,1706
n,n,v,c,1706
d,v,w,d,1706
n,v,d,v,1706
n,a,a,c,1706
v,a,d,v,1706
d,v,v,u,1706
a,u,c,v,1706
w,d,r,n,1706
w,n,a,u,1706
q,w,p,m,1706
q,n,u,d,1706
u,a,v,w,1706
u,n,n,n,1706
v,u,w,n,1706
n,n,u,a,1706
m,q,r,p,1706
a,w,v,r,1706
p,m,n,n,1706
n,p,q,n,1706
f,i,r,n,1706
w,v,ns,l,1706
a,u,a,n,1706
v,w,l,u,1706
r,v,u,n,1706
u,r,v,u,1706
m,q,d,a,1706
v,v,n,w,1706
r,n,p,m,1706
a,n,r,v,1706
u,n,n,f,1706
n,f,v,v,1706
z,d,a,u,1706
v,v,p,m,1706
n,w,w,ns,1706
n,n,i,u,1706
v,u,w,v,1706
q,n,f,i,1706
d,a,u,n,1706
r,m,v,n,1706
p,m,z,d,1706
m,q,n,f,1706
i,u,n,w,1706
u,r,w,p,1706
r,ad,u,n,1706
q,z,a,a,1706
