@relation 893645

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1745,1762}

@data
t,w,t,t,1745
w,t,t,t,1745
w,t,t,w,1745
vn,w,t,t,1745
n,vn,t,t,1745
t,t,t,t,1745
t,t,t,w,1745
t,t,w,t,1745
v,Ng,a,w,1745
w,p,Ng,d,1745
ns,u,n,n,1745
v,ns,a,n,1745
n,n,nr,l,1745
l,w,v,Ng,1745
u,a,n,nr,1745
nr,nr,w,p,1745
p,v,d,a,1745
n,nr,l,w,1745
a,n,nr,nr,1745
nr,l,p,v,1745
p,p,f,v,1745
d,v,u,v,1745
w,v,w,r,1745
v,Ng,v,Ng,1745
r,v,v,n,1745
Ng,w,Ng,w,1745
v,vn,p,r,1745
u,v,n,v,1745
Ng,w,v,c,1745
v,n,v,vn,1745
n,n,vn,w,1745
n,w,v,a,1745
w,p,v,Ng,1745
n,f,s,n,1745
s,n,v,u,1745
v,a,v,n,1745
v,p,n,f,1745
n,n,p,p,1745
p,r,Ng,w,1745
r,v,w,v,1745
v,s,n,v,1745
v,n,v,u,1745
v,Ng,r,v,1745
u,v,i,w,1745
p,n,v,s,1745
ns,n,v,n,1745
n,v,p,n,1745
w,r,c,v,1745
v,u,w,d,1745
v,c,n,u,1745
w,d,a,u,1745
n,m,n,n,1745
a,u,n,n,1745
n,u,u,i,1745
n,v,w,p,1745
m,v,n,v,1745
u,n,d,v,1745
v,n,v,p,1745
f,v,n,n,1745
vn,w,r,v,1745
c,v,u,v,1745
n,v,n,w,1745
n,n,u,n,1745
vn,u,p,ns,1745
v,vn,u,n,1745
p,n,v,vn,1745
ns,n,d,a,1745
n,ad,vn,vn,1745
n,p,n,d,1745
p,ns,d,d,1745
n,d,a,w,1745
ad,v,vn,u,1745
vn,vn,n,p,1745
u,n,ns,n,1745
n,n,v,r,1745
n,k,v,p,1745
n,v,n,n,1745
v,u,n,c,1745
u,n,vn,n,1745
c,n,u,n,1745
r,v,n,n,1745
n,c,vn,n,1745
w,v,v,u,1745
d,v,r,Vg,1745
v,w,k,d,1745
v,r,u,n,1745
vn,n,w,v,1745
Vg,Ng,c,n,1745
vn,vn,v,w,1745
w,n,d,v,1745
n,vn,n,w,1745
n,n,w,n,1745
v,u,n,vn,1745
n,n,n,n,1745
u,n,c,vn,1745
n,v,n,k,1745
v,p,Vg,Ng,1745
k,d,p,r,1745
Ng,n,n,v,1745
n,c,v,u,1745
c,vn,n,v,1745
n,n,vn,vn,1745
p,r,Ng,n,1745
p,n,v,w,1745
n,w,r,v,1745
r,Vg,n,c,1745
w,ns,ns,w,1745
u,n,vn,n,1745
a,u,n,vn,1745
u,a,n,n,1745
w,ns,ns,u,1745
u,n,d,v,1745
d,d,u,a,1745
ns,w,u,n,1745
w,ns,n,d,1745
