@relation 930436

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1783,1806}

@data
n,w,v,r,1783
v,u,j,u,1783
u,ns,u,n,1783
j,u,w,d,1783
u,n,d,v,1783
ns,j,n,w,1783
w,d,r,u,1783
d,v,u,n,1783
r,v,ns,j,1783
v,r,n,w,1783
vn,n,r,v,1783
w,m,n,m,1783
c,r,l,w,1783
w,l,u,n,1783
v,d,u,w,1783
n,vn,p,r,1783
u,n,n,p,1783
w,u,vn,n,1783
b,n,d,v,1783
w,c,w,l,1783
n,w,c,r,1783
n,w,c,n,1783
v,u,n,v,1783
q,n,q,n,1783
j,c,w,m,1783
d,v,w,j,1783
p,r,v,u,1783
c,n,m,q,1783
n,m,n,w,1783
l,w,n,vn,1783
u,b,v,d,1783
w,j,n,w,1783
n,d,n,w,1783
q,n,w,c,1783
n,p,v,v,1783
r,w,w,u,1783
m,q,w,w,1783
m,q,m,q,1783
n,w,q,n,1783
v,n,j,c,1783
r,v,u,b,1783
w,w,r,w,1783
n,v,v,u,1783
v,v,b,n,1783
v,n,v,n,1783
v,u,w,d,1783
n,w,v,n,1783
n,w,n,w,1783
u,n,d,v,1783
d,v,w,v,1783
d,v,n,w,1783
nz,d,u,n,1783
w,d,n,w,1783
n,d,n,n,1783
w,v,d,v,1783
r,w,d,v,1783
n,n,a,w,1783
v,r,v,v,1783
d,v,n,d,1783
w,m,d,p,1783
v,n,d,a,1783
n,d,n,f,1783
r,d,v,w,1783
v,w,d,v,1783
p,n,v,v,1783
w,u,w,n,1783
d,v,w,v,1783
v,n,v,w,1783
v,v,v,d,1783
Ng,a,w,u,1783
n,v,v,Ng,1783
m,n,p,n,1783
n,n,v,u,1783
n,w,r,d,1783
n,d,w,m,1783
n,w,n,d,1783
w,v,a,n,1783
n,w,n,w,1783
n,n,w,v,1783
w,n,v,n,1783
w,n,d,v,1783
v,u,w,v,1783
d,v,n,v,1783
n,f,v,n,1783
d,p,f,v,1783
v,w,Ng,a,1783
v,d,n,n,1783
n,d,u,n,1783
f,v,n,w,1783
v,Ng,n,w,1783
u,n,v,r,1783
w,v,v,n,1783
u,n,n,n,1783
a,n,u,n,1783
d,v,n,w,1783
d,a,m,n,1783
a,w,n,d,1783
u,r,n,w,1783
v,u,u,n,1783
r,v,r,u,1783
i,w,a,v,1783
a,Ng,d,a,1783
w,a,a,Ng,1783
v,a,a,d,1783
d,a,r,v,1783
w,r,j,v,1783
w,w,v,a,1783
a,d,w,r,1783
j,v,u,n,1783
r,v,v,n,1783
v,n,n,r,1783
n,u,r,w,1783
v,j,n,u,1783
a,v,Ng,a,1783
Ng,a,a,w,1783
a,w,v,j,1783
n,u,v,w,1783
j,v,u,n,1783
n,v,j,n,1783
v,w,n,d,1783
w,j,d,v,1783
n,d,y,w,1783
m,v,v,n,1783
v,j,n,u,1783
j,n,v,y,1783
u,n,w,j,1783
v,n,n,v,1783
n,r,d,v,1783
w,n,v,d,1783
i,w,r,v,1783
r,v,v,w,1783
n,w,v,u,1783
ns,w,u,n,1783
j,j,m,q,1783
j,n,q,n,1783
n,u,n,w,1783
vn,n,n,j,1783
v,u,vn,n,1783
w,ns,n,u,1783
n,c,j,j,1783
w,d,u,n,1783
n,vn,c,n,1783
u,n,n,c,1783
m,n,d,v,1783
m,q,w,v,1783
w,v,u,n,1783
n,w,q,n,1783
m,q,w,m,1783
w,m,n,w,1783
n,m,n,w,1783
q,n,m,q,1783
ns,u,u,m,1783
u,m,w,d,1783
u,n,m,n,1783
q,n,v,v,1783
w,p,w,ns,1783
p,ns,ns,u,1783
c,n,j,n,1783
n,w,v,u,1783
d,v,n,vn,1783
n,j,n,m,1783
v,v,n,w,1783
v,d,u,d,1783
f,w,n,v,1783
u,d,w,n,1783
m,q,n,n,1783
v,v,w,w,1783
u,n,v,r,1783
a,u,v,w,1783
n,v,w,w,1783
n,u,v,v,1783
w,n,n,v,1783
w,m,n,v,1783
d,v,m,q,1783
r,w,n,w,1783
n,w,v,r,1783
n,n,d,a,1783
n,n,v,d,1783
n,v,u,n,1783
n,n,d,v,1783
v,w,u,n,1783
v,u,f,w,1783
n,f,n,n,1783
n,v,v,w,1783
q,n,n,v,1783
u,n,w,n,1783
v,d,w,m,1783
w,w,w,n,1783
w,n,v,d,1783
n,v,a,u,1783
v,r,w,n,1783
d,a,d,v,1783
n,v,r,w,1783
d,v,n,u,1783
w,n,n,v,1783
v,v,n,f,1783
w,n,r,w,1783
m,q,v,v,1783
v,w,q,n,1783
q,n,v,u,1783
n,l,m,q,1783
v,v,f,ns,1783
w,nx,c,nz,1783
v,ns,l,u,1783
q,n,w,r,1783
w,r,q,n,1783
w,c,n,v,1783
m,q,n,w,1783
nz,n,ns,n,1783
j,f,n,ad,1783
n,ad,u,n,1783
p,v,j,f,1783
n,n,r,m,1783
nx,w,nz,n,1783
vn,p,v,j,1783
q,n,vn,p,1783
ad,v,n,w,1783
v,j,ns,n,1783
u,m,n,n,1783
r,m,n,u,1783
ns,n,u,m,1783
n,w,m,q,1783
u,vn,v,v,1783
m,q,u,vn,1783
ns,n,v,u,1783
n,u,p,v,1783
l,u,q,n,1783
f,ns,ad,v,1783
c,nz,v,ns,1783
n,v,n,l,1783
w,n,n,w,1783
u,n,w,ns,1783
n,w,t,u,1783
w,nz,nz,d,1783
d,a,w,nz,1783
w,d,w,nz,1783
n,f,m,q,1783
n,w,m,Ng,1783
w,j,nz,c,1783
a,n,nz,n,1783
j,w,c,nz,1783
nz,c,m,q,1783
n,n,d,t,1783
w,nz,w,t,1783
c,nz,q,n,1783
w,nz,nz,m,1783
v,m,w,n,1783
ns,u,n,w,1783
u,w,w,v,1783
n,n,v,u,1783
Ng,w,w,n,1783
nz,m,n,n,1783
n,u,u,m,1783
n,w,n,w,1783
n,w,t,w,1783
nz,n,t,t,1783
f,u,q,z,1783
q,n,w,d,1783
ns,n,u,v,1783
nz,c,d,v,1783
c,nz,v,ns,1783
w,v,Ng,w,1783
n,w,w,j,1783
u,m,z,n,1783
m,q,n,w,1783
v,u,n,n,1783
n,w,w,nz,1783
u,v,m,n,1783
w,t,u,n,1783
v,w,u,w,1783
t,u,v,w,1783
n,v,ns,u,1783
d,t,nz,c,1783
t,t,n,v,1783
d,v,n,n,1783
u,m,n,f,1783
m,q,n,w,1783
w,ns,w,n,1783
w,n,j,w,1783
v,ns,n,u,1783
n,n,u,m,1783
m,Ng,n,w,1783
w,n,v,m,1783
t,w,c,nz,1783
nz,d,ns,n,1783
m,n,f,u,1783
n,d,p,b,1783
n,n,v,v,1783
u,v,u,n,1783
u,n,u,v,1783
u,m,n,d,1783
