@relation 30475

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1836,1866,1881,1909}

@data
m,n,n,d,1836
v,v,n,n,1836
p,n,v,v,1836
p,v,ns,n,1836
n,vn,v,w,1836
w,n,v,v,1836
ns,n,a,n,1836
ad,v,n,w,1836
v,ns,n,a,1836
v,p,vn,v,1836
v,p,v,ns,1836
r,v,v,v,1836
v,m,w,n,1836
d,v,v,p,1836
n,a,ad,v,1836
n,w,d,v,1836
n,ad,m,n,1836
n,d,v,v,1836
v,v,p,n,1836
n,n,n,ad,1836
a,n,v,m,1836
w,r,p,v,1836
v,v,n,vn,1836
p,n,n,v,1836
n,v,v,w,1836
a,w,d,v,1836
u,r,n,v,1836
n,v,w,d,1836
r,w,v,n,1836
v,w,n,n,1836
v,u,w,c,1836
n,n,v,d,1836
v,u,w,n,1836
n,v,r,w,1836
v,d,w,p,1836
n,n,a,w,1836
v,w,vn,n,1836
ad,v,n,n,1836
n,n,d,v,1836
d,v,n,vn,1836
r,w,v,u,1836
v,v,v,u,1836
v,ad,w,n,1836
n,v,r,w,1836
v,u,w,n,1836
n,v,v,w,1836
u,r,c,v,1836
d,d,v,n,1836
w,n,u,r,1836
n,v,r,w,1836
d,v,p,n,1836
w,n,u,r,1836
r,w,v,u,1836
c,v,n,v,1836
u,n,vd,v,1836
v,w,n,u,1836
w,d,v,v,1836
w,p,u,n,1836
w,c,n,n,1836
n,n,d,v,1836
u,r,n,v,1836
d,v,n,v,1836
w,n,n,v,1836
v,n,u,r,1836
v,n,v,d,1836
n,u,v,vd,1836
n,vn,v,ad,1836
v,vd,u,w,1836
v,d,w,n,1836
v,a,d,d,1836
vn,n,ad,v,1836
w,n,n,v,1836
n,v,v,w,1836
n,v,v,u,1836
m,n,v,a,1836
r,n,v,u,1836
u,r,w,v,1836
n,v,w,v,1836
v,u,n,w,1836
r,n,v,u,1836
v,r,u,r,1836
v,u,n,w,1836
n,w,u,r,1836
c,v,p,n,1836
n,n,vn,w,1836
u,r,w,c,1836
v,v,r,n,1836
r,n,c,v,1836
w,v,n,n,1836
u,r,w,v,1836
v,m,n,v,1836
v,u,n,w,1836
n,w,u,r,1836
v,d,w,d,1836
w,d,v,r,1836
n,w,v,r,1836
d,i,d,v,1836
w,v,r,n,1836
u,r,w,v,1836
w,v,v,u,1836
n,w,u,r,1836
r,n,v,u,1836
v,r,n,n,1836
r,n,v,u,1836
v,v,u,r,1836
n,n,v,vn,1836
v,u,n,w,1836
w,c,r,p,1836
w,v,r,n,1836
n,v,i,w,1836
d,v,r,v,1836
i,w,v,v,1836
w,v,r,n,1836
v,u,n,w,1836
u,r,w,v,1836
v,u,n,w,1836
v,v,v,u,1836
n,w,u,r,1836
n,n,d,i,1836
v,vn,v,v,1836
r,p,n,n,1836
w,v,r,n,1836
r,v,r,n,1836
vn,w,v,v,1836
p,n,n,v,1836
m,n,v,d,1836
n,w,v,vn,1836
c,v,n,n,1836
vn,n,n,v,1836
v,v,n,w,1836
w,c,v,n,1836
n,n,vn,w,1836
n,u,v,vn,1836
v,v,n,w,1836
vn,w,v,v,1836
v,vn,w,n,1836
n,n,n,vn,1836
n,n,v,v,1836
u,vn,c,v,1836
w,n,n,u,1836
w,v,vn,n,1836
n,v,vn,w,1836
u,n,vn,vn,1836
n,vn,u,n,1836
w,n,w,n,1836
n,u,w,c,1836
n,w,n,w,1836
n,w,vn,n,1836
vn,n,n,n,1836
v,n,w,v,1836
f,d,u,a,1836
q,f,v,u,1836
n,w,w,Ag,1836
w,w,Ag,d,1836
v,w,n,w,1836
q,n,w,w,1836
f,a,f,d,1836
n,Ng,v,w,1836
w,m,n,w,1836
v,w,p,n,1836
w,v,Ng,v,1836
a,d,w,m,1836
w,Ag,Ag,w,1836
d,v,a,n,1836
Ag,d,w,v,1836
w,p,v,v,1836
v,w,n,Ng,1836
v,n,f,a,1836
w,w,d,Ag,1836
a,q,d,v,1836
v,v,v,n,1836
v,n,v,v,1836
m,q,w,w,1836
n,v,w,v,1836
v,v,v,n,1836
v,v,w,p,1836
v,f,q,f,1836
a,w,q,n,1836
d,a,m,q,1836
d,Ag,v,v,1836
p,n,v,w,1836
v,u,n,w,1836
Ag,w,v,w,1836
n,v,a,q,1836
w,w,n,v,1836
Ng,v,w,v,1836
n,w,n,v,1836
w,v,v,f,1836
v,n,v,n,1836
w,v,w,v,1836
w,v,w,w,1836
u,n,v,n,1836
v,a,w,c,1836
u,n,v,r,1836
n,u,r,w,1836
v,v,v,v,1836
v,v,w,v,1836
n,w,v,n,1836
a,n,c,v,1836
v,n,v,n,1836
w,c,n,u,1836
c,v,u,n,1836
n,w,u,n,1836
v,n,n,r,1836
v,n,b,u,1836
n,v,n,w,1836
v,r,v,a,1836
v,v,n,w,1836
w,v,w,b,1836
b,u,v,v,1836
w,b,n,v,1836
n,v,r,v,1836
n,w,n,w,1836
r,v,a,n,1836
n,d,w,d,1836
v,r,v,w,1836
v,w,v,r,1836
d,v,d,v,1836
n,n,n,d,1836
d,v,v,v,1836
n,w,d,v,1836
w,n,v,w,1836
w,d,r,v,1836
a,d,v,v,1836
v,v,n,v,1836
d,v,p,n,1836
c,v,n,w,1836
v,n,w,v,1836
n,n,v,v,1836
v,v,n,u,1836
w,v,n,n,1836
v,p,v,a,1836
w,c,v,v,1836
c,d,v,p,1836
p,n,a,w,1836
u,n,c,d,1836
vn,c,n,n,1836
v,v,n,vn,1836
n,w,d,v,1836
v,v,v,n,1836
n,w,v,n,1836
n,vn,v,n,1836
v,n,u,n,1836
d,v,v,v,1836
n,n,n,w,1836
n,u,w,c,1836
v,v,vn,c,1836
v,n,c,v,1836
d,a,v,v,1836
w,n,w,d,1836
v,w,d,v,1836
w,d,r,v,1836
v,d,n,v,1836
n,l,d,v,1836
l,w,v,r,1836
d,v,v,d,1836
d,v,v,v,1836
v,v,v,d,1836
n,v,w,v,1836
v,n,v,w,1836
v,d,n,v,1836
w,v,v,n,1836
r,v,v,n,1836
v,r,d,v,1836
d,v,v,v,1836
v,n,v,w,1836
n,f,d,v,1836
u,vn,v,v,1836
n,r,a,u,1836
n,w,f,v,1836
v,n,n,f,1836
v,c,d,v,1836
f,v,v,vn,1836
v,v,n,d,1836
w,j,vn,n,1836
w,n,v,d,1836
v,w,w,vn,1836
n,v,v,v,1836
w,v,j,w,1836
v,v,w,v,1836
d,w,d,v,1836
d,v,d,w,1836
vn,n,v,v,1836
c,n,v,v,1836
v,v,w,n,1836
d,v,n,w,1836
w,vn,r,w,1836
a,u,n,v,1836
n,d,v,d,1836
v,d,vn,w,1836
w,a,vn,n,1836
j,w,n,r,1836
w,v,v,v,1836
vn,n,w,a,1836
r,w,u,vn,1836
v,d,v,d,1836
v,v,c,n,1836
v,v,v,c,1836
v,d,v,n,1836
v,p,j,w,1836
w,j,n,v,1836
j,w,v,n,1836
w,n,n,w,1836
n,w,n,v,1836
v,n,n,w,1836
v,n,v,n,1836
n,v,w,v,1836
p,w,w,n,1836
w,v,v,n,1836
r,q,w,n,1836
v,vn,a,w,1836
n,v,r,v,1836
d,v,q,n,1836
v,r,n,w,1836
n,w,v,v,1836
r,v,n,a,1836
w,n,v,r,1836
v,r,vn,n,1836
v,v,v,vn,1836
q,n,n,v,1836
v,v,n,u,1836
v,v,v,n,1836
v,n,u,vn,1836
d,v,v,v,1836
n,n,vn,n,1836
v,v,n,n,1836
v,n,d,v,1836
n,v,v,v,1836
r,v,n,v,1836
v,v,v,d,1836
d,v,u,n,1836
v,d,v,u,1836
v,v,n,w,1836
d,v,q,n,1836
q,n,c,d,1836
v,w,d,v,1836
d,v,v,d,1836
m,q,w,c,1836
a,u,m,n,1836
n,w,d,v,1836
v,d,d,v,1836
m,n,d,v,1836
d,d,w,v,1836
u,n,n,d,1836
v,m,n,w,1836
r,u,y,w,1836
w,c,v,r,1836
n,m,d,d,1836
d,v,u,n,1836
w,v,v,d,1836
d,v,v,m,1836
v,d,m,q,1836
c,d,r,u,1836
v,r,n,y,1836
n,d,v,w,1836
n,v,w,n,1836
n,w,v,u,1836
n,v,v,n,1836
w,n,u,n,1836
v,n,n,v,1836
v,f,n,v,1836
v,n,n,w,1836
n,v,n,w,1836
f,v,v,n,1836
n,v,a,d,1836
d,a,c,d,1836
w,n,u,a,1836
n,Ag,Ag,w,1836
c,d,v,v,1836
w,c,v,v,1836
d,Ag,n,v,1836
a,w,d,v,1836
v,v,Ag,d,1836
v,u,d,a,1836
v,n,d,Ag,1836
u,a,a,w,1836
Ag,d,w,n,1836
a,d,w,c,1836
Ag,w,v,u,1836
d,v,v,w,1836
a,w,v,d,1836
v,r,d,v,1836
v,d,n,w,1836
w,d,u,v,1836
w,m,u,n,1836
b,n,nr,v,1836
u,v,r,v,1836
n,u,v,u,1836
d,a,v,v,1836
u,l,a,d,1836
m,n,n,v,1836
w,a,a,w,1836
w,d,d,v,1836
v,v,a,u,1836
u,n,u,l,1836
d,v,w,d,1836
v,n,d,a,1836
nr,nr,w,m,1836
v,v,v,d,1836
n,v,l,w,1836
d,v,u,a,1836
a,u,v,r,1836
d,v,v,n,1836
n,w,a,u,1836
v,d,v,u,1836
a,d,w,d,1836
u,a,n,w,1836
v,w,n,u,1836
v,u,u,n,1836
d,a,d,v,1836
l,w,d,a,1836
nr,v,m,n,1836
r,v,v,v,1836
n,nr,v,w,1836
v,u,w,a,1836
a,w,v,m,1836
n,n,n,n,1836
r,v,n,u,1836
n,w,n,c,1836
w,n,m,q,1836
m,n,n,n,1836
v,a,n,v,1836
n,v,w,n,1836
c,n,a,w,1836
n,c,v,a,1836
n,u,n,w,1836
n,v,q,w,1836
w,n,c,n,1836
u,n,w,n,1836
n,n,n,v,1836
v,m,u,n,1836
r,v,n,v,1836
n,n,u,d,1836
v,vn,w,c,1836
w,c,r,v,1836
n,v,d,a,1836
u,d,vn,n,1836
a,n,v,v,1836
v,v,w,nx,1836
v,u,a,n,1836
d,v,n,w,1836
n,v,v,w,1836
v,r,p,n,1836
n,w,v,r,1836
v,u,v,vn,1836
v,v,nx,v,1836
c,v,v,p,1836
u,d,n,v,1836
w,nx,u,d,1836
