@relation 967053

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1939,1950}

@data
v,n,u,vn,1939
n,n,vn,w,1939
n,n,u,vn,1939
n,i,vn,c,1939
n,u,v,m,1939
r,n,ad,v,1939
n,b,n,n,1939
n,n,i,u,1939
n,w,u,nt,1939
u,w,m,q,1939
w,v,q,n,1939
w,v,nt,p,1939
v,w,n,u,1939
w,p,u,w,1939
u,ad,w,p,1939
q,n,v,u,1939
b,n,n,i,1939
vn,c,n,n,1939
p,n,w,v,1939
n,u,v,w,1939
v,m,n,w,1939
c,v,n,u,1939
u,vn,v,n,1939
ad,v,p,n,1939
u,nt,n,b,1939
m,q,w,v,1939
p,n,n,n,1939
w,r,u,ad,1939
nt,p,b,n,1939
i,u,c,v,1939
v,u,p,n,1939
vn,w,n,c,1939
u,n,m,q,1939
w,n,c,vn,1939
n,c,n,w,1939
u,n,w,n,1939
m,q,u,n,1939
v,m,a,u,1939
a,u,c,a,1939
v,n,n,vn,1939
n,n,n,v,1939
d,v,v,m,1939
w,m,a,u,1939
m,q,u,n,1939
n,w,v,v,1939
u,n,a,u,1939
w,c,n,n,1939
n,c,u,n,1939
q,a,n,c,1939
c,vn,w,d,1939
v,v,m,q,1939
n,vn,n,n,1939
v,v,u,n,1939
n,v,n,u,1939
p,n,u,n,1939
c,p,n,u,1939
vn,n,d,v,1939
w,d,v,v,1939
n,n,vn,n,1939
n,u,v,v,1939
a,u,w,m,1939
c,a,n,w,1939
n,w,q,a,1939
u,n,v,n,1939
q,a,n,w,1939
v,v,q,a,1939
n,u,vn,w,1939
v,d,p,j,1939
v,i,i,w,1939
v,u,n,w,1939
v,v,w,v,1939
vn,n,v,v,1939
i,w,u,vn,1939
t,w,v,w,1939
n,w,i,w,1939
s,n,w,v,1939
v,t,v,t,1939
i,w,w,i,1939
s,n,n,c,1939
w,v,v,t,1939
w,i,vn,n,1939
v,v,t,w,1939
v,p,n,v,1939
i,u,n,w,1939
n,w,v,v,1939
vn,n,r,d,1939
v,t,v,v,1939
v,v,n,w,1939
w,v,w,v,1939
w,r,v,d,1939
v,p,n,v,1939
n,u,c,n,1939
p,s,v,w,1939
v,t,v,s,1939
c,n,v,i,1939
n,v,v,v,1939
r,d,d,v,1939
p,j,v,v,1939
v,v,w,v,1939
v,v,vn,n,1939
n,w,d,v,1939
j,n,v,t,1939
u,n,n,w,1939
u,vn,w,v,1939
v,s,u,n,1939
w,v,n,u,1939
d,v,j,n,1939
n,v,t,w,1939
w,i,i,u,1939
v,n,v,v,1939
t,w,s,n,1939
t,w,t,w,1939
w,v,v,n,1939
w,v,w,v,1939
v,v,w,v,1939
v,n,v,n,1939
d,v,v,p,1939
n,w,v,u,1939
v,w,v,v,1939
n,w,n,w,1939
n,c,w,v,1939
u,vn,w,r,1939
w,v,u,vn,1939
w,v,w,i,1939
n,c,p,t,1939
m,q,v,u,1939
n,v,j,vn,1939
t,t,n,m,1939
m,m,n,v,1939
p,n,m,q,1939
d,p,u,n,1939
v,u,vn,w,1939
q,n,u,j,1939
p,a,n,n,1939
t,p,m,m,1939
n,p,t,p,1939
p,t,p,n,1939
n,n,n,p,1939
c,n,t,t,1939
u,n,c,n,1939
n,m,q,n,1939
a,u,n,c,1939
n,v,w,v,1939
n,v,d,w,1939
v,n,v,n,1939
v,n,n,v,1939
n,u,v,n,1939
v,p,u,n,1939
v,n,v,v,1939
n,w,v,n,1939
j,d,an,w,1939
n,w,v,p,1939
w,n,p,d,1939
u,n,n,w,1939
n,w,v,p,1939
w,v,d,v,1939
v,v,w,v,1939
w,v,n,w,1939
w,i,v,j,1939
p,n,n,v,1939
n,w,n,w,1939
i,w,j,d,1939
d,w,w,v,1939
p,d,i,w,1939
n,v,n,w,1939
v,p,w,n,1939
w,n,p,n,1939
v,p,w,i,1939
w,v,w,n,1939
v,j,v,an,1939
p,n,n,v,1939
n,w,a,n,1939
d,v,w,d,1939
v,v,d,v,1939
c,d,v,w,1939
vn,n,v,v,1939
v,c,v,v,1939
v,l,w,nt,1939
v,w,v,c,1939
n,w,w,v,1939
w,nt,n,nr,1939
w,d,c,d,1939
v,b,w,v,1939
d,v,n,w,1939
vn,w,n,z,1939
vn,n,l,w,1939
w,t,vn,n,1939
v,v,d,v,1939
v,n,n,w,1939
nr,nr,w,t,1939
b,n,v,a,1939
n,vn,w,l,1939
d,v,d,v,1939
c,d,b,n,1939
l,u,nt,b,1939
w,l,v,l,1939
nt,b,nr,nr,1939
w,v,u,w,1939
t,m,n,vn,1939
n,nr,v,w,1939
vn,n,w,vn,1939
v,w,m,vn,1939
v,c,v,b,1939
l,w,l,u,1939
n,vn,vn,n,1939
u,w,b,n,1939
z,v,c,d,1939
n,z,v,c,1939
m,vn,vn,w,1939
w,v,n,w,1939
w,vn,z,v,1939
b,n,nr,v,1939
nr,v,t,m,1939
c,v,n,w,1939
n,vn,an,w,1939
an,v,n,c,1939
n,p,vn,u,1939
n,c,p,n,1939
u,vn,v,w,1939
c,a,v,v,1939
n,a,n,w,1939
an,w,u,vn,1939
a,u,v,v,1939
v,n,u,n,1939
n,w,a,u,1939
u,n,n,c,1939
n,u,an,v,1939
w,n,v,p,1939
w,n,a,n,1939
vn,an,w,n,1939
d,v,a,u,1939
w,n,vn,an,1939
p,n,c,a,1939
n,w,c,a,1939
v,p,w,c,1939
v,w,d,v,1939
p,n,u,an,1939
n,c,n,w,1939
w,n,n,vn,1939
v,v,w,v,1939
v,d,n,a,1939
u,v,v,w,1939
u,an,n,u,1939
w,c,u,v,1939
a,u,w,n,1939
w,v,v,n,1939
vn,u,w,n,1939
v,v,v,d,1939
v,w,c,v,1939
v,n,b,u,1939
u,vn,n,f,1939
a,n,n,w,1939
vn,w,f,v,1939
n,n,vn,w,1939
u,v,n,n,1939
nz,w,u,v,1939
u,n,v,v,1939
n,f,m,q,1939
n,w,v,c,1939
m,q,n,u,1939
n,f,p,v,1939
ns,n,u,vn,1939
n,u,w,n,1939
w,v,c,v,1939
p,v,n,u,1939
v,m,n,n,1939
w,n,v,p,1939
v,a,u,n,1939
n,u,w,n,1939
v,ns,n,u,1939
i,u,ns,n,1939
n,n,vn,w,1939
f,v,q,n,1939
v,c,n,n,1939
vn,w,f,v,1939
w,n,v,m,1939
q,n,u,vn,1939
n,b,n,w,1939
u,vn,n,f,1939
c,v,n,b,1939
v,v,v,n,1939
v,p,a,n,1939
n,n,u,n,1939
n,u,w,v,1939
w,i,v,ns,1939
f,v,v,a,1939
q,b,n,w,1939
n,w,n,u,1939
vd,v,c,m,1939
n,u,v,p,1939
u,vn,c,n,1939
vn,u,n,w,1939
c,n,w,r,1939
v,p,f,v,1939
p,r,n,n,1939
a,u,vn,c,1939
n,c,n,n,1939
vd,v,v,v,1939
vn,p,n,vn,1939
vd,v,u,n,1939
vn,d,u,n,1939
v,v,v,n,1939
c,n,p,n,1939
n,w,v,u,1939
n,c,vn,p,1939
u,n,p,r,1939
n,n,a,n,1939
d,v,n,v,1939
n,d,r,u,1939
p,n,u,n,1939
n,u,n,n,1939
n,vn,n,n,1939
u,a,n,w,1939
c,p,vn,u,1939
c,v,n,f,1939
r,u,n,w,1939
n,c,p,n,1939
p,n,v,a,1939
vd,n,vn,w,1939
v,v,n,c,1939
n,v,u,v,1939
a,n,w,v,1939
n,n,v,p,1939
u,v,n,u,1939
c,d,u,n,1939
v,vd,u,vn,1939
b,u,w,v,1939
v,vd,n,v,1939
vn,w,v,v,1939
a,u,vd,n,1939
d,a,n,vn,1939
