@relation 33756

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {1980,2006}

@data
ns,w,u,n,1980
f,ns,ns,w,1980
ns,u,n,v,1980
w,n,n,n,1980
n,c,n,w,1980
n,w,n,c,1980
m,Ng,n,w,1980
ns,f,w,ns,1980
u,n,v,v,1980
v,v,Ng,w,1980
n,n,vn,n,1980
Ng,w,w,n,1980
v,m,w,n,1980
ns,w,w,ns,1980
w,ns,ns,u,1980
n,v,m,Ng,1980
w,n,c,vn,1980
w,ns,n,n,1980
n,n,v,m,1980
n,a,a,w,1980
s,m,w,s,1980
s,n,n,a,1980
w,s,a,n,1980
m,q,s,n,1980
q,w,n,a,1980
n,n,u,n,1980
ns,v,m,q,1980
ns,r,n,w,1980
q,n,u,m,1980
m,q,v,u,1980
n,w,v,v,1980
m,q,w,n,1980
f,d,r,v,1980
r,v,v,n,1980
d,v,v,ns,1980
d,p,v,v,1980
d,p,v,v,1980
v,ns,n,v,1980
u,m,n,v,1980
v,v,w,d,1980
p,r,v,ns,1980
w,t,p,r,1980
n,v,n,w,1980
q,n,n,f,1980
n,v,m,q,1980
v,v,n,w,1980
v,v,ns,n,1980
v,n,d,v,1980
t,d,r,v,1980
