@relation 34917

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2036,2045,2069}

@data
n,p,n,v,2036
m,n,u,n,2036
v,u,u,n,2036
n,v,u,r,2036
u,r,n,w,2036
r,m,v,v,2036
u,n,r,m,2036
p,m,v,u,2036
m,n,v,u,2036
nr,n,m,n,2036
v,u,w,r,2036
v,v,r,u,2036
n,w,m,n,2036
n,v,n,w,2036
w,r,n,v,2036
a,w,Ag,u,2036
b,n,n,w,2036
r,f,a,n,2036
n,w,w,n,2036
w,vn,n,u,2036
v,u,n,u,2036
v,u,v,b,2036
n,v,w,v,2036
w,n,n,u,2036
w,v,m,n,2036
a,n,v,u,2036
n,w,u,m,2036
m,n,q,f,2036
n,w,u,m,2036
w,m,v,n,2036
n,c,w,vn,2036
m,n,u,n,2036
v,u,n,v,2036
v,p,f,p,2036
n,v,n,n,2036
w,n,n,w,2036
f,p,n,v,2036
w,v,u,m,2036
w,n,n,w,2036
n,n,n,w,2036
v,u,n,w,2036
v,b,u,n,2036
w,n,n,w,2036
m,n,n,w,2036
w,v,m,n,2036
n,u,u,n,2036
ns,n,m,n,2036
n,w,u,v,2036
q,f,w,v,2036
u,a,w,v,2036
v,w,w,d,2036
n,w,n,v,2036
u,n,v,v,2036
c,n,vn,w,2036
v,u,p,r,2036
r,q,v,w,2036
u,w,b,n,2036
w,v,v,p,2036
u,m,v,f,2036
u,n,n,w,2036
d,a,d,Ag,2036
n,w,w,n,2036
n,v,w,v,2036
v,u,n,v,2036
w,ns,w,m,2036
w,v,m,n,2036
n,w,w,n,2036
v,w,a,w,2036
m,n,n,c,2036
w,n,vn,w,2036
m,n,f,v,2036
n,r,f,v,2036
u,v,r,f,2036
n,v,v,u,2036
v,f,u,a,2036
v,v,m,n,2036
a,n,u,w,2036
w,u,n,p,2036
n,w,u,m,2036
u,n,v,u,2036
u,m,v,u,2036
w,vn,n,c,2036
w,v,n,u,2036
v,u,n,w,2036
n,u,c,n,2036
n,w,w,n,2036
v,n,v,u,2036
w,n,n,w,2036
vn,w,c,n,2036
p,a,v,u,2036
n,w,v,u,2036
u,m,r,q,2036
n,w,n,n,2036
n,w,w,n,2036
n,n,w,ns,2036
u,m,u,n,2036
vn,w,u,n,2036
p,w,n,w,2036
w,d,w,d,2036
f,v,v,w,2036
p,r,p,a,2036
u,n,v,u,2036
w,v,d,a,2036
w,d,u,n,2036
v,u,n,r,2036
f,v,a,n,2036
u,n,w,n,2036
d,Ag,n,w,2036
u,n,n,w,2036
n,u,w,v,2036
Ag,u,w,v,2036
n,p,ns,n,2036
u,n,p,w,2036
n,u,w,v,2036
n,w,w,vn,2036
d,v,w,p,2036
v,u,n,n,2036
w,p,d,v,2036
t,w,d,v,2036
w,t,r,d,2036
q,w,v,an,2036
d,v,n,n,2036
u,n,n,w,2036
w,t,t,w,2036
p,n,v,u,2036
v,w,w,t,2036
n,m,w,v,2036
d,v,m,q,2036
t,w,w,r,2036
v,n,p,n,2036
q,w,v,n,2036
r,d,n,m,2036
v,n,q,w,2036
w,v,an,c,2036
an,c,v,n,2036
v,n,q,w,2036
w,r,v,n,2036
n,w,n,d,2036
m,q,v,v,2036
v,v,c,d,2036
n,d,u,n,2036
v,v,m,q,2036
c,d,n,w,2036
m,q,v,v,2036
w,v,n,m,2036
v,an,d,v,2036
n,m,w,v,2036
n,u,v,v,2036
w,c,v,n,2036
v,u,v,n,2036
n,n,n,v,2036
c,v,n,u,2036
n,p,n,u,2036
v,n,w,c,2036
n,w,v,v,2036
n,w,v,n,2036
c,v,p,n,2036
p,n,u,n,2036
v,v,u,n,2036
v,n,v,n,2036
u,n,v,n,2036
u,n,w,c,2036
v,n,n,n,2036
v,v,n,w,2036
n,v,n,n,2036
u,n,n,u,2036
u,v,n,w,2036
v,n,n,n,2036
w,c,n,p,2036
n,u,n,n,2036
n,u,n,w,2036
n,v,u,v,2036
n,n,c,v,2036
n,v,n,v,2036
