@relation 1121274

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2093,2648}

@data
d,p,u,n,2093
n,v,m,n,2093
w,d,b,u,2093
w,c,w,c,2093
v,w,v,n,2093
n,w,d,v,2093
c,n,v,vn,2093
v,vn,vn,n,2093
vn,vn,n,w,2093
p,m,f,w,2093
c,d,c,n,2093
d,d,u,v,2093
b,u,v,p,2093
n,f,w,d,2093
f,v,v,v,2093
v,v,w,d,2093
w,d,v,u,2093
u,v,n,w,2093
v,n,d,p,2093
n,v,vn,vn,2093
w,w,v,u,2093
w,d,v,n,2093
d,v,n,w,2093
w,v,n,w,2093
vn,vn,w,d,2093
v,u,w,d,2093
d,v,v,u,2093
n,w,v,v,2093
f,w,d,v,2093
v,u,w,c,2093
d,v,n,w,2093
v,p,n,f,2093
w,c,v,v,2093
w,d,u,n,2093
u,n,p,m,2093
v,v,vn,vn,2093
v,u,u,n,2093
d,w,n,v,2093
u,n,d,v,2093
n,w,p,b,2093
p,b,n,v,2093
vn,n,d,d,2093
u,n,c,d,2093
m,n,w,w,2093
n,w,d,w,2093
v,m,n,w,2093
v,n,n,v,2093
m,q,w,v,2093
Ng,n,d,v,2093
v,f,p,p,2093
q,n,v,f,2093
vn,w,d,v,2093
d,v,q,n,2093
u,n,vn,w,2093
v,vn,d,d,2093
d,p,v,n,2093
p,v,u,n,2093
d,d,n,w,2093
n,n,v,m,2093
n,u,v,vn,2093
v,w,Ng,n,2093
v,Ng,n,d,2093
n,v,w,d,2093
n,w,f,d,2093
w,d,v,n,2093
p,p,n,u,2093
w,v,n,n,2093
f,d,p,v,2093
w,v,d,p,2093
n,d,m,q,2093
n,ad,w,n,2093
vn,u,w,n,2093
ad,v,n,a,2093
w,n,w,n,2093
v,p,w,c,2093
n,w,p,n,2093
n,n,v,u,2093
w,n,v,n,2093
u,n,n,n,2093
a,w,a,w,2093
w,n,w,c,2093
a,w,a,n,2093
v,w,a,w,2093
f,v,w,n,2093
n,n,v,p,2093
n,a,c,a,2093
v,u,n,ad,2093
n,w,n,v,2093
v,n,Ng,v,2093
a,n,w,v,2093
v,vn,n,w,2093
n,f,u,w,2093
u,Ng,vn,u,2093
a,n,f,v,2093
w,n,v,w,2093
n,a,n,a,2093
p,n,c,v,2093
u,w,ad,v,2093
w,v,n,w,2093
n,n,n,w,2093
w,c,n,n,2093
n,w,v,n,2093
w,c,n,u,2093
c,v,u,Ng,2093
Ng,v,u,n,2093
c,a,n,w,2093
n,u,v,vn,2093
d,a,n,n,2093
u,n,v,u,2093
n,u,n,w,2093
d,d,u,n,2093
v,u,u,a,2093
v,r,v,v,2093
a,u,n,v,2093
v,w,r,n,2093
d,d,a,u,2093
n,n,u,n,2093
u,n,a,n,2093
r,n,v,d,2093
