@relation 1136794

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2152,2182}

@data
v,f,a,n,2152
u,n,v,y,2152
u,w,u,n,2152
n,k,n,v,2152
w,a,y,w,2152
n,v,y,w,2152
y,w,v,y,2152
r,v,a,n,2152
r,v,m,a,2152
p,a,k,v,2152
a,n,v,n,2152
v,y,r,v,2152
u,m,u,w,2152
a,n,n,v,2152
w,a,n,w,2152
t,r,u,m,2152
a,v,w,r,2152
a,u,a,u,2152
v,u,a,u,2152
w,r,d,a,2152
k,v,v,v,2152
r,v,a,w,2152
m,a,w,a,2152
v,p,n,k,2152
v,v,w,a,2152
u,n,r,v,2152
v,v,w,a,2152
y,w,v,d,2152
v,n,v,f,2152
f,w,n,u,2152
n,v,f,w,2152
v,y,a,v,2152
n,u,v,v,2152
n,w,v,p,2152
w,a,u,n,2152
a,u,w,r,2152
w,r,p,a,2152
p,v,w,n,2152
v,w,n,n,2152
v,v,a,w,2152
n,n,d,v,2152
v,w,v,v,2152
n,n,v,w,2152
w,d,v,n,2152
v,v,n,n,2152
n,d,w,d,2152
w,n,n,d,2152
d,v,d,v,2152
d,v,n,a,2152
v,t,n,u,2152
v,w,u,n,2152
m,n,n,w,2152
vn,n,u,vn,2152
u,vn,v,v,2152
w,d,v,n,2152
d,Ng,n,w,2152
w,vn,w,u,2152
d,v,t,m,2152
v,v,m,n,2152
n,u,w,d,2152
vn,d,v,t,2152
w,a,n,w,2152
n,w,Ng,v,2152
t,m,u,n,2152
u,n,vn,n,2152
w,u,d,v,2152
n,v,a,u,2152
n,w,vn,d,2152
n,w,n,w,2152
u,n,d,Ng,2152
