@relation 36214_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2212,2230,2238}

@data
u,n,w,d,2212
u,v,a,u,2212
u,a,v,nt,2212
v,w,u,n,2212
p,r,n,w,2212
f,v,v,w,2212
k,s,n,w,2212
n,v,v,v,2212
w,v,f,v,2212
v,v,n,n,2212
p,n,s,v,2212
w,nt,v,t,2212
nt,u,q,n,2212
d,p,k,s,2212
n,w,v,u,2212
q,n,p,r,2212
nt,d,t,u,2212
u,v,u,n,2212
n,p,u,n,2212
v,u,n,w,2212
t,w,d,v,2212
v,u,v,u,2212
n,w,n,f,2212
n,f,u,v,2212
r,u,w,n,2212
m,q,n,p,2212
v,u,w,a,2212
v,t,a,w,2212
w,a,n,n,2212
n,k,v,n,2212
u,m,n,n,2212
v,n,v,n,2212
u,n,n,v,2212
w,d,n,k,2212
a,u,n,w,2212
v,n,v,u,2212
n,n,r,u,2212
n,n,d,p,2212
s,v,w,v,2212
d,v,u,a,2212
v,nt,m,q,2212
n,w,n,w,2212
a,w,nt,u,2212
w,v,u,m,2212
n,w,p,n,2212
w,v,w,v,2212
t,u,w,v,2212
v,n,v,n,2212
w,n,u,v,2212
n,ns,m,q,2212
n,u,f,w,2212
n,v,d,p,2212
vn,n,n,f,2212
n,w,n,v,2212
n,n,n,n,2212
w,ad,v,m,2212
q,d,u,a,2212
w,d,m,q,2212
v,n,w,d,2212
w,n,v,n,2212
n,n,n,v,2212
c,v,n,v,2212
v,n,n,u,2212
v,n,v,n,2212
v,v,s,w,2212
n,v,vn,n,2212
v,w,p,m,2212
m,q,v,u,2212
ad,v,m,s,2212
v,m,w,c,2212
f,w,v,v,2212
q,n,w,n,2212
s,n,v,m,2212
n,v,v,w,2212
v,m,n,n,2212
d,p,q,d,2212
t,w,n,ns,2212
n,n,n,vn,2212
n,vn,u,n,2212
m,s,c,v,2212
m,q,n,w,2212
s,w,v,n,2212
n,f,ad,v,2212
w,c,n,n,2212
ns,v,q,n,2212
p,m,d,v,2212
w,s,ns,v,2212
u,n,w,ad,2212
d,v,a,w,2212
n,vn,w,v,2212
n,w,n,l,2212
a,c,n,n,2212
w,n,a,c,2212
c,a,v,n,2212
c,v,n,w,2212
v,n,n,w,2212
n,w,n,w,2212
vn,n,v,n,2212
n,b,p,v,2212
n,p,n,w,2212
d,v,vn,n,2212
d,d,n,vn,2212
w,v,l,w,2212
v,n,d,d,2212
n,l,n,c,2212
p,v,w,v,2212
v,n,w,n,2212
w,v,w,d,2212
v,n,v,n,2212
n,w,d,v,2212
l,w,c,a,2212
w,d,v,n,2212
n,c,c,v,2212
b,n,v,n,2212
v,w,v,i,2212
v,u,v,w,2212
n,v,v,v,2212
w,d,i,w,2212
r,d,n,w,2212
d,n,u,v,2212
w,r,v,n,2212
n,v,d,n,2212
w,d,v,u,2212
d,v,w,r,2212
u,v,w,v,2212
n,w,d,v,2212
vn,n,w,d,2212
d,v,d,v,2212
v,v,v,w,2212
v,n,r,d,2212
v,w,n,v,2212
w,r,v,w,2212
w,v,r,d,2212
v,w,d,v,2212
r,d,w,d,2212
v,w,w,r,2212
v,v,v,n,2212
n,w,v,v,2212
v,r,d,v,2212
w,d,v,vn,2212
d,v,w,v,2212
r,r,v,r,2212
d,v,n,v,2212
n,w,r,v,2212
v,n,n,w,2212
v,v,v,n,2212
v,vn,w,v,2212
a,n,d,v,2212
w,w,d,v,2212
n,w,a,n,2212
r,d,r,w,2212
r,v,r,d,2212
w,d,v,w,2212
w,v,n,w,2212
n,v,d,v,2212
w,v,n,w,2212
v,w,v,v,2212
v,n,v,r,2212
d,v,vn,vn,2212
w,d,v,v,2212
n,v,w,v,2212
n,w,d,d,2212
v,a,w,v,2212
v,v,vn,w,2212
d,d,v,n,2212
v,n,w,w,2212
w,v,n,w,2212
v,w,n,n,2212
v,a,w,d,2212
vn,vn,v,a,2212
w,v,v,r,2212
v,r,r,r,2212
vn,w,a,n,2212
n,n,w,d,2212
a,n,v,a,2212
q,n,r,d,2212
v,w,v,v,2212
q,v,w,n,2212
n,w,d,v,2212
v,v,n,v,2212
v,u,u,a,2212
u,i,u,n,2212
a,q,v,w,2212
r,d,u,i,2212
v,f,q,n,2212
u,a,v,v,2212
f,m,n,w,2212
w,r,v,u,2212
u,v,a,q,2212
n,v,m,q,2212
w,n,v,n,2212
n,v,n,v,2212
v,u,i,u,2212
v,v,v,f,2212
i,i,n,w,2212
d,v,i,i,2212
d,v,v,u,2212
m,q,w,r,2212
v,u,q,v,2212
v,n,f,m,2212
u,i,d,v,2212
w,d,d,v,2212
i,w,v,d,2212
n,w,n,d,2212
d,v,r,d,2212
v,v,n,w,2212
r,d,v,v,2212
p,n,n,n,2212
v,v,d,p,2212
v,r,p,n,2212
w,v,i,w,2212
w,s,d,v,2212
v,v,w,s,2212
d,v,u,n,2212
v,nr,n,y,2212
n,w,u,i,2212
v,n,s,n,2212
r,d,n,v,2212
v,n,w,v,2212
n,d,v,r,2212
s,n,v,v,2212
n,v,n,w,2212
nr,u,y,w,2212
v,u,w,d,2212
d,v,v,n,2212
d,p,v,n,2212
v,d,nr,u,2212
n,n,v,u,2212
d,v,v,nr,2212
ns,w,d,d,2212
n,u,w,v,2212
u,vn,v,u,2212
n,d,ns,v,2212
w,d,n,n,2212
d,v,r,v,2212
vn,w,u,z,2212
u,z,d,p,2212
d,d,w,r,2212
v,n,u,vn,2212
v,v,a,n,2212
u,a,c,n,2212
d,p,v,v,2212
w,n,d,v,2212
v,ns,n,d,2212
n,c,w,d,2212
n,w,v,n,2212
z,n,p,ns,2212
