@relation 36827

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2268,2298,2328,2340,2370}

@data
a,p,v,u,2268
n,a,v,v,2268
p,v,u,n,2268
c,n,p,v,2268
c,v,v,w,2268
v,p,m,n,2268
v,r,n,w,2268
v,v,v,r,2268
f,w,d,v,2268
r,d,v,v,2268
r,u,w,c,2268
m,n,w,r,2268
n,f,r,d,2268
n,w,v,c,2268
p,r,n,f,2268
v,v,u,n,2268
w,r,v,v,2268
w,c,c,v,2268
d,v,v,v,2268
v,v,r,u,2268
u,n,c,v,2268
r,m,f,w,2268
p,a,v,v,2268
d,u,r,w,2268
m,q,d,d,2268
a,n,v,s,2268
n,d,v,p,2268
n,v,s,w,2268
v,p,n,v,2268
w,d,v,r,2268
nr,p,v,p,2268
n,v,s,w,2268
d,d,p,a,2268
v,p,w,d,2268
p,n,p,s,2268
v,r,r,m,2268
r,m,n,d,2268
d,v,a,n,2268
q,n,d,v,2268
p,s,d,u,2268
u,v,w,r,2268
s,w,u,v,2268
r,w,m,q,2268
w,r,q,n,2268
m,a,n,w,2268
v,v,u,n,2268
r,q,w,r,2268
a,u,v,n,2268
q,n,r,d,2268
r,d,u,m,2268
d,v,m,a,2268
w,r,v,u,2268
v,n,n,w,2268
n,w,d,v,2268
u,m,u,n,2268
a,u,w,a,2268
n,w,u,v,2268
u,v,n,u,2268
u,n,a,u,2268
w,a,v,v,2268
v,u,a,u,2268
n,w,u,n,2268
n,n,a,u,2268
a,u,l,w,2268
v,n,w,a,2268
k,v,n,n,2268
v,v,n,w,2268
w,a,n,l,2268
w,n,u,v,2268
u,v,u,m,2268
n,u,q,a,2268
v,v,p,v,2268
u,p,w,n,2268
v,n,m,q,2268
w,r,v,v,2268
n,f,r,p,2268
f,w,p,v,2268
v,w,w,u,2268
n,w,v,n,2268
m,q,n,f,2268
p,v,v,u,2268
v,u,v,w,2268
v,v,u,p,2268
w,u,n,u,2268
u,m,a,n,2268
p,v,n,w,2268
q,a,f,w,2268
r,p,v,v,2268
d,v,vn,w,2268
d,v,a,u,2268
n,w,v,v,2268
w,d,v,p,2268
n,v,u,w,2268
v,v,w,d,2268
n,w,p,m,2268
v,n,c,p,2268
p,m,n,d,2268
p,n,u,vn,2268
b,u,w,d,2268
n,d,v,a,2268
c,p,a,n,2268
n,v,vn,n,2268
m,a,d,v,2268
v,a,n,w,2268
a,n,v,v,2268
u,n,d,v,2268
vn,n,a,u,2268
v,u,n,v,2268
v,a,w,b,2268
u,vn,v,a,2268
w,c,m,a,2268
w,v,w,c,2268
p,w,n,w,2268
v,v,u,n,2268
u,w,u,n,2268
w,d,v,vn,2268
d,v,w,v,2268
v,p,v,n,2268
vn,w,d,v,2268
w,b,n,w,2268
v,vn,d,d,2268
a,u,b,u,2268
d,d,p,w,2268
w,p,v,v,2268
b,n,w,p,2268
v,n,n,j,2268
p,n,v,n,2268
n,j,p,n,2268
n,b,j,w,2268
j,w,n,v,2268
n,w,v,ns,2268
v,w,v,n,2268
n,c,w,r,2268
w,r,u,n,2268
c,n,r,a,2268
r,v,u,n,2268
w,v,ns,j,2268
d,v,v,v,2268
v,v,j,u,2268
u,n,v,v,2268
j,u,c,n,2268
p,r,v,u,2268
n,vn,n,w,2268
v,ns,u,n,2268
v,v,n,ns,2268
d,u,r,v,2268
u,n,u,p,2268
v,v,vn,u,2268
a,u,d,u,2268
vn,u,w,v,2268
w,v,n,vn,2268
v,u,ns,w,2268
v,n,u,n,2268
ns,j,n,c,2268
r,a,n,d,2268
n,d,p,r,2268
u,p,v,v,2268
r,d,w,v,2268
n,w,a,u,2268
u,n,n,w,2268
v,u,n,f,2268
ns,u,d,v,2268
d,v,w,n,2268
u,b,v,ns,2268
v,v,n,n,2268
u,n,v,u,2268
b,n,ns,u,2268
v,v,u,n,2268
u,n,f,w,2268
n,v,n,w,2268
r,d,u,n,2268
v,ns,n,d,2268
d,ns,n,n,2268
m,w,v,v,2268
n,d,m,w,2268
n,v,u,n,2268
n,n,w,r,2268
w,r,ns,u,2268
n,v,v,u,2268
n,f,r,d,2268
n,n,u,n,2268
u,n,v,m,2268
w,n,v,v,2268
ns,u,n,v,2268
v,m,n,v,2268
f,w,d,ns,2268
c,n,d,v,2268
v,u,n,n,2268
w,n,w,f,2268
d,v,u,w,2268
n,n,f,w,2268
nr,d,v,u,2268
n,nr,v,v,2268
u,w,n,w,2268
v,v,w,n,2268
v,v,w,v,2268
w,p,m,q,2268
nr,n,r,v,2268
w,v,nr,n,2268
p,v,q,r,2268
r,v,ns,w,2268
w,v,m,q,2268
v,m,r,t,2268
v,ns,v,u,2268
v,u,n,p,2268
u,nr,p,r,2268
u,m,n,w,2268
p,r,v,ns,2268
u,v,w,p,2268
d,u,v,w,2268
v,w,v,m,2268
n,p,v,v,2268
v,u,q,n,2268
ns,w,u,m,2268
q,r,w,v,2268
r,t,v,u,2268
t,w,u,nr,2268
nr,d,v,v,2268
v,v,p,v,2268
m,q,t,w,2268
n,p,v,v,2268
w,m,p,n,2268
v,v,ns,m,2268
ns,m,n,w,2268
v,u,m,q,2268
p,n,v,u,2268
n,v,u,ns,2268
u,ns,q,n,2268
m,n,n,v,2268
w,v,n,w,2268
n,v,d,v,2268
d,v,p,v,2268
v,w,v,v,2268
vn,Ng,w,v,2268
w,w,nz,n,2268
