@relation 36947

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2390,2416,2423}

@data
n,p,nt,v,2390
nr,nr,w,r,2390
p,v,v,u,2390
Ng,w,v,r,2390
nr,Ng,r,v,2390
r,v,m,q,2390
n,v,nr,Ng,2390
v,r,q,n,2390
nt,v,n,v,2390
v,nr,Ng,w,2390
r,m,n,w,2390
u,n,nr,nr,2390
w,r,r,m,2390
n,n,v,nt,2390
v,nt,u,n,2390
v,u,v,nr,2390
v,an,v,a,2390
w,v,u,n,2390
r,v,w,v,2390
an,w,a,u,2390
d,d,v,u,2390
w,d,v,v,2390
v,w,d,d,2390
w,w,d,v,2390
d,v,u,n,2390
v,v,n,w,2390
a,u,u,n,2390
n,n,vn,vn,2390
vn,vn,v,a,2390
w,v,n,n,2390
v,vn,vn,d,2390
n,n,v,vn,2390
vn,vn,d,v,2390
vn,d,a,u,2390
n,v,vn,vn,2390
d,v,u,v,2390
u,v,n,w,2390
v,a,v,u,2390
v,n,n,v,2390
w,d,m,a,2390
a,u,w,d,2390
n,w,v,m,2390
n,u,u,n,2390
u,a,n,w,2390
d,v,a,u,2390
u,n,d,v,2390
m,a,vn,w,2390
v,m,u,vn,2390
nr,u,u,n,2390
a,c,w,u,2390
d,i,w,w,2390
u,n,Vg,n,2390
r,p,w,n,2390
v,u,r,p,2390
Vg,n,n,w,2390
n,w,Ng,w,2390
n,n,c,v,2390
u,n,n,Ng,2390
w,w,v,Ag,2390
n,w,p,n,2390
v,u,w,Vg,2390
c,v,v,u,2390
m,w,i,d,2390
v,u,u,n,2390
w,c,u,n,2390
w,n,n,v,2390
v,u,w,n,2390
c,i,u,n,2390
n,vn,u,r,2390
v,u,w,d,2390
v,a,i,w,2390
v,u,w,c,2390
n,w,ad,v,2390
r,r,n,w,2390
w,d,d,i,2390
w,c,u,v,2390
i,d,w,w,2390
a,n,Ng,u,2390
n,w,u,n,2390
w,Dg,Ag,v,2390
p,n,n,p,2390
ad,v,r,r,2390
w,n,w,a,2390
u,m,d,i,2390
u,n,c,v,2390
w,w,Dg,v,2390
v,Ag,a,c,2390
u,n,w,c,2390
n,w,v,u,2390
w,v,n,w,2390
v,u,u,n,2390
c,ad,u,r,2390
p,n,u,l,2390
u,n,v,u,2390
i,w,n,n,2390
n,u,w,v,2390
u,l,n,n,2390
u,v,n,w,2390
n,Ng,a,n,2390
n,w,v,u,2390
c,v,n,w,2390
w,c,v,u,2390
Ng,w,n,vn,2390
w,a,vn,Ng,2390
l,u,n,w,2390
n,v,l,u,2390
i,w,w,Dg,2390
Ag,v,c,i,2390
vn,Ng,r,n,2390
n,w,n,u,2390
u,n,w,c,2390
w,u,n,w,2390
Dg,v,v,a,2390
Ng,u,n,w,2390
u,r,p,n,2390
w,Vg,u,n,2390
n,n,c,ad,2390
d,i,i,w,2390
n,p,v,u,2390
nt,u,u,n,2390
v,a,n,w,2390
r,u,u,n,2390
u,n,v,a,2390
v,u,c,t,2390
n,u,t,v,2390
m,b,u,n,2390
u,a,t,v,2390
a,n,v,r,2390
t,v,a,c,2390
t,v,a,n,2390
s,m,n,u,2390
c,t,u,a,2390
u,a,w,v,2390
v,u,m,b,2390
n,w,r,u,2390
a,c,v,u,2390
u,v,n,w,2390
n,w,a,u,2390
u,n,v,u,2390
v,u,n,w,2390
v,r,v,u,2390
w,v,u,n,2390
w,v,u,v,2390
v,u,w,v,2390
b,n,n,t,2390
u,s,b,n,2390
n,t,u,a,2390
v,nt,Vg,a,2390
u,Vg,u,n,2390
w,v,u,Vg,2390
n,w,nt,u,2390
Vg,a,n,w,2390
p,n,n,w,2390
nt,u,a,u,2390
a,v,w,p,2390
n,v,w,v,2390
v,n,p,n,2390
v,n,v,nt,2390
p,a,n,w,2390
w,p,v,n,2390
n,w,n,v,2390
n,w,p,n,2390
v,u,w,v,2390
n,u,n,w,2390
nr,nr,v,u,2390
a,a,v,nr,2390
n,v,u,a,2390
v,nr,u,v,2390
v,n,a,n,2390
p,n,n,u,2390
nr,u,u,n,2390
u,n,v,p,2390
v,p,v,n,2390
w,v,n,v,2390
u,v,n,w,2390
w,v,nr,u,2390
a,w,nr,nr,2390
u,v,w,v,2390
n,v,w,u,2390
p,n,n,w,2390
v,n,u,n,2390
n,u,u,w,2390
nr,nr,u,v,2390
v,p,v,n,2390
u,w,n,v,2390
ns,r,u,n,2390
nr,n,v,u,2390
w,u,w,c,2390
r,i,n,w,2390
v,u,v,n,2390
c,v,ns,r,2390
w,c,p,ns,2390
u,n,c,v,2390
p,ns,i,u,2390
n,v,n,v,2390
n,w,n,w,2390
w,v,v,p,2390
v,nr,n,u,2390
v,n,p,n,2390
v,p,r,i,2390
n,w,v,p,2390
v,a,n,w,2390
d,v,u,n,2390
c,v,w,v,2390
n,w,a,n,2390
v,u,w,n,2390
u,n,n,v,2390
v,c,n,w,2390
n,w,v,a,2390
n,v,vn,n,2390
n,v,v,n,2390
vn,n,c,v,2390
v,a,n,v,2390
a,vn,v,c,2390
w,v,n,w,2390
w,n,a,vn,2390
v,n,v,a,2390
v,v,v,w,2390
v,w,v,v,2390
p,n,v,v,2390
v,r,a,n,2390
v,w,r,d,2390
n,d,u,n,2390
r,d,n,v,2390
d,v,v,r,2390
a,u,c,n,2390
v,v,n,w,2390
d,v,d,v,2390
u,p,v,v,2390
v,u,w,d,2390
c,n,u,p,2390
vn,n,a,u,2390
u,n,n,a,2390
d,v,v,v,2390
u,n,d,v,2390
v,v,v,w,2390
v,v,u,n,2390
d,v,d,v,2390
d,a,n,c,2390
w,v,d,a,2390
v,v,w,d,2390
a,u,n,v,2390
a,n,vn,n,2390
v,v,d,v,2390
w,m,n,d,2390
v,d,w,v,2390
n,a,p,n,2390
w,d,p,d,2390
n,v,n,w,2390
d,a,v,vn,2390
v,v,v,v,2390
n,w,v,p,2390
n,v,v,u,2390
n,c,a,u,2390
m,vn,d,a,2390
p,d,v,v,2390
v,p,v,v,2390
w,d,v,d,2390
u,v,n,w,2390
n,w,v,t,2390
w,v,v,r,2390
d,v,n,u,2390
v,r,n,n,2390
r,u,n,w,2390
v,nr,r,u,2390
w,d,t,n,2390
t,n,v,u,2390
v,t,u,v,2390
nr,v,u,n,2390
n,u,u,n,2390
n,n,d,v,2390
u,n,w,d,2390
u,v,n,w,2390
v,r,v,w,2390
r,v,w,v,2390
w,v,n,w,2390
f,vn,n,u,2390
n,w,f,vn,2390
n,u,u,n,2390
vn,v,u,v,2390
v,n,v,u,2390
v,w,n,n,2390
w,v,vn,v,2390
v,f,v,n,2390
n,n,v,f,2390
v,v,v,n,2390
w,v,n,w,2390
v,u,w,v,2390
v,n,w,v,2390
n,w,u,n,2390
u,n,v,u,2390
v,u,v,w,2390
v,v,w,v,2390
w,n,v,v,2390
u,w,w,u,2390
v,w,n,w,2390
v,v,u,w,2390
n,v,v,u,2390
w,v,u,n,2390
f,w,n,n,2390
vn,u,nr,p,2390
nr,nr,n,v,2390
n,a,d,d,2390
v,v,u,n,2390
d,v,vn,u,2390
a,d,d,v,2390
nr,p,v,v,2390
v,n,a,d,2390
p,n,v,v,2390
v,v,u,nr,2390
n,n,d,d,2390
d,d,v,v,2390
v,v,n,w,2390
v,vn,nr,nr,2390
d,d,v,vn,2390
u,nr,p,n,2390
w,v,n,a,2390
n,v,v,u,2390
v,n,v,n,2390
c,p,v,n,2390
w,p,v,v,2390
r,v,n,w,2390
v,n,c,v,2390
f,u,u,Ng,2390
Ng,w,p,a,2390
u,a,Ng,w,2390
a,v,w,c,2390
w,c,Ag,c,2390
n,u,n,w,2390
u,w,w,w,2390
c,v,c,v,2390
a,u,w,c,2390
v,Ng,p,r,2390
n,w,n,u,2390
w,c,a,v,2390
v,Ag,v,Ng,2390
w,v,u,w,2390
n,f,a,u,2390
u,Ng,c,p,2390
v,n,w,n,2390
Ng,w,r,v,2390
p,r,v,n,2390
v,v,w,v,2390
p,a,n,w,2390
c,v,w,p,2390
n,w,v,Ag,2390
Ag,c,Ng,w,2390
v,v,n,u,2416
v,n,u,n,2416
n,n,n,w,2416
vn,n,v,n,2416
d,v,w,vn,2416
w,vn,d,v,2416
v,n,v,n,2416
n,v,n,n,2416
f,d,n,w,2416
v,n,vn,n,2416
d,v,v,v,2416
n,d,n,v,2416
n,w,n,d,2416
n,v,v,w,2416
v,w,n,d,2416
p,d,v,d,2416
v,n,w,v,2416
p,p,u,v,2416
d,d,d,v,2416
v,v,ad,v,2416
w,w,w,v,2416
d,v,v,w,2416
p,n,v,v,2416
v,n,v,w,2416
v,d,w,v,2416
ad,v,d,d,2416
u,v,n,w,2416
w,ad,p,d,2416
v,n,ad,v,2416
v,u,v,b,2416
v,v,n,v,2416
p,p,v,v,2416
v,b,w,w,2416
w,p,n,v,2416
ad,v,p,p,2416
n,n,v,n,2416
d,v,v,v,2416
p,n,v,u,2416
w,v,v,n,2416
n,w,n,w,2416
n,w,p,n,2416
v,w,p,n,2416
v,n,p,p,2416
v,w,v,w,2416
n,v,u,n,2416
u,n,b,v,2416
w,p,n,u,2416
v,n,v,w,2416
v,v,w,ad,2416
w,v,n,ad,2416
n,u,v,n,2416
v,w,v,n,2416
w,v,d,v,2416
v,p,d,v,2416
w,v,w,p,2416
n,ad,w,p,2416
n,w,v,p,2416
b,v,w,v,2416
v,v,n,n,2416
w,v,a,n,2416
an,w,v,v,2416
v,v,n,m,2416
n,m,w,v,2416
a,n,m,q,2416
v,a,m,m,2416
q,w,v,a,2416
