@relation 1208152

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2448,2468}

@data
n,f,z,u,2448
m,q,d,v,2448
v,p,u,m,2448
n,z,n,w,2448
p,v,m,m,2448
d,v,u,v,2448
v,r,f,n,2448
n,v,r,w,2448
u,r,nr,n,2448
v,u,m,q,2448
p,n,u,r,2448
u,m,q,n,2448
r,n,n,z,2448
w,m,d,v,2448
m,m,n,d,2448
nr,n,v,p,2448
v,w,n,d,2448
v,u,w,nr,2448
n,d,v,u,2448
v,u,r,n,2448
m,n,v,v,2448
f,n,u,n,2448
v,v,v,r,2448
n,d,w,m,2448
d,v,m,n,2448
d,v,v,u,2448
w,nr,d,v,2448
r,w,n,d,2448
n,d,p,v,2448
u,v,n,f,2448
q,n,v,w,2448
u,n,w,i,2448
i,u,v,v,2448
l,u,n,w,2448
w,v,v,m,2448
v,f,v,n,2448
v,u,i,w,2448
w,a,u,n,2448
n,n,i,u,2448
u,n,w,v,2448
v,c,w,l,2448
l,v,f,w,2448
i,w,p,a,2448
v,v,w,v,2448
a,a,n,v,2448
w,v,a,n,2448
p,a,f,w,2448
u,n,c,v,2448
n,f,a,a,2448
c,v,l,u,2448
f,w,a,u,2448
u,l,v,f,2448
n,i,v,p,2448
w,l,n,n,2448
w,i,l,v,2448
n,v,q,n,2448
a,n,w,a,2448
v,p,n,f,2448
v,m,n,w,2448
f,w,n,v,2448
a,u,v,c,2448
v,n,m,q,2448
n,w,u,l,2448
n,v,v,w,2448
v,w,u,n,2448
w,d,w,nz,2448
m,q,l,u,2448
q,n,v,y,2448
d,w,w,d,2448
l,u,w,d,2448
n,w,m,q,2448
w,r,p,m,2448
v,w,v,w,2448
d,v,n,w,2448
w,r,q,d,2448
m,n,m,q,2448
d,d,v,w,2448
q,v,v,u,2448
n,d,y,w,2448
v,m,v,d,2448
v,d,u,n,2448
n,p,q,n,2448
n,v,q,v,2448
q,d,u,v,2448
p,m,n,d,2448
w,v,d,d,2448
v,u,w,r,2448
w,d,v,v,2448
v,w,n,v,2448
v,w,d,v,2448
w,nz,r,n,2448
d,v,nz,w,2448
m,q,d,v,2448
r,n,m,q,2448
v,v,m,n,2448
u,v,d,v,2448
nz,w,n,p,2448
v,w,w,r,2448
w,m,v,m,2448
m,q,d,v,2448
d,v,w,m,2448
d,l,v,w,2448
u,n,r,m,2448
r,m,d,l,2448
n,d,d,d,2448
v,a,n,w,2448
Tg,v,v,w,2448
w,n,a,d,2448
nr,n,v,n,2448
n,d,n,w,2448
d,v,w,v,2448
w,v,Tg,v,2448
v,Tg,w,d,2448
n,v,n,w,2448
v,n,v,a,2448
u,n,m,n,2448
w,nr,n,v,2448
u,n,a,u,2448
n,w,u,n,2448
w,m,d,v,2448
d,v,v,b,2448
a,d,v,n,2448
d,l,n,d,2448
l,w,d,a,2448
d,d,n,v,2448
n,w,n,d,2448
v,w,l,w,2448
v,r,v,Tg,2448
a,u,w,a,2448
v,w,n,n,2448
d,a,d,v,2448
Tg,v,d,l,2448
n,v,ad,v,2448
r,Tg,Tg,v,2448
a,u,w,m,2448
v,n,b,n,2448
w,d,w,n,2448
n,w,r,Tg,2448
w,a,n,w,2448
n,ad,a,u,2448
ad,v,u,n,2448
v,n,v,r,2448
n,n,n,ad,2448
m,n,v,n,2448
r,u,d,v,2448
r,n,u,n,2448
n,u,v,m,2448
u,n,m,w,2448
n,v,r,n,2448
m,w,nr,d,2448
nr,nr,d,v,2448
n,f,v,vn,2448
r,c,n,f,2448
v,v,Ng,w,2448
p,r,n,v,2448
n,v,p,n,2448
n,n,n,v,2448
nt,d,p,r,2448
p,n,v,v,2448
v,c,c,p,2448
d,d,c,r,2448
v,r,n,v,2448
w,v,u,nt,2448
v,p,v,m,2448
u,nt,v,p,2448
m,r,n,u,2448
d,v,r,u,2448
f,v,vn,Ng,2448
v,m,n,n,2448
r,n,v,v,2448
v,v,n,v,2448
Ng,w,r,u,2448
n,v,w,nr,2448
n,n,v,p,2448
r,u,v,w,2448
c,r,p,n,2448
v,m,nr,nr,2448
w,nr,d,d,2448
v,vn,w,v,2448
v,p,u,n,2448
d,v,r,c,2448
nr,d,v,c,2448
vn,Ng,v,r,2448
c,p,f,v,2448
p,n,m,r,2448
v,r,nt,d,2448
v,u,m,q,2448
r,v,r,m,2448
f,n,r,v,2448
u,r,q,n,2448
r,m,n,w,2448
n,w,v,u,2448
w,r,u,r,2448
vn,n,m,n,2448
n,u,n,w,2448
u,n,c,v,2448
v,v,d,a,2448
p,m,b,u,2448
v,m,v,v,2448
v,v,w,v,2448
n,v,m,d,2448
w,d,p,m,2448
m,d,u,n,2448
u,n,a,w,2448
d,p,q,b,2448
v,v,a,w,2448
a,w,d,v,2448
v,d,n,w,2448
m,n,v,m,2448
w,c,v,v,2448
a,u,w,c,2448
