@relation 1208879

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2496,2511,2516}

@data
m,q,v,ns,2496
v,m,n,v,2496
ns,w,m,q,2496
nz,f,v,w,2496
n,v,v,ns,2496
i,p,f,d,2496
v,ns,ns,w,2496
q,i,nz,f,2496
ns,v,w,ns,2496
m,q,p,nz,2496
p,nz,d,v,2496
q,n,ns,v,2496
w,ns,q,i,2496
ns,m,i,p,2496
v,ns,ns,m,2496
u,t,w,t,2496
i,u,a,w,2496
a,w,u,t,2496
t,l,n,v,2496
w,p,i,u,2496
p,t,u,t,2496
t,u,l,w,2496
ns,v,n,w,2496
f,w,t,i,2496
w,n,ns,v,2496
v,ns,u,n,2496
u,t,w,n,2496
w,t,t,l,2496
n,v,v,u,2496
l,w,v,ns,2496
t,i,t,a,2496
t,a,t,u,2496
vn,n,m,q,2496
m,q,w,p,2496
u,n,v,r,2496
w,p,s,u,2496
u,vn,v,m,2496
q,n,p,ns,2496
ns,f,w,p,2496
f,v,p,ns,2496
n,v,w,i,2496
v,m,n,w,2496
r,w,u,vn,2496
p,ns,v,w,2496
i,u,n,v,2496
n,w,ns,f,2496
p,ns,u,n,2496
w,i,vn,n,2496
s,u,v,w,2496
n,n,r,w,2496
w,p,f,v,2496
ns,s,n,v,2496
n,v,q,n,2496
v,r,i,u,2496
l,u,n,v,2496
v,w,ns,s,2496
r,m,d,v,2496
m,q,t,v,2496
v,t,ns,vn,2496
n,p,n,i,2496
w,r,v,a,2496
m,vn,v,n,2496
r,v,m,vn,2496
d,v,m,q,2496
vn,n,w,v,2496
v,r,vn,d,2496
r,d,a,m,2496
v,a,q,v,2496
ns,n,vn,n,2496
p,vn,i,w,2496
v,n,v,u,2496
m,q,u,n,2496
w,v,a,u,2496
n,a,t,w,2496
vn,d,n,w,2496
q,v,v,ns,2496
n,w,u,ns,2496
u,n,n,v,2496
i,w,n,a,2496
vn,w,v,r,2496
d,v,w,v,2496
i,u,p,n,2496
v,w,d,v,2496
v,u,n,p,2496
v,ns,w,r,2496
n,v,r,d,2496
a,m,v,t,2496
v,n,u,t,2496
w,v,ns,n,2496
n,p,v,w,2496
q,i,n,p,2496
n,i,v,n,2496
p,n,w,r,2496
t,v,vn,w,2496
ns,vn,r,v,2496
u,ns,p,vn,2496
w,r,r,m,2496
n,n,m,q,2496
n,v,q,w,2496
w,a,q,w,2496
n,w,a,m,2496
v,ns,n,w,2496
n,a,q,w,2496
m,q,a,m,2496
w,n,v,m,2496
n,n,n,a,2496
w,n,m,q,2496
a,m,w,a,2496
u,n,ns,n,2496
m,q,n,n,2496
a,m,w,n,2496
q,w,n,v,2496
q,w,m,q,2496
ns,n,w,n,2496
n,v,n,n,2496
n,n,n,v,2496
ns,w,v,n,2496
n,w,v,ns,2496
v,ns,d,v,2496
ns,ns,f,v,2496
v,p,ns,w,2496
r,vn,b,n,2496
d,v,ns,ns,2496
t,ns,v,r,2496
w,n,ns,w,2496
n,v,w,d,2496
p,ns,w,f,2496
vn,u,n,w,2496
f,v,n,w,2496
ns,v,vn,u,2496
ns,ns,r,vn,2496
w,f,n,n,2496
w,d,t,ns,2496
v,r,u,b,2496
v,n,w,n,2496
ns,w,v,t,2496
v,t,ns,v,2496
c,Vg,n,u,2496
m,q,Vg,a,2496
v,w,m,q,2496
n,v,v,p,2496
n,w,Vg,v,2496
v,n,v,m,2496
u,v,q,Ng,2496
v,m,n,w,2496
u,a,n,w,2496
Vg,v,u,v,2496
v,m,Ng,Vg,2496
n,v,n,n,2496
a,ns,a,n,2496
v,p,n,f,2496
v,n,p,n,2496
r,v,v,n,2496
n,v,c,v,2496
n,u,m,q,2496
c,v,v,m,2496
w,r,n,v,2496
v,n,v,w,2496
ns,u,n,n,2496
Vg,a,u,a,2496
n,c,w,v,2496
p,n,f,w,2496
w,c,v,n,2496
n,n,r,v,2496
a,n,w,r,2496
m,q,w,c,2496
q,Ng,a,ns,2496
Ng,Vg,ns,u,2496
n,w,v,n,2496
ns,n,n,c,2496
v,n,n,v,2496
w,v,q,n,2496
q,n,c,Vg,2496
s,d,u,v,2496
u,v,w,v,2496
v,w,a,c,2496
u,w,v,p,2496
v,d,w,v,2496
v,v,v,w,2496
w,v,v,w,2496
q,n,v,d,2496
d,v,v,a,2496
f,u,m,q,2496
a,u,c,v,2496
v,p,d,v,2496
a,w,n,v,2496
v,a,v,n,2496
v,a,a,u,2496
p,s,v,u,2496
v,u,a,w,2496
ns,f,r,m,2496
r,m,n,v,2496
a,c,u,w,2496
w,c,p,s,2496
m,q,v,v,2496
c,v,s,d,2496
n,v,d,v,2496
w,v,c,a,2496
u,r,q,n,2496
c,a,w,c,2496
d,v,v,a,2496
v,u,u,n,2496
p,nt,u,v,2496
u,m,vn,n,2496
v,n,n,r,2496
w,v,c,n,2496
t,t,n,vn,2496
vn,vn,p,i,2496
t,ns,vn,vn,2496
t,w,n,c,2496
