@relation 1211598

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2546,2570,2580}

@data
p,t,vn,b,2546
n,vn,f,v,2546
n,v,w,vn,2546
n,vn,v,n,2546
b,n,vn,n,2546
v,p,n,vn,2546
w,v,t,n,2546
v,w,w,n,2546
w,vn,a,n,2546
v,n,v,vn,2546
w,v,n,v,2546
w,n,v,v,2546
v,v,n,vn,2546
v,v,v,p,2546
n,v,v,w,2546
vn,n,v,v,2546
n,w,v,v,2546
t,n,b,n,2546
vn,w,u,a,2546
v,w,p,t,2546
w,n,n,v,2546
vn,w,n,n,2546
v,vn,vn,w,2546
r,v,vn,n,2546
w,r,v,vn,2546
v,v,w,v,2546
n,f,v,u,2546
f,v,u,w,2546
vn,u,n,w,2546
n,vn,n,n,2546
v,u,r,v,2546
n,n,vn,w,2546
n,n,n,f,2546
u,w,v,v,2546
vn,b,n,vn,2546
v,v,w,r,2546
v,vn,vn,u,2546
vn,n,w,v,2546
n,ns,vn,n,2546
n,vn,u,n,2546
w,c,Ng,v,2546
n,d,f,q,2546
n,n,c,r,2546
c,r,v,n,2546
q,n,n,vn,2546
n,u,n,w,2546
d,v,q,n,2546
Ng,v,m,n,2546
v,f,n,ns,2546
vn,n,n,n,2546
r,Ng,n,m,2546
u,n,w,c,2546
f,q,ns,n,2546
v,n,n,u,2546
ns,n,n,u,2546
m,n,vn,w,2546
vn,n,v,f,2546
n,w,r,Ng,2546
n,m,u,vn,2546
vn,n,vn,vn,2546
vn,vn,a,w,2546
v,vn,w,c,2546
c,vn,v,vn,2546
v,vn,d,a,2546
vn,w,v,vn,2546
n,c,n,v,2546
d,v,vn,w,2546
vn,vn,c,v,2546
vn,d,w,a,2546
w,a,d,v,2546
a,w,u,d,2546
w,vn,u,w,2546
u,d,vn,vn,2546
d,a,a,u,2546
c,v,w,vn,2546
vn,w,n,u,2546
n,v,vn,d,2546
v,vn,vn,n,2546
a,u,v,vn,2546
w,c,vn,w,2546
v,m,w,b,2546
b,n,ad,v,2546
n,w,h,vn,2546
w,a,n,n,2546
v,ad,vn,n,2546
m,n,b,n,2546
h,vn,c,n,2546
w,v,vn,n,2546
v,h,n,c,2546
v,vn,w,v,2546
n,v,n,w,2546
w,b,v,ad,2546
n,c,d,v,2546
vn,n,n,d,2546
t,w,n,n,2546
n,n,v,m,2546
c,n,v,n,2546
a,n,n,n,2546
n,n,m,n,2546
n,d,n,w,2546
n,n,n,v,2546
n,w,n,v,2546
n,v,v,vn,2546
vn,n,v,h,2546
ad,v,n,w,2546
m,n,vn,l,2546
n,w,u,m,2546
n,m,f,n,2546
n,n,w,v,2546
n,f,v,u,2546
n,n,v,n,2546
l,n,v,u,2546
u,n,f,w,2546
n,m,v,u,2546
q,n,n,m,2546
m,q,m,n,2546
m,m,u,vn,2546
n,w,m,q,2546
m,m,n,w,2546
m,d,u,n,2546
n,u,m,d,2546
n,v,n,u,2546
u,vn,n,w,2546
w,v,m,q,2546
f,w,u,m,2546
m,q,n,u,2546
q,f,u,n,2546
v,n,n,n,2546
u,m,m,m,2546
w,n,q,f,2546
v,u,q,m,2546
n,u,l,n,2546
v,u,m,q,2546
u,m,q,n,2546
vn,l,w,v,2546
w,v,m,m,2546
n,u,n,f,2546
u,n,d,v,2546
m,q,w,n,2546
v,v,u,n,2546
f,n,n,m,2546
q,m,n,u,2546
d,v,n,w,2546
u,n,f,w,2546
f,w,p,j,2546
f,w,v,l,2546
v,r,f,w,2546
v,u,u,n,2546
d,v,u,m,2546
r,p,u,n,2546
q,f,r,p,2546
j,u,n,f,2546
r,u,w,d,2546
p,j,n,n,2546
u,m,a,u,2546
w,r,j,u,2546
v,l,v,u,2546
w,d,l,w,2546
u,n,d,v,2546
w,d,v,u,2546
n,f,d,v,2546
v,v,m,q,2546
m,q,u,n,2546
u,r,n,w,2546
n,n,w,d,2546
v,u,q,a,2546
q,a,n,w,2546
w,v,r,u,2546
r,q,w,r,2546
d,v,w,v,2546
n,w,v,v,2546
l,w,u,r,2546
u,d,m,q,2546
r,d,y,w,2546
n,f,u,d,2546
a,n,w,d,2546
c,d,d,l,2546
c,b,n,i,2546
d,v,q,w,2546
v,m,w,c,2546
w,c,r,d,2546
m,q,c,d,2546
d,r,l,y,2546
l,u,w,c,2546
n,n,v,u,2546
w,c,a,n,2546
u,Ng,c,b,2546
n,i,d,v,2546
v,p,n,f,2546
Ng,w,b,a,2546
f,v,d,v,2546
p,n,f,v,2546
v,u,v,m,2546
q,w,d,r,2546
i,w,v,p,2546
w,d,p,n,2546
b,a,i,w,2546
d,v,n,n,2546
p,v,n,n,2546
n,w,v,n,2546
n,n,m,n,2546
w,n,n,m,2546
w,m,n,n,2546
v,u,p,v,2546
q,n,m,q,2546
u,m,n,w,2546
n,n,d,v,2546
q,n,n,w,2546
w,j,n,w,2546
m,q,n,n,2546
d,v,n,w,2546
r,v,w,p,2546
n,n,vn,u,2546
w,v,u,m,2546
v,v,m,q,2546
v,n,n,n,2546
v,n,w,j,2546
vn,u,n,w,2546
