@relation 1223331_predicted

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2589,2618}

@data
nz,n,n,n,2589
n,nz,v,n,2589
n,v,n,v,2589
v,n,v,n,2589
w,b,n,v,2589
b,vn,v,w,2589
v,f,i,u,2589
w,p,u,m,2589
v,nz,m,q,2589
q,b,c,m,2589
t,a,p,v,2589
p,v,m,q,2589
m,q,n,m,2589
d,p,n,v,2589
w,n,nr,p,2589
n,m,w,n,2589
v,w,n,nr,2589
n,nr,p,d,2589
v,w,nr,nr,2589
q,n,m,v,2589
nr,nr,d,v,2589
vn,n,m,v,2589
q,w,m,q,2589
v,w,t,t,2589
Ng,ns,n,n,2589
v,w,v,nz,2589
m,q,n,c,2589
w,t,b,vn,2589
n,nr,p,v,2589
i,u,f,d,2589
w,c,nz,n,2589
f,d,n,n,2589
n,n,w,p,2589
t,w,vn,n,2589
u,p,n,u,2589
ns,ns,n,v,2589
m,v,c,v,2589
n,c,q,n,2589
p,v,p,i,2589
p,t,t,a,2589
p,i,n,f,2589
nr,nr,v,f,2589
u,n,d,p,2589
n,u,t,w,2589
w,vn,nr,nr,2589
nr,p,f,p,2589
n,v,p,v,2589
d,m,w,c,2589
vn,n,w,vn,2589
v,ad,w,p,2589
m,q,d,m,2589
w,n,q,w,2589
p,n,v,w,2589
p,v,u,w,2589
vn,n,nr,p,2589
ad,v,p,t,2589
n,f,p,n,2589
t,t,u,p,2589
n,v,v,w,2589
w,vn,v,m,2589
c,v,n,m,2589
t,t,a,u,2589
f,p,u,n,2589
u,m,b,n,2589
v,u,q,b,2589
p,d,w,n,2589
v,n,w,t,2589
d,v,n,nr,2589
ns,n,v,ad,2589
v,w,v,u,2589
n,m,w,vn,2589
m,q,vn,n,2589
u,w,w,b,2589
n,n,ad,v,2589
c,m,n,d,2589
b,n,m,q,2589
nr,p,v,w,2589
q,w,n,v,2589
n,v,vn,n,2589
n,v,v,w,2589
nz,n,q,w,2589
w,p,t,t,2589
a,u,v,n,2589
n,d,v,w,2589
d,v,r,v,2589
w,w,n,n,2589
v,u,vn,w,2589
v,n,w,n,2589
ns,c,v,u,2589
u,r,n,u,2589
v,t,n,w,2589
w,n,w,a,2589
a,n,vn,n,2589
r,v,u,n,2589
a,n,ns,c,2589
w,vn,w,vn,2589
m,a,w,w,2589
r,v,p,ns,2589
v,u,v,n,2589
nt,v,n,vn,2589
n,p,v,m,2589
n,w,n,w,2589
n,w,n,w,2589
w,m,n,w,2589
w,d,u,r,2589
vn,n,vn,n,2589
ns,n,d,v,2589
n,w,n,w,2589
n,u,Ng,f,2589
Ng,f,v,n,2589
v,n,n,Ng,2589
vn,n,an,n,2589
n,w,v,n,2589
ns,v,a,n,2589
n,w,c,nt,2589
f,r,n,p,2589
u,n,w,m,2589
vn,w,a,n,2589
w,a,w,vn,2589
n,w,v,u,2589
n,Ng,r,v,2589
u,n,f,r,2589
p,ns,m,a,2589
t,ns,w,d,2589
w,vn,w,an,2589
v,m,n,w,2589
n,w,n,w,2589
n,vn,m,a,2589
m,a,w,ns,2589
v,n,ns,v,2589
n,n,a,n,2589
w,ns,nt,v,2589
a,n,w,v,2589
w,v,n,w,2589
n,w,n,w,2589
n,n,n,n,2589
c,nt,u,n,2589
v,u,n,n,2589
v,ns,a,n,2589
n,vn,u,i,2589
t,r,n,u,2589
u,t,v,n,2589
ns,u,n,w,2589
v,v,a,n,2589
u,n,w,c,2589
n,w,v,u,2589
u,vn,w,d,2589
c,v,ns,n,2589
w,c,u,ns,2589
u,ns,vn,n,2589
v,u,u,vn,2589
ns,n,f,v,2589
vn,n,d,v,2589
d,v,t,r,2589
w,d,u,t,2589
f,v,vn,n,2589
n,u,vn,w,2589
vn,n,i,w,2589
n,v,ns,u,2589
w,v,u,a,2589
ns,u,n,w,2589
vn,w,ns,u,2589
v,u,r,v,2589
vn,n,vn,vn,2589
a,n,v,v,2589
n,f,n,vn,2589
u,a,v,u,2589
a,n,u,ns,2589
u,vn,w,v,2589
u,a,w,v,2589
w,v,u,a,2589
n,u,n,w,2589
u,ns,n,f,2589
n,w,v,u,2589
n,w,v,u,2589
n,n,c,v,2589
v,u,n,v,2589
v,n,n,n,2589
r,v,u,n,2589
v,n,n,u,2589
vn,vn,v,ns,2589
n,n,v,n,2589
ns,b,vn,Ng,2589
vn,Ng,n,w,2589
b,vn,Ng,v,2589
vn,vn,v,n,2589
Ng,v,w,ns,2589
ns,ns,Ng,v,2589
ns,vn,v,n,2589
a,q,p,an,2589
vn,Ng,n,w,2589
q,n,an,w,2589
w,i,v,n,2589
an,w,p,v,2589
w,ns,q,n,2589
ns,a,n,p,2589
v,n,ns,a,2589
p,an,i,p,2589
n,w,a,q,2589
n,p,w,i,2589
w,ns,vn,Ng,2589
i,p,n,w,2589
p,ns,u,a,2589
n,v,j,u,2589
ns,n,a,n,2589
v,v,u,nz,2589
v,j,nz,w,2589
u,a,v,v,2589
a,n,v,j,2589
n,u,n,v,2589
v,u,j,w,2589
u,vn,u,b,2589
vn,v,b,j,2589
nr,v,Ng,v,2589
Ng,v,n,w,2589
v,Ng,v,u,2589
Ng,Ng,u,n,2589
n,d,v,w,2618
v,w,a,n,2618
w,r,n,v,2618
d,v,w,r,2618
r,a,v,n,2618
a,n,n,v,2618
n,v,v,w,2618
v,v,r,a,2618
a,n,v,v,2618
v,d,l,u,2618
r,m,v,r,2618
w,n,n,v,2618
v,u,m,q,2618
r,v,d,d,2618
n,v,r,m,2618
v,r,v,d,2618
n,v,v,u,2618
q,v,v,v,2618
d,d,u,n,2618
m,q,r,v,2618
v,n,u,r,2618
d,l,n,w,2618
v,v,d,l,2618
u,r,q,v,2618
v,r,u,n,2618
v,v,a,u,2618
v,v,n,w,2618
w,d,v,w,2618
n,v,u,n,2618
d,v,w,r,2618
v,u,w,v,2618
v,v,v,v,2618
v,v,v,v,2618
v,v,v,v,2618
u,n,w,d,2618
d,Vg,n,w,2618
r,n,Vg,v,2618
v,u,d,a,2618
v,n,v,u,2618
r,q,w,n,2618
n,v,r,a,2618
v,v,r,n,2618
u,d,a,w,2618
d,v,w,v,2618
n,k,v,v,2618
u,n,v,v,2618
w,r,d,Vg,2618
a,u,Ng,w,2618
v,w,v,n,2618
w,v,d,d,2618
k,d,v,w,2618
n,w,u,d,2618
Ng,w,v,v,2618
n,w,k,d,2618
w,n,d,v,2618
v,w,n,d,2618
n,Ng,d,v,2618
q,n,n,k,2618
n,d,v,n,2618
Vg,v,w,v,2618
v,n,v,u,2618
n,w,v,n,2618
w,v,n,v,2618
w,v,n,v,2618
r,a,n,Ng,2618
v,n,v,r,2618
q,n,w,nr,2618
v,y,d,v,2618
Ng,w,nr,v,2618
r,q,Ng,w,2618
nr,v,w,d,2618
y,w,v,y,2618
w,d,y,w,2618
n,Ng,nr,nr,2618
v,r,n,Ng,2618
nr,nr,y,w,2618
w,nr,v,y,2618
t,d,m,a,2618
u,vn,r,d,2618
r,d,n,v,2618
n,w,d,v,2618
a,u,w,r,2618
a,vn,c,m,2618
d,v,a,vn,2618
vn,w,d,v,2618
m,a,v,u,2618
w,r,v,n,2618
u,r,u,vn,2618
d,v,v,w,2618
c,m,vn,v,2618
v,m,vn,w,2618
vn,w,m,a,2618
vn,v,r,a,2618
a,vn,u,r,2618
w,c,a,vn,2618
v,u,a,u,2618
r,a,vn,w,2618
m,a,w,c,2618
w,t,v,m,2618
u,n,s,u,2618
v,d,v,v,2618
ns,v,v,n,2618
v,d,d,v,2618
u,v,v,d,2618
d,v,v,u,2618
a,n,nr,v,2618
n,w,u,a,2618
nr,u,w,s,2618
v,n,u,v,2618
nr,nr,n,w,2618
n,v,v,d,2618
d,v,v,v,2618
u,a,nr,nr,2618
v,v,u,n,2618
nr,nr,ns,v,2618
n,nr,v,ns,2618
w,v,v,u,2618
nr,v,v,w,2618
w,s,a,n,2618
v,u,d,v,2618
v,w,n,v,2618
s,u,n,nr,2618
v,v,n,w,2618
v,ns,w,v,2618
w,n,n,v,2618
v,w,u,n,2618
r,w,w,nz,2618
t,d,w,n,2618
u,n,u,r,2618
w,v,nz,w,2618
v,w,w,v,2618
n,v,r,w,2618
w,nz,v,u,2618
d,v,n,u,2618
v,v,w,v,2618
n,v,r,w,2618
v,u,v,u,2618
nz,w,u,n,2618
w,v,n,v,2618
n,u,v,v,2618
u,n,v,r,2618
v,r,v,w,2618
v,w,n,p,2618
d,v,ns,n,2618
ns,n,r,v,2618
w,ns,p,r,2618
n,p,v,w,2618
v,p,n,w,2618
nx,w,w,nz,2618
c,nt,m,q,2618
w,nt,nz,w,2618
f,u,n,w,2618
nt,w,w,nz,2618
n,w,w,vn,2618
n,w,v,p,2618
u,ns,w,r,2618
w,n,vn,n,2618
nz,w,c,nt,2618
n,n,n,w,2618
u,m,v,p,2618
w,p,nz,c,2618
w,nz,nz,w,2618
q,a,v,y,2618
ns,w,v,nz,2618
p,v,c,w,2618
c,w,w,u,2618
w,u,n,w,2618
n,w,n,f,2618
nz,w,w,nz,2618
nz,c,a,w,2618
v,nz,w,a,2618
m,q,p,n,2618
w,a,u,ns,2618
w,r,a,u,2618
nz,w,w,nz,2618
w,vn,f,u,2618
w,nz,nz,w,2618
a,u,y,w,2618
a,w,ns,n,2618
nz,c,u,m,2618
a,n,d,v,2618
p,n,w,n,2618
p,ns,p,v,2618
q,v,n,n,2618
u,a,w,d,2618
d,v,ns,w,2618
ns,n,r,q,2618
n,f,a,n,2618
n,w,q,a,2618
r,q,u,v,2618
w,nz,nt,u,2618
w,nz,nz,c,2618
v,p,w,p,2618
nt,u,q,v,2618
vn,n,u,a,2618
w,d,p,ns,2618
t,w,v,n,2618
t,w,n,n,2618
n,v,v,w,2618
v,n,v,u,2618
w,n,n,n,2618
v,w,w,n,2618
n,v,n,v,2618
w,b,n,v,2618
v,n,w,t,2618
w,t,n,v,2618
n,n,n,v,2618
n,n,u,n,2618
b,n,v,n,2618
n,v,t,w,2618
n,v,n,w,2618
l,f,t,f,2618
n,n,f,w,2618
v,ns,u,s,2618
ns,u,s,r,2618
n,d,vn,w,2618
n,w,n,l,2618
s,r,d,v,2618
u,u,r,d,2618
i,w,ns,u,2618
w,r,ns,u,2618
w,n,l,f,2618
t,f,w,v,2618
u,s,d,d,2618
ns,u,d,v,2618
f,w,f,i,2618
d,d,w,r,2618
v,w,p,ns,2618
n,l,w,t,2618
r,p,u,n,2618
f,i,v,ns,2618
p,ns,n,d,2618
w,t,i,w,2618
r,d,v,w,2618
w,v,u,u,2618
d,v,r,p,2618
u,n,v,vn,2618
w,m,v,n,2618
nt,n,r,v,2618
f,r,u,m,2618
q,n,v,u,2618
n,w,u,m,2618
u,m,q,n,2618
u,nt,f,r,2618
n,w,u,r,2618
v,u,m,q,2618
n,w,n,v,2618
n,v,v,w,2618
m,q,u,n,2618
w,v,m,q,2618
a,u,w,m,2618
v,u,q,m,2618
m,a,n,w,2618
v,u,m,q,2618
w,v,r,m,2618
u,n,v,u,2618
q,m,u,n,2618
r,m,n,u,2618
n,f,v,u,2618
n,u,w,v,2618
u,m,m,a,2618
u,n,m,n,2618
q,n,n,w,2618
m,q,w,v,2618
u,r,q,n,2618
m,n,n,v,2618
m,m,n,w,2618
m,q,a,u,2618
r,v,m,m,2618
l,w,v,v,2618
v,d,v,n,2618
v,v,v,v,2618
vn,d,w,r,2618
d,v,n,v,2618
v,v,v,u,2618
u,vn,l,w,2618
v,n,u,vn,2618
ns,n,vn,d,2618
w,r,v,d,2618
n,u,d,l,2618
u,vn,y,w,2618
v,u,n,y,2618
n,v,vn,n,2618
d,l,r,v,2618
r,v,d,v,2618
n,f,p,v,2618
f,w,p,r,2618
c,v,u,ns,2618
n,w,m,m,2618
p,ns,n,n,2618
i,u,n,w,2618
n,v,i,u,2618
z,n,p,m,2618
vn,n,v,ns,2618
t,w,n,p,2618
v,m,w,n,2618
ns,n,u,i,2618
w,n,r,v,2618
