@relation 38754

@attribute 1 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 2 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 3 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 4 {vi?,nt,ns,nr,bz,Yg,nz,Ug,nx,d1,d2,Tg,Dg,vn,Ag,Ng,vd,f,g,az,d,e,b,c,a,n,o,Vg,l,m,j,k,h,i,w,v,u,t,s,ap,r,ys,q,an,p,ad,z,y,x}
@attribute 5 {2648,2655,2685}

@data
r,i,m,q,2648
u,m,w,nr,2648
w,nr,w,r,2648
r,q,u,n,2648
v,n,n,w,2648
q,w,nr,w,2648
u,n,v,n,2648
n,w,n,v,2648
nr,nr,r,q,2648
nr,w,q,a,2648
u,r,u,m,2648
m,q,nr,nr,2648
i,u,q,w,2648
w,r,a,u,2648
w,v,v,n,2648
a,u,w,v,2648
q,a,n,w,2648
v,n,a,u,2648
w,a,p,n,2648
r,d,v,n,2648
u,p,f,v,2648
a,u,n,f,2648
d,n,n,w,2648
v,n,r,d,2648
n,f,v,w,2648
v,v,w,r,2648
w,r,n,v,2648
n,w,d,n,2648
n,w,u,p,2648
p,n,v,v,2648
v,v,n,w,2648
n,v,w,a,2648
n,n,v,n,2648
r,q,n,n,2648
q,n,n,v,2648
n,v,w,v,2648
w,v,d,a,2648
v,u,a,w,2648
v,n,v,u,2648
n,n,n,w,2648
n,w,u,d,2648
q,n,v,q,2648
p,n,v,w,2648
i,w,u,v,2648
v,u,w,d,2648
c,d,i,w,2648
v,v,n,v,2648
q,v,v,w,2648
v,v,n,w,2648
v,a,c,d,2648
v,i,n,u,2648
a,w,d,v,2648
n,v,w,v,2648
w,v,v,d,2648
v,q,d,v,2648
u,v,n,w,2648
n,w,q,v,2648
v,p,v,v,2648
d,v,p,n,2648
v,q,w,v,2648
n,u,q,n,2648
n,w,v,v,2648
w,n,v,q,2648
u,n,d,v,2648
v,w,a,w,2648
w,v,w,c,2648
w,d,v,p,2648
v,v,v,a,2648
w,c,v,i,2648
d,v,w,n,2648
d,v,n,w,2648
r,d,v,q,2648
n,v,n,w,2648
r,q,v,w,2648
v,u,w,r,2648
w,n,u,n,2648
v,w,v,u,2648
w,r,d,v,2648
q,n,w,n,2648
n,w,d,d,2648
n,v,n,v,2648
d,d,q,n,2648
u,n,r,d,2648
v,v,v,p,2648
n,n,n,w,2648
n,v,v,n,2648
d,p,v,p,2648
w,ad,n,n,2648
n,c,n,w,2648
n,w,v,w,2648
n,n,n,v,2648
v,p,c,n,2648
p,n,v,n,2648
p,n,n,n,2648
w,v,w,v,2648
ad,v,n,w,2648
w,v,n,n,2648
n,n,ad,v,2648
v,n,n,n,2648
c,n,w,ad,2648
v,n,w,v,2648
v,n,u,n,2648
p,n,p,n,2648
n,v,n,c,2648
n,d,n,v,2648
n,w,v,n,2648
v,p,n,v,2648
v,w,p,n,2648
n,n,v,v,2648
n,v,n,u,2648
nr,nr,w,d,2648
nr,n,d,v,2648
c,i,nr,nr,2648
c,v,n,c,2648
v,n,i,u,2648
v,n,n,w,2648
n,v,w,l,2648
n,w,v,n,2648
m,q,f,c,2648
f,c,v,n,2648
n,c,u,nr,2648
v,v,c,i,2648
i,u,nr,n,2648
q,m,c,v,2648
w,d,n,v,2648
v,n,l,w,2648
u,nr,n,w,2648
d,v,v,n,2648
m,f,v,v,2648
t,Tg,n,i,2648
v,n,v,d,2648
n,w,z,w,2648
i,w,v,n,2648
Tg,w,i,w,2648
v,d,y,w,2648
n,v,w,n,2648
v,n,n,z,2648
n,v,d,v,2648
w,n,w,n,2648
w,n,n,w,2648
z,w,n,v,2648
n,z,v,n,2648
w,v,v,v,2648
w,n,w,v,2648
v,v,v,y,2648
n,i,n,v,2648
d,v,n,v,2648
v,y,d,v,2648
v,n,n,w,2648
ns,n,y,w,2648
n,v,w,d,2648
v,ns,v,y,2648
w,d,v,n,2648
v,v,v,n,2648
y,w,v,v,2648
i,w,w,m,2648
v,m,n,f,2648
v,p,v,m,2648
d,v,v,v,2648
v,n,d,w,2648
p,n,n,v,2648
w,p,v,r,2648
y,w,q,d,2648
f,d,i,w,2648
